Mã,Số lệnh,Tổng lợi nhuận (VND),Tỷ suất (%),Win rate (%),Lệnh lỗ nặng nhất (VND)
DGC,15,422557500,422.56,46.67,-14862872
LPB,12,306476396,306.48,58.33,-12688343
VIB,17,258322354,258.32,52.94,-9691161
FPT,13,208786810,208.79,53.85,-10144231
SSI,16,181424913,181.42,43.75,-14506770
MBB,15,179729211,179.73,40.0,-9298999
TCB,14,177034574,177.03,42.86,-6755174
STB,14,165765151,165.77,78.57,-12052117
HPG,15,126806814,126.81,46.67,-8861341
GVR,16,123097982,123.1,43.75,-25965997
VPB,19,115924306,115.92,26.32,-12393803
BCM,14,111781623,111.78,50.0,-10162003
CTG,14,98156735,98.16,64.29,-5979073
MWG,17,94526304,94.53,35.29,-17457821
TPB,17,86735807,86.74,41.18,-7230769
HDB,17,83400171,83.4,41.18,-7257646
MSN,16,62477680,62.48,25.0,-13584416
ACB,21,60963947,60.96,47.62,-11507009
BID,17,35771696,35.77,41.18,-13812155
VCB,17,15825405,15.83,41.18,-16507634
SHB,17,6941356,6.94,17.65,-19134396
VNM,15,1650425,1.65,40.0,-5038317
PLX,16,-4417795,-4.42,25.0,-9958678
SSB,16,-7745664,-7.75,37.5,-11412194
VHM,17,-11663456,-11.66,35.29,-10841121
VJC,17,-21393024,-21.39,29.41,-7884972
GAS,19,-39871048,-39.87,26.32,-18669131
VIC,17,-58466918,-58.47,17.65,-15463918
SAB,18,-62594689,-62.59,11.11,-16487805
VRE,19,-67909583,-67.91,21.05,-12414966
