time,open,high,low,close,volume,ticker
2020-01-02,27830,27830,27830,27740,1910,BCM
2020-01-03,27460,27460,27460,27460,1610,BCM
2020-01-06,27180,27180,26900,27180,3220,BCM
2020-01-07,27180,27180,26430,26430,4110,BCM
2020-01-08,26430,26430,26240,26240,8133,BCM
2020-01-09,26050,26240,26050,26050,15620,BCM
2020-01-10,26150,26150,25770,26050,9201,BCM
2020-01-13,26050,27080,26050,26900,12200,BCM
2020-01-14,26520,27180,26520,27180,1900,BCM
2020-01-15,26240,27080,26240,26990,5353,BCM
2020-01-16,27080,27080,27080,27080,300,BCM
2020-01-17,26990,27360,26430,27270,8200,BCM
2020-01-20,26430,27460,26430,27460,9013,BCM
2020-01-21,27180,27180,27180,27180,0,BCM
2020-01-22,27180,27360,27180,27360,216,BCM
2020-01-30,25490,27270,25490,27080,25820,BCM
2020-01-31,27270,27270,25950,26240,4800,BCM
2020-02-03,25400,25400,22210,22680,16840,BCM
2020-02-04,24840,25020,23050,23420,19700,BCM
2020-02-05,23810,26050,22400,25300,3820,BCM
2020-02-06,24560,24840,24460,24840,14226,BCM
2020-02-07,25210,25210,25210,25210,300,BCM
2020-02-10,23900,24740,23900,24560,14200,BCM
2020-02-11,23420,24560,23420,23900,12846,BCM
2020-02-12,24840,25210,24360,24460,33300,BCM
2020-02-13,26050,26050,24360,25120,11928,BCM
2020-02-14,24560,25210,23900,24360,16500,BCM
2020-02-17,25300,25300,24360,24360,4300,BCM
2020-02-18,24460,24460,24460,24080,7137,BCM
2020-02-19,24740,25400,24360,25400,24483,BCM
2020-02-20,24360,25300,24360,24920,23307,BCM
2020-02-21,24740,24840,24640,24840,2800,BCM
2020-02-24,24360,24640,23420,23420,65600,BCM
2020-02-25,23420,23420,22500,22860,8022,BCM
2020-02-26,23050,24170,22860,22860,8210,BCM
2020-02-27,23050,23050,23050,23050,50,BCM
2020-02-28,22760,23420,22680,23420,53920,BCM
2020-03-02,23990,23990,23990,23990,100,BCM
2020-03-03,23710,24270,23420,23420,2610,BCM
2020-03-04,23420,23610,23050,23050,3501,BCM
2020-03-05,23520,23520,23330,23420,1100,BCM
2020-03-06,23520,23520,22760,23420,2333,BCM
2020-03-09,22590,22680,19780,21840,15200,BCM
2020-03-10,20140,23810,20140,23330,5612,BCM
2020-03-11,22500,22500,21090,21090,4310,BCM
2020-03-12,19680,19960,19310,19960,12906,BCM
2020-03-13,19590,19590,18370,18650,27826,BCM
2020-03-16,18740,19680,18560,18740,4700,BCM
2020-03-17,20530,20530,18280,19960,3700,BCM
2020-03-18,20240,20240,19030,19870,1800,BCM
2020-03-19,18930,18930,17800,18740,12201,BCM
2020-03-20,19310,19310,17430,17430,18603,BCM
2020-03-23,17430,17430,15180,15930,14320,BCM
2020-03-24,16300,17150,14990,15090,17700,BCM
2020-03-25,16870,16870,16690,16770,6000,BCM
2020-03-26,16690,17240,16400,16870,1120,BCM
2020-03-27,16870,16870,16120,16770,1100,BCM
2020-03-30,14620,16300,14530,15930,6300,BCM
2020-03-31,15380,15930,14990,15550,5710,BCM
2020-04-01,15840,15930,15460,15930,5000,BCM
2020-04-03,16400,16870,16200,16870,9350,BCM
2020-04-06,17050,18830,17050,17800,17200,BCM
2020-04-07,18560,18740,17800,17800,15400,BCM
2020-04-08,18280,18280,17800,17800,6830,BCM
2020-04-09,17800,17800,17800,17800,6970,BCM
2020-04-10,18280,18280,17620,17620,3400,BCM
2020-04-13,17430,19310,17340,17800,1000,BCM
2020-04-14,17800,17800,17240,17240,42240,BCM
2020-04-15,17800,18000,17800,17900,117308,BCM
2020-04-16,19210,20530,18080,20140,143200,BCM
2020-04-17,20140,22680,20140,22500,47010,BCM
2020-04-20,21550,21550,20620,21550,76500,BCM
2020-04-21,20140,21090,18080,19210,46900,BCM
2020-04-22,19210,20900,18830,19960,43703,BCM
2020-04-23,20800,20800,19390,19680,55800,BCM
2020-04-24,19590,20430,18740,20430,40900,BCM
2020-04-27,20620,22010,19960,21940,122100,BCM
2020-04-28,21740,22300,21550,22110,123020,BCM
2020-04-29,22500,22500,21840,22400,104630,BCM
2020-05-04,22400,22400,21270,22010,73008,BCM
2020-05-05,21450,21550,19870,21190,20752,BCM
2020-05-06,20900,21450,20900,21360,77090,BCM
2020-05-07,21190,21360,21190,21360,24250,BCM
2020-05-08,22400,22400,21550,22210,88820,BCM
2020-05-11,22300,22860,21740,22860,47280,BCM
2020-05-12,22300,22500,22110,22210,19350,BCM
2020-05-13,22300,22400,21090,22400,45220,BCM
2020-05-14,22400,22400,21840,21940,20570,BCM
2020-05-15,21550,21940,21190,21940,38218,BCM
2020-05-18,21190,21550,21090,21450,12310,BCM
2020-05-19,21360,22010,21270,22010,37701,BCM
2020-05-20,22010,22010,21550,22010,19750,BCM
