time,open,high,low,close,volume,ticker
2020-01-02,26240,26930,26180,26750,872620,BID
2020-01-03,27010,27100,26640,26640,603940,BID
2020-01-06,26640,26640,26120,26120,794490,BID
2020-01-07,26120,26640,25790,26640,526890,BID
2020-01-08,26240,27320,26120,26870,1230830,BID
2020-01-09,27240,28460,27160,28320,1573190,BID
2020-01-10,28320,29660,28300,29260,1506410,BID
2020-01-13,28460,29380,28240,28580,544740,BID
2020-01-14,28580,29380,28460,28580,752200,BID
2020-01-15,28460,29260,28460,29090,695290,BID
2020-01-16,29090,30860,29090,30800,1004080,BID
2020-01-17,30860,31150,30290,30520,643490,BID
2020-01-20,30520,30920,30350,30400,761650,BID
2020-01-21,30400,31090,30400,30800,609600,BID
2020-01-22,30800,31830,30690,31660,781390,BID
2020-01-30,31090,31310,29660,30070,1388710,BID
2020-01-31,29830,30580,29380,29380,1154570,BID
2020-02-03,28400,31370,27320,30520,1562560,BID
2020-02-04,31030,31210,30580,31030,1406270,BID
2020-02-05,31310,31490,30520,30520,718710,BID
2020-02-06,30460,30860,30230,30350,1469930,BID
2020-02-07,30070,30400,29440,29500,1501140,BID
2020-02-10,29030,29210,28010,28010,1111680,BID
2020-02-11,28010,29320,28010,28980,917080,BID
2020-02-12,29380,29550,28920,28980,704550,BID
2020-02-13,28920,29090,28460,28750,578820,BID
2020-02-14,28580,28870,28520,28520,627040,BID
2020-02-17,28640,29380,28580,29380,863730,BID
2020-02-18,29600,30010,29380,29660,879430,BID
2020-02-19,29660,29720,29210,29260,372250,BID
2020-02-20,29600,29660,29210,29260,552810,BID
2020-02-21,29260,29260,27810,28240,2619020,BID
2020-02-24,27500,27830,26410,26410,1081210,BID
2020-02-25,25670,27830,25670,27830,878610,BID
2020-02-26,27160,27550,26730,26810,626350,BID
2020-02-27,26810,27210,26500,26870,722680,BID
2020-02-28,26240,26470,25700,25960,972320,BID
2020-03-02,26180,26180,25670,25750,568290,BID
2020-03-03,26690,27240,26070,26750,1016900,BID
2020-03-04,26810,26810,26180,26320,658350,BID
2020-03-05,26550,26950,26530,26610,872610,BID
2020-03-06,25960,26890,25960,26730,555990,BID
2020-03-09,24930,25500,24870,24870,944020,BID
2020-03-10,24240,25100,23560,24190,1366220,BID
2020-03-11,24820,24820,22500,22500,1522030,BID
2020-03-12,20970,21500,20930,20930,1531140,BID
2020-03-13,19480,20930,19480,19970,2330290,BID
2020-03-16,19970,20500,18570,18710,2191590,BID
2020-03-17,17450,19340,17450,19280,1774340,BID
2020-03-18,19400,20250,19360,19710,1743970,BID
2020-03-19,19360,19510,18690,19050,906470,BID
2020-03-20,19170,19420,18770,18880,771320,BID
2020-03-23,17690,18200,17570,17570,2728710,BID
2020-03-24,17690,18220,17510,18020,1227020,BID
2020-03-25,19050,19080,18710,18940,1611980,BID
2020-03-26,18830,19510,18340,18990,1148580,BID
2020-03-27,18880,19260,18480,18830,1128210,BID
2020-03-30,17690,18200,17510,17630,1369430,BID
2020-03-31,18260,18340,16830,17600,1018770,BID
2020-04-01,17630,18830,17570,18310,1190960,BID
2020-04-03,18600,19570,18600,19570,1547020,BID
2020-04-06,20360,20930,20020,20930,1881640,BID
2020-04-07,21390,21500,20540,21110,1793050,BID
2020-04-08,20420,21680,20020,21640,1456160,BID
2020-04-09,21640,22020,21480,21500,1349000,BID
2020-04-10,21280,21560,20930,21050,1198580,BID
2020-04-13,20930,21500,20880,21190,1056950,BID
2020-04-14,21130,21420,20420,20820,1220360,BID
2020-04-15,20930,21500,20930,21280,1107070,BID
2020-04-16,21220,21280,20970,21280,1210270,BID
2020-04-17,21600,21790,21220,21330,1151710,BID
2020-04-20,21620,21680,21070,21170,1371830,BID
2020-04-21,20540,20990,19790,19790,2238980,BID
2020-04-22,18880,21130,18880,20650,1413800,BID
2020-04-23,21110,21220,20600,20650,789930,BID
2020-04-24,20790,20790,20140,20540,592910,BID
2020-04-27,20650,20760,20020,20020,1205680,BID
2020-04-28,20020,20420,19680,20050,589490,BID
2020-04-29,20310,20480,19970,20310,595490,BID
2020-05-04,20310,20760,20020,20140,655630,BID
2020-05-05,20140,20420,20080,20140,427650,BID
2020-05-06,20220,20540,20140,20540,739320,BID
2020-05-07,20710,21450,20710,21420,2524450,BID
2020-05-08,21640,22420,21420,21680,2563570,BID
2020-05-11,21960,22250,21640,21960,1209730,BID
2020-05-12,21850,22050,21640,21990,1645960,BID
2020-05-13,21850,22700,21560,22590,2725900,BID
2020-05-14,22250,23100,22250,22640,1994890,BID
2020-05-15,22700,22880,21900,22020,1909780,BID
2020-05-18,21930,22190,21680,22190,1864370,BID
2020-05-19,22760,22760,22190,22310,1686240,BID
2020-05-20,22250,22420,21960,22330,900670,BID
2020-05-21,22530,22900,22500,22640,2474770,BID
2020-05-22,22640,22820,22420,22420,1140830,BID
2020-05-25,22420,22700,22250,22620,888300,BID
2020-05-26,22680,23960,22680,23960,2954120,BID
2020-05-27,24390,24390,22700,22700,2293240,BID
2020-05-28,22820,23360,22700,23210,1913890,BID
