time,open,high,low,close,volume,ticker
2020-01-02,13950,14520,13920,14350,4347610,CTG
2020-01-03,14520,14590,14190,14220,3626640,CTG
2020-01-06,14150,14490,14090,14250,3173480,CTG
2020-01-07,14420,14590,14320,14490,4163600,CTG
2020-01-08,14390,14790,14220,14450,9864300,CTG
2020-01-09,14590,15090,14590,14990,8592300,CTG
2020-01-10,15020,16020,15020,15720,14701830,CTG
2020-01-13,15560,16020,15490,15490,5317470,CTG
2020-01-14,15520,15890,15490,15690,7040780,CTG
2020-01-15,15690,15820,15520,15760,4364850,CTG
2020-01-16,15820,16660,15790,16620,8002680,CTG
2020-01-17,16830,16960,16420,16660,6412750,CTG
2020-01-20,16620,16890,16520,16760,4737420,CTG
2020-01-21,16830,17230,16760,16890,6063350,CTG
2020-01-22,16890,17190,16720,17090,4747210,CTG
2020-01-30,16620,16930,16020,16260,11319200,CTG
2020-01-31,16420,16860,16290,16290,11815850,CTG
2020-02-03,15690,16830,15520,16790,13869450,CTG
2020-02-04,16960,17960,16930,17960,14852770,CTG
2020-02-05,18290,18560,17730,17730,11732260,CTG
2020-02-06,17830,18760,17590,18530,10566600,CTG
2020-02-07,18360,18460,17790,17960,8960350,CTG
2020-02-10,17530,18230,17490,17760,6287560,CTG
2020-02-11,17960,18530,17930,18530,6762320,CTG
2020-02-12,18990,18990,18160,18160,10390830,CTG
2020-02-13,18260,18430,17690,18190,9485770,CTG
2020-02-14,18260,18260,17830,17890,6108570,CTG
2020-02-17,17960,18060,17630,17730,5818090,CTG
2020-02-18,17830,18190,17760,17830,7231540,CTG
2020-02-19,17890,18160,17890,18030,5895360,CTG
2020-02-20,18260,18490,17790,17960,9011120,CTG
2020-02-21,17890,17960,17130,17260,12049570,CTG
2020-02-24,16760,16960,16260,16290,12317180,CTG
2020-02-25,16290,17430,16260,17430,9764100,CTG
2020-02-26,17060,17490,16960,17230,6229210,CTG
2020-02-27,17190,17490,17090,17490,5524580,CTG
2020-02-28,17030,17390,16690,17190,7892390,CTG
2020-03-02,17330,17390,16960,17030,4873970,CTG
2020-03-03,17490,17990,17330,17660,9514110,CTG
2020-03-04,17560,17660,17360,17660,4587660,CTG
2020-03-05,17890,17930,17460,17460,5997630,CTG
2020-03-06,17230,17390,16990,17230,5353340,CTG
2020-03-09,16090,16490,16020,16020,10773760,CTG
2020-03-10,16020,16720,15460,16360,11071330,CTG
2020-03-11,16560,16690,15260,15490,8522410,CTG
2020-03-12,14690,14960,14420,14560,11314020,CTG
2020-03-13,13690,14960,13550,14660,10540670,CTG
2020-03-16,14660,14720,13690,13690,7506240,CTG
2020-03-17,13350,14150,12950,14020,7946050,CTG
2020-03-18,14220,14390,13990,13990,6424470,CTG
2020-03-19,13690,13750,13250,13420,4724410,CTG
2020-03-20,13620,13690,13120,13220,6426820,CTG
2020-03-23,12550,12690,12320,12320,6448830,CTG
2020-03-24,12320,12490,11780,12220,6361270,CTG
2020-03-25,12690,13050,12550,13050,7041040,CTG
2020-03-26,12720,13090,12550,12550,5121770,CTG
2020-03-27,12720,12750,12490,12690,6261510,CTG
2020-03-30,11920,12020,11820,11820,7331160,CTG
2020-03-31,12020,12350,11080,11480,6102570,CTG
2020-04-01,11350,12250,11350,12220,5514550,CTG
2020-04-03,12420,12690,12350,12550,4625590,CTG
2020-04-06,12890,13420,12690,13420,10557010,CTG
2020-04-07,13490,13520,13090,13250,7256090,CTG
2020-04-08,12890,13350,12750,13150,4637260,CTG
2020-04-09,13350,13590,13220,13220,7265280,CTG
2020-04-10,13220,13420,12890,12990,5700980,CTG
2020-04-13,12950,13350,12850,13090,4183300,CTG
2020-04-14,13050,13190,12550,12820,7389910,CTG
2020-04-15,12820,13320,12820,13250,6758040,CTG
2020-04-16,13090,13290,12950,13220,3710320,CTG
2020-04-17,13690,13690,13350,13420,8578720,CTG
2020-04-20,13550,13650,13250,13250,6291720,CTG
2020-04-21,13120,13190,12520,12550,9299890,CTG
2020-04-22,12280,13150,12280,12850,6363800,CTG
2020-04-23,13020,13150,12820,12820,2950110,CTG
2020-04-24,12820,12890,12690,12820,2871100,CTG
2020-04-27,12950,12950,12590,12590,4305890,CTG
2020-04-28,12590,12890,12490,12720,3942840,CTG
2020-04-29,13350,13350,12750,13350,9337270,CTG
2020-05-04,13190,13650,13050,13390,7526760,CTG
2020-05-05,13390,13450,13120,13250,2976380,CTG
2020-05-06,13320,13550,13050,13490,6890670,CTG
2020-05-07,13490,13790,13420,13620,7523830,CTG
2020-05-08,13820,14450,13750,13950,12666220,CTG
2020-05-11,14190,14390,13950,14190,7654090,CTG
2020-05-12,14120,14560,13920,14450,6576780,CTG
2020-05-13,14290,14660,14120,14450,6959000,CTG
2020-05-14,14290,14520,14250,14250,5828440,CTG
2020-05-15,14390,14420,13920,13950,7303040,CTG
2020-05-18,13990,14250,13820,14250,5204650,CTG
2020-05-19,14690,14990,14560,14890,11023040,CTG
2020-05-20,14690,14890,14620,14890,5342980,CTG
2020-05-21,14920,15520,14890,15320,10616250,CTG
2020-05-22,15220,15760,15120,15220,7637850,CTG
2020-05-25,15290,15590,15160,15390,6731270,CTG
2020-05-26,15390,15560,15260,15460,6282980,CTG
2020-05-27,15560,15660,14960,14960,8420990,CTG
2020-05-28,15060,15320,14920,15060,5936110,CTG
2020-05-29,14990,15160,14990,15020,3561630,CTG
2020-06-01,15220,15690,15160,15690,7120400,CTG
2020-06-02,15890,16219,15620,15660,9588410,CTG
2020-06-03,15760,16059,15720,16020,6901900,CTG
2020-06-04,16160,16620,16090,16460,8945730,CTG
2020-06-05,16360,16490,16160,16320,5424300,CTG
2020-06-08,16590,16830,16420,16620,7059480,CTG
2020-06-09,16690,16690,16160,16160,6702380,CTG
2020-06-10,16160,16690,16090,16460,8248360,CTG
2020-06-11,16490,16560,15320,15320,9257760,CTG
2020-06-12,14760,15560,14760,15560,7094300,CTG
2020-06-15,15490,15690,14760,14890,7929180,CTG
2020-06-16,15360,15520,15160,15520,4034460,CTG
2020-06-17,15360,15520,15290,15360,2469120,CTG
2020-06-18,15160,15490,15160,15290,1954210,CTG
2020-06-19,15460,15620,15320,15590,2865250,CTG
2020-06-22,15560,15820,15520,15660,2986770,CTG
2020-06-23,15620,15720,15390,15520,2896760,CTG
2020-06-24,15620,15720,15160,15220,3055390,CTG
2020-06-25,15020,15260,14960,15160,2550180,CTG
2020-06-26,15360,15390,14960,15060,2337220,CTG
2020-06-29,14960,15060,14450,14620,4603180,CTG
2020-06-30,14860,14960,14290,14390,2812450,CTG
2020-07-01,14450,14890,14390,14890,2104360,CTG
2020-07-02,14960,15020,14760,14890,1743240,CTG
2020-07-03,14920,14990,14890,14890,2149960,CTG
2020-07-06,15090,15560,14990,15390,4849180,CTG
2020-07-07,15560,15820,15490,15660,6656300,CTG
2020-07-08,15660,16020,15560,15790,5304630,CTG
2020-07-09,15820,16160,15720,16090,6047940,CTG
2020-07-10,16020,16120,15720,15890,4645000,CTG
2020-07-13,16020,16420,15990,15990,6127280,CTG
2020-07-14,15990,16219,15890,16059,4016980,CTG
2020-07-15,16219,16260,16090,16090,2637330,CTG
2020-07-16,16020,16090,15820,16090,3780830,CTG
2020-07-17,16020,16219,15890,16090,3452100,CTG
2020-07-20,16090,16090,15860,15890,2923970,CTG
2020-07-21,15960,15990,15660,15920,2745180,CTG
2020-07-22,15990,15990,15590,15590,2698500,CTG
2020-07-23,15690,15690,15360,15590,2989960,CTG
2020-07-24,15390,15520,14560,14860,8461420,CTG
2020-07-27,14220,14620,13820,13820,7535580,CTG
2020-07-28,14120,14560,14020,14490,4278520,CTG
2020-07-29,14150,14220,13620,13920,4708610,CTG
2020-07-30,14050,14320,14020,14250,2574820,CTG
2020-07-31,14020,14350,13950,14150,2928540,CTG
2020-08-03,14150,14560,14120,14520,2692490,CTG
2020-08-04,14760,14890,14620,14720,3115850,CTG
2020-08-05,14760,15160,14690,15120,4575550,CTG
2020-08-06,15120,15220,14920,14960,2859860,CTG
2020-08-07,15090,15290,14990,15190,3870640,CTG
2020-08-10,15420,15620,15220,15220,4070190,CTG
2020-08-11,15520,15560,15220,15490,3873130,CTG
2020-08-12,15560,15890,15490,15620,4361920,CTG
2020-08-13,15890,15960,15820,15860,5131270,CTG
2020-08-14,15790,15920,15520,15690,5238720,CTG
2020-08-17,15520,15720,15460,15690,2898140,CTG
2020-08-18,15690,15720,15420,15490,2681950,CTG
2020-08-19,15490,15690,15460,15560,2560050,CTG
2020-08-20,15620,15720,15520,15560,4210180,CTG
2020-08-21,15690,16290,15690,16219,9577820,CTG
2020-08-24,16490,16560,16290,16290,4407840,CTG
2020-08-25,16390,16590,16290,16490,5203350,CTG
2020-08-26,16360,16760,16320,16490,6796160,CTG
2020-08-27,16420,16720,16420,16520,3085280,CTG
2020-08-28,16620,16960,16560,16760,9589990,CTG
2020-08-31,17160,17490,16830,17160,7359810,CTG
2020-09-01,17160,17460,17090,17460,4773840,CTG
2020-09-03,17590,17760,17260,17330,8343610,CTG
2020-09-04,17090,17630,17090,17360,6578630,CTG
2020-09-07,17430,17460,16690,16690,8021370,CTG
2020-09-08,16860,17060,16560,17060,5505960,CTG
2020-09-09,16760,17030,16720,16890,3872280,CTG
2020-09-10,16960,17130,16890,16890,2655550,CTG
2020-09-11,16790,17160,16790,17090,3472470,CTG
2020-09-14,17360,17360,17060,17090,2823060,CTG
2020-09-15,17130,17190,16960,16960,3265100,CTG
