time,open,high,low,close,volume,ticker
2020-01-02,7150,7240,7130,7240,92776,DGC
2020-01-03,7240,7240,7110,7130,68200,DGC
2020-01-06,7130,7130,6980,6980,58880,DGC
2020-01-07,6980,7150,6980,7130,36562,DGC
2020-01-08,7130,7150,6780,6780,71120,DGC
2020-01-09,6780,7110,6720,7050,73310,DGC
2020-01-10,7080,7150,7050,7050,47055,DGC
2020-01-13,7020,7080,7020,7080,72290,DGC
2020-01-14,7110,7240,7110,7220,32650,DGC
2020-01-15,7220,7220,7150,7220,27855,DGC
2020-01-16,7220,7220,7150,7180,24600,DGC
2020-01-17,7180,7240,7180,7240,29200,DGC
2020-01-20,7270,7330,7240,7270,38228,DGC
2020-01-21,7240,7330,7240,7270,47300,DGC
2020-01-22,7310,7400,7310,7400,15290,DGC
2020-01-30,7430,7530,7400,7520,113800,DGC
2020-01-31,7500,7500,7220,7220,223105,DGC
2020-02-03,7180,7180,6900,7020,133550,DGC
2020-02-04,7220,7240,7020,7080,69245,DGC
2020-02-05,7110,7180,7080,7110,18482,DGC
2020-02-06,7180,7180,7080,7110,50954,DGC
2020-02-07,7110,7130,7110,7130,58413,DGC
2020-02-10,7130,7150,7110,7130,34730,DGC
2020-02-11,7150,7180,7130,7130,29630,DGC
2020-02-12,7110,7310,7110,7270,56280,DGC
2020-02-13,7270,7270,7220,7220,51040,DGC
2020-02-14,7220,7220,7150,7180,59700,DGC
2020-02-17,7180,7180,7150,7150,99820,DGC
2020-02-18,7180,7330,7180,7330,70077,DGC
2020-02-19,7270,7270,7240,7270,40660,DGC
2020-02-20,7270,7310,7240,7240,163565,DGC
2020-02-21,7270,7360,7180,7220,306437,DGC
2020-02-24,7180,7220,6980,7050,322405,DGC
2020-02-25,6950,7240,6900,7220,419793,DGC
2020-02-26,7220,7220,7130,7150,32800,DGC
2020-02-27,7150,7180,7130,7130,31065,DGC
2020-02-28,7130,7150,7110,7150,71364,DGC
2020-03-02,7130,7220,7130,7130,37202,DGC
2020-03-03,7150,7150,7130,7130,19815,DGC
2020-03-04,7110,7180,7080,7130,68000,DGC
2020-03-05,7130,7180,7130,7150,62165,DGC
2020-03-06,7150,7240,7110,7150,50400,DGC
2020-03-09,7150,7150,6660,6660,335153,DGC
2020-03-10,6660,6920,6660,6800,144940,DGC
