time,open,high,low,close,volume,ticker
2020-01-02,21300,21560,21170,21410,896720,FPT
2020-01-03,21510,21590,20960,21040,2047880,FPT
2020-01-06,20840,21040,20750,20830,1091660,FPT
2020-01-07,20920,21230,20830,21230,837240,FPT
2020-01-08,21010,21080,20750,20750,1814290,FPT
2020-01-09,20920,21080,20840,21040,967050,FPT
2020-01-10,21010,21120,20840,21010,1018650,FPT
2020-01-13,20960,21040,20830,20840,786760,FPT
2020-01-14,20840,20960,20830,20830,721680,FPT
2020-01-15,20830,20840,20750,20830,940870,FPT
2020-01-16,20830,21260,20830,21170,1942970,FPT
2020-01-17,21170,21230,20830,21040,1388810,FPT
2020-01-20,21010,21170,20890,20960,1227100,FPT
2020-01-21,21120,21170,20270,20270,4351820,FPT
2020-01-22,20090,20630,19970,20630,3165650,FPT
2020-01-30,20200,20380,19700,19970,2638460,FPT
2020-01-31,19720,20050,19000,19000,4118150,FPT
2020-02-03,18100,19170,17900,18810,3602970,FPT
2020-02-04,19150,19150,18630,18920,1651440,FPT
2020-02-05,19110,19280,19000,19000,1648620,FPT
2020-02-06,19170,19580,18920,19580,1708550,FPT
2020-02-07,19350,19550,19280,19470,1218660,FPT
2020-02-10,19150,19350,19030,19220,738090,FPT
2020-02-11,19310,19620,19250,19580,1085380,FPT
2020-02-12,19660,19970,19620,19770,1104870,FPT
2020-02-13,19770,19910,19620,19830,1030570,FPT
2020-02-14,19770,19910,19720,19910,884240,FPT
2020-02-17,19930,19930,19720,19810,726390,FPT
2020-02-18,19870,20460,19830,20460,1760940,FPT
2020-02-19,20420,20530,20270,20350,681250,FPT
2020-02-20,20500,20600,20270,20380,780810,FPT
2020-02-21,20420,20420,19970,19970,1458040,FPT
2020-02-24,19380,19700,19170,19170,2261990,FPT
2020-02-25,19030,19720,19000,19720,1407720,FPT
2020-02-26,19500,20170,19350,20090,3221270,FPT
2020-02-27,20090,20630,19930,20460,2927040,FPT
2020-02-28,20090,20350,19930,20130,2132200,FPT
2020-03-02,20130,20530,20020,20350,1787060,FPT
2020-03-03,20530,20830,20350,20420,1193800,FPT
2020-03-04,20270,20270,20050,20270,1660790,FPT
2020-03-05,20270,20420,19930,19930,1296450,FPT
2020-03-06,19810,19830,19550,19720,1305030,FPT
2020-03-09,18700,19000,18370,18370,4735140,FPT
2020-03-10,18630,19000,18370,18890,2030340,FPT
2020-03-11,19000,19170,18080,18570,2753310,FPT
2020-03-12,17770,18010,17280,17570,3981670,FPT
2020-03-13,16550,18260,16510,17590,2919140,FPT
2020-03-16,17590,18140,17360,17380,1898960,FPT
2020-03-17,17160,17720,16980,17720,2474650,FPT
2020-03-18,17900,17930,17660,17690,1642800,FPT
2020-03-19,17380,17570,17380,17430,1296590,FPT
2020-03-20,17610,17630,17300,17430,1291360,FPT
2020-03-23,16830,17130,16219,16219,2826690,FPT
2020-03-24,16440,16440,15900,16250,2191500,FPT
2020-03-25,16790,16940,16500,16790,2131790,FPT
2020-03-26,16630,16760,16140,16140,2358310,FPT
2020-03-27,16219,16219,15670,15750,2633750,FPT
