time,open,high,low,close,volume,ticker
2020-01-02,58070,58990,58070,58620,141260,GAS
2020-01-03,58620,59740,58620,58750,218980,GAS
2020-01-06,59930,60730,59620,60610,431090,GAS
2020-01-07,60540,60540,59680,60180,142800,GAS
2020-01-08,61110,61350,60120,60120,439260,GAS
2020-01-09,59500,59990,58750,58990,320980,GAS
2020-01-10,59180,59500,58880,59430,160820,GAS
2020-01-13,59430,59430,58700,59070,355190,GAS
2020-01-14,58990,59500,58810,58810,166850,GAS
2020-01-15,58880,58880,57700,58260,201400,GAS
2020-01-16,58260,58430,57630,57820,508390,GAS
2020-01-17,57820,58380,57460,57760,281760,GAS
2020-01-20,57760,58010,57570,57880,134180,GAS
2020-01-21,57880,58810,57880,58810,180960,GAS
2020-01-22,58810,59120,58430,58810,162790,GAS
2020-01-30,56390,58130,56390,57010,379940,GAS
2020-01-31,56460,56830,53300,53610,551680,GAS
2020-02-03,52670,53230,49940,51550,565980,GAS
2020-02-04,52610,52670,50810,50810,376400,GAS
2020-02-05,51440,52050,49940,50570,290230,GAS
2020-02-06,50570,53230,50570,53230,253870,GAS
2020-02-07,53230,53920,52670,53300,299430,GAS
2020-02-10,52670,53850,52050,53790,282460,GAS
2020-02-11,53360,53790,52920,53040,235700,GAS
2020-02-12,53660,53660,53040,53300,175490,GAS
2020-02-13,53170,54600,53170,54220,272240,GAS
2020-02-14,54220,55090,53920,54840,162870,GAS
2020-02-17,54840,55350,54100,54100,180040,GAS
2020-02-18,53920,54160,53170,53300,215600,GAS
2020-02-19,53300,53360,52860,52860,166790,GAS
2020-02-20,54540,54540,52800,52860,198200,GAS
2020-02-21,53300,53430,52920,52920,171440,GAS
2020-02-24,52670,52670,51740,52000,348150,GAS
2020-02-25,51120,52000,51120,51440,348890,GAS
2020-02-26,51120,51120,49320,49510,478410,GAS
2020-02-27,49450,49510,48410,48960,359090,GAS
2020-02-28,46540,48290,46540,46980,449640,GAS
2020-03-02,46860,49270,46730,48960,255710,GAS
2020-03-03,51370,51370,49570,49570,270460,GAS
2020-03-04,49270,49270,48220,48410,307460,GAS
2020-03-05,48410,49570,48410,48410,262610,GAS
2020-03-06,48330,48410,47780,48030,208460,GAS
2020-03-09,44690,44690,44690,44690,226330,GAS
2020-03-10,41580,43940,41580,42450,1377350,GAS
2020-03-11,43370,44060,39540,39540,1022830,GAS
2020-03-12,36800,37750,36800,36800,832050,GAS
2020-03-13,34270,36250,34270,35320,975880,GAS
2020-03-16,35190,37300,34710,36750,664400,GAS
2020-03-17,34840,37110,34840,37060,531530,GAS
2020-03-18,37180,37180,35830,35940,1111270,GAS
2020-03-19,34710,35010,34030,34270,897780,GAS
2020-03-20,35320,36000,34710,35870,563530,GAS
2020-03-23,34220,34710,33410,33410,779860,GAS
2020-03-24,34710,34950,33770,34840,769350,GAS
2020-03-25,36750,37240,36060,37240,1074610,GAS
2020-03-26,37180,37430,36250,36380,564130,GAS
2020-03-27,36380,36630,35380,36060,484150,GAS
2020-03-30,34030,34330,33770,33850,556090,GAS
2020-03-31,35750,35750,33460,33960,414540,GAS
2020-04-01,33900,35690,33900,34770,577930,GAS
2020-04-03,37180,37180,35640,36680,1147360,GAS
2020-04-06,38410,39030,37800,39030,1513290,GAS
2020-04-07,39590,39590,38300,38990,945030,GAS
2020-04-08,37990,38910,37670,38860,869540,GAS
2020-04-09,39290,41520,39100,41520,1506780,GAS
2020-04-10,40900,41830,40280,41580,944260,GAS
2020-04-13,42260,43070,41830,42140,1048800,GAS
2020-04-14,41520,41710,40530,41520,1273310,GAS
2020-04-15,40790,41710,40590,41280,645240,GAS
2020-04-16,41280,42140,40790,41760,717400,GAS
2020-04-17,41830,42760,41830,41950,811680,GAS
2020-04-20,42140,42760,41580,42630,1227520,GAS
2020-04-21,40900,41650,39980,39980,1557070,GAS
2020-04-22,37800,40030,37800,39360,760590,GAS
2020-04-23,40280,40900,40160,40340,620260,GAS
2020-04-24,40790,40900,40100,40340,583010,GAS
2020-04-27,40340,40830,39660,39790,476510,GAS
2020-04-28,38800,39660,38670,38910,775610,GAS
2020-04-29,39290,39790,39030,39290,623860,GAS
2020-05-04,40280,40650,39410,39540,410240,GAS
2020-05-05,40280,40590,39660,40590,652830,GAS
2020-05-06,41340,42630,41340,42510,1540630,GAS
2020-05-07,42510,43070,41950,42570,705710,GAS
2020-05-08,42570,43870,42570,43140,1700680,GAS
2020-05-11,45250,45250,43370,45250,1084850,GAS
2020-05-12,45170,45860,44000,45370,1145720,GAS
2020-05-13,45250,45800,44620,44870,991060,GAS
2020-05-14,44370,44870,44130,44320,688000,GAS
2020-05-15,45170,45250,43940,43940,904360,GAS
2020-05-18,44370,45550,44370,45550,1071380,GAS
2020-05-19,46730,46730,45930,46360,1144660,GAS
2020-05-20,45250,46360,45250,45980,548540,GAS
2020-05-21,46170,46860,45860,46490,952810,GAS
2020-05-22,46410,46410,45610,45800,982700,GAS
2020-05-25,45800,45930,45490,45670,554990,GAS
2020-05-26,46170,46410,45740,46410,615970,GAS
2020-05-27,46790,47290,46360,46490,1141480,GAS
2020-05-28,46490,46730,45800,45800,551210,GAS
2020-05-29,46170,46170,45670,46110,372610,GAS
2020-06-01,46410,47090,46230,46670,596060,GAS
2020-06-02,46670,48220,46490,47350,1452270,GAS
2020-06-03,48030,48520,47530,48330,633960,GAS
2020-06-04,48410,49270,48330,48330,848030,GAS
2020-06-05,47720,48330,47410,47720,881330,GAS
2020-06-08,49270,49270,48520,48960,659450,GAS
2020-06-09,48470,48890,48330,48590,481610,GAS
2020-06-10,48330,48590,48030,48330,426400,GAS
2020-06-11,48030,48410,44980,44980,1251510,GAS
2020-06-12,43450,46410,43450,46230,878600,GAS
2020-06-15,46230,46730,44690,44690,554870,GAS
2020-06-16,45550,45550,44930,45300,454210,GAS
2020-06-17,45550,45800,44980,45170,330300,GAS
2020-06-18,44980,45250,44620,44740,317660,GAS
2020-06-19,45370,45430,44980,44980,303720,GAS
2020-06-22,45370,45670,45250,45300,227680,GAS
2020-06-23,45370,46050,45250,45800,349770,GAS
2020-06-24,45610,45980,44620,44980,240120,GAS
2020-06-25,44620,45250,44320,44870,335210,GAS
2020-06-26,44930,45370,44620,44740,322890,GAS
2020-06-29,44620,44620,43190,43190,571650,GAS
2020-06-30,43750,44320,42140,42760,459150,GAS
2020-07-01,43070,44000,42760,44000,387430,GAS
2020-07-02,44250,44320,43690,43690,210850,GAS
2020-07-03,44250,44250,43560,43560,310040,GAS
2020-07-06,44500,45120,44130,44870,485000,GAS
2020-07-07,45250,46050,44870,44870,819010,GAS
2020-07-08,45250,45930,44930,45170,534040,GAS
2020-07-09,45800,46980,45670,46600,1179910,GAS
2020-07-10,46490,46730,45980,46050,461690,GAS
2020-07-13,46490,46670,46050,46410,592380,GAS
2020-07-14,46800,47780,46740,46930,631990,GAS
