time,open,high,low,close,volume,ticker
2020-01-02,9730,9940,9660,9940,4232230,HPG
2020-01-03,10020,10080,9950,10000,7832210,HPG
2020-01-06,9940,10040,9870,9940,5371060,HPG
2020-01-07,9980,10020,9770,9810,4871220,HPG
2020-01-08,9730,9790,9580,9710,6421130,HPG
2020-01-09,9770,10000,9770,9940,4613440,HPG
2020-01-10,9980,10160,9950,10020,10006180,HPG
2020-01-13,10020,10100,9980,10040,4456520,HPG
2020-01-14,10040,10370,10020,10350,9565300,HPG
2020-01-15,10370,10490,10310,10410,5881520,HPG
2020-01-16,10350,10490,10330,10470,6855030,HPG
2020-01-17,10470,10620,10310,10350,6329150,HPG
2020-01-20,10350,10550,10230,10550,5711790,HPG
2020-01-21,10660,10760,10580,10700,5911660,HPG
2020-01-22,10700,10930,10700,10890,8919900,HPG
2020-01-30,10580,10730,10330,10470,13028790,HPG
2020-01-31,10350,10470,9980,9980,10994970,HPG
2020-02-03,9650,10260,9400,10160,12079180,HPG
2020-02-04,10210,10260,9980,10180,8086090,HPG
2020-02-05,10290,10350,10020,10120,6938550,HPG
2020-02-06,10080,10440,10060,10440,9214150,HPG
2020-02-07,10440,10470,10020,10080,8120240,HPG
2020-02-10,9940,10210,9920,10080,4794830,HPG
2020-02-11,10120,10180,9710,9770,12551620,HPG
2020-02-12,9730,10000,9710,9850,9581940,HPG
2020-02-13,9840,9890,9770,9810,5263180,HPG
2020-02-14,9770,9840,9660,9810,5052290,HPG
2020-02-17,9810,9870,9770,9840,2716840,HPG
2020-02-18,9870,9870,9650,9650,7456030,HPG
2020-02-19,9650,9710,9560,9630,5481650,HPG
2020-02-20,9710,9840,9630,9840,5225250,HPG
2020-02-21,9840,9850,9730,9750,4513960,HPG
2020-02-24,9420,9580,9400,9400,12938030,HPG
2020-02-25,9350,9560,9350,9560,5303830,HPG
2020-02-26,9420,9520,9400,9420,4502880,HPG
2020-02-27,9400,9550,9400,9500,3318240,HPG
2020-02-28,9340,9440,9210,9250,6583970,HPG
2020-03-02,9190,9320,9190,9240,3957540,HPG
2020-03-03,9440,9440,9240,9240,4411940,HPG
2020-03-04,9270,9350,9250,9250,2946050,HPG
2020-03-05,9350,9380,9250,9250,2594810,HPG
2020-03-06,9250,9290,9210,9270,3035470,HPG
2020-03-09,8640,8920,8640,8640,16567350,HPG
2020-03-10,8490,9010,8490,8960,8137980,HPG
2020-03-11,8980,9030,8350,8510,8527920,HPG
2020-03-12,8090,8200,7930,7970,13041040,HPG
2020-03-13,7470,8150,7430,7890,12836580,HPG
2020-03-16,7950,8220,7850,7910,9283920,HPG
2020-03-17,7700,7990,7700,7950,6053400,HPG
2020-03-18,8039,8320,8010,8150,10396530,HPG
2020-03-19,8039,8070,7830,7930,7773200,HPG
2020-03-20,7970,7990,7700,7700,13401260,HPG
2020-03-23,7200,7450,7160,7160,12947170,HPG
2020-03-24,7040,7180,6890,7080,13831390,HPG
2020-03-25,7390,7390,7200,7370,7758210,HPG
2020-03-26,7260,7290,7000,7020,8514960,HPG
2020-03-27,7000,7040,6550,6710,13442640,HPG
2020-03-30,6340,6920,6320,6770,10870540,HPG
2020-03-31,6770,7180,6320,6970,11163440,HPG
2020-04-01,6920,7250,6890,7150,4859650,HPG
2020-04-03,7150,7330,7120,7310,6503290,HPG
2020-04-06,7520,7800,7410,7800,10207240,HPG
2020-04-07,7890,7910,7550,7860,7655220,HPG
2020-04-08,7620,7780,7570,7750,5106690,HPG
2020-04-09,7780,7860,7680,7680,7134720,HPG
2020-04-10,7660,7860,7570,7780,5558450,HPG
2020-04-13,7780,8070,7750,8010,9039420,HPG
2020-04-14,7990,8260,7950,8260,8744760,HPG
2020-04-15,8280,8400,8260,8320,5960450,HPG
2020-04-16,8260,8450,8170,8380,6665670,HPG
2020-04-17,8380,8610,8360,8570,8818780,HPG
2020-04-20,8690,8900,8510,8770,9422860,HPG
2020-04-21,8590,8800,8350,8360,11934810,HPG
2020-04-22,8490,8820,8400,8610,11038450,HPG
2020-04-23,8820,9090,8820,8950,8345940,HPG
2020-04-24,8980,9190,8820,9150,8301090,HPG
2020-04-27,9210,9350,9050,9090,6636160,HPG
2020-04-28,9110,9150,8800,8860,7687010,HPG
