time,open,high,low,close,volume,ticker
2020-01-02,16970,17010,16780,16920,343020,KDH
2020-01-03,16920,16970,16720,16850,353970,KDH
2020-01-06,16820,16920,16590,16920,319660,KDH
2020-01-07,16850,16920,16660,16780,128550,KDH
2020-01-08,16590,16750,16079,16270,412780,KDH
2020-01-09,16309,16530,16020,16340,247010,KDH
2020-01-10,16309,16370,16079,16340,283200,KDH
2020-01-13,16309,16370,16270,16340,91330,KDH
2020-01-14,16270,16370,16219,16340,108520,KDH
2020-01-15,16340,16370,16239,16340,72090,KDH
2020-01-16,16309,16460,16270,16460,140170,KDH
2020-01-17,16460,16530,16410,16460,79520,KDH
2020-01-20,16440,16460,16370,16460,75490,KDH
2020-01-21,16440,16530,16270,16500,381440,KDH
2020-01-22,16460,16590,16460,16530,120650,KDH
2020-01-30,16410,16460,16079,16270,185620,KDH
2020-01-31,16270,16270,15830,15950,196240,KDH
2020-02-03,15510,15830,15320,15770,241080,KDH
2020-02-04,15770,15860,15570,15770,252520,KDH
2020-02-05,15740,15790,15700,15790,192860,KDH
2020-02-06,15790,15930,15640,15890,262650,KDH
2020-02-07,15890,15890,15770,15890,110820,KDH
2020-02-10,15860,15890,15770,15890,106900,KDH
2020-02-11,15860,15950,15830,15950,152870,KDH
2020-02-12,15930,16149,15890,16149,153260,KDH
2020-02-13,16020,16079,15860,15890,102180,KDH
2020-02-14,15830,15860,15450,15640,464310,KDH
2020-02-17,15480,15640,15480,15640,296120,KDH
2020-02-18,15640,15670,15550,15640,181170,KDH
2020-02-19,15600,15640,15570,15640,128710,KDH
2020-02-20,15640,15670,15600,15670,287650,KDH
2020-02-21,15670,15740,15570,15670,400170,KDH
2020-02-24,15510,15640,15450,15550,445530,KDH
2020-02-25,15510,15770,15510,15770,152980,KDH
2020-02-26,15640,15700,15570,15640,86790,KDH
2020-02-27,15600,15830,15600,15830,171130,KDH
2020-02-28,15570,15770,15570,15670,102250,KDH
2020-03-02,15670,15740,15640,15700,193070,KDH
2020-03-03,15830,15830,15670,15700,186820,KDH
2020-03-04,15700,15890,15700,15830,205010,KDH
2020-03-05,15830,15860,15790,15830,100370,KDH
2020-03-06,15790,15790,15640,15640,125780,KDH
2020-03-09,15320,15450,14680,14680,582800,KDH
2020-03-10,14680,15000,14680,15000,150820,KDH
2020-03-11,15000,15090,14490,14680,171290,KDH
2020-03-12,14160,14620,13660,13820,263770,KDH
2020-03-13,13720,13720,12860,13470,432310,KDH
2020-03-16,13470,13470,12770,12990,298420,KDH
2020-03-17,12700,13410,12700,13410,201400,KDH
2020-03-18,13440,13440,13240,13410,274660,KDH
2020-03-19,13270,13410,12890,13410,213960,KDH
2020-03-20,13410,13410,12740,12770,566210,KDH
2020-03-23,12770,12770,12060,12130,236800,KDH
2020-03-24,12640,12640,11750,12230,228300,KDH
2020-03-25,12250,12480,12230,12350,364740,KDH
2020-03-26,12380,12890,12320,12350,627430,KDH
2020-03-27,12380,12480,12320,12410,161610,KDH
2020-03-30,12250,12350,11940,12000,173010,KDH
2020-03-31,12000,12130,11170,11810,317340,KDH
2020-04-01,11810,11850,11490,11750,256170,KDH
2020-04-03,11860,11900,11550,11680,455210,KDH
2020-04-06,11680,12130,11520,11940,780740,KDH
2020-04-07,12060,12130,11750,11940,466250,KDH
2020-04-08,11810,12640,11810,12450,945510,KDH
2020-04-09,12450,12830,12450,12770,648850,KDH
2020-04-10,12830,12830,12450,12700,234330,KDH
2020-04-13,12510,13020,12510,12860,735890,KDH
2020-04-14,12830,13150,12830,12890,502130,KDH
2020-04-15,13020,13180,13020,13180,559480,KDH
2020-04-16,13220,13220,13080,13150,517930,KDH
2020-04-17,13180,13410,13180,13340,950520,KDH
2020-04-20,13340,13410,13270,13340,559680,KDH
2020-04-21,13270,13270,12570,13020,694050,KDH
2020-04-22,12890,13080,12640,13050,567860,KDH
2020-04-23,13020,13120,12930,13080,445860,KDH
2020-04-24,13080,13150,13020,13080,378450,KDH
2020-04-27,13120,13150,13050,13080,524000,KDH
2020-04-28,13120,13180,13050,13120,409390,KDH
2020-04-29,13370,13410,13120,13370,876730,KDH
2020-05-04,13340,13410,13270,13340,532680,KDH
2020-05-05,13370,13470,13340,13410,952670,KDH
2020-05-06,13440,13500,13220,13410,1020600,KDH
2020-05-07,13470,13560,13440,13500,1095220,KDH
2020-05-08,13560,13660,13530,13630,1027960,KDH
2020-05-11,13630,13660,13560,13630,769000,KDH
2020-05-12,13660,14400,13630,14400,1426970,KDH
2020-05-13,14230,14710,14010,14680,1050270,KDH
2020-05-14,14680,14710,14360,14650,541760,KDH
2020-05-15,14550,14550,14050,14050,876170,KDH
2020-05-18,14050,14110,13850,13920,267870,KDH
2020-05-19,14050,14300,13920,14300,1375670,KDH
2020-05-20,14230,14260,14050,14160,498750,KDH
2020-05-21,14200,14230,14050,14050,420140,KDH
2020-05-22,14070,14070,13560,13590,654160,KDH
2020-05-25,13660,13880,13590,13850,384940,KDH
2020-05-26,13850,14070,13850,14070,639110,KDH
2020-05-27,14140,14160,13750,13850,438170,KDH
2020-05-28,13920,13970,13820,13880,194020,KDH
2020-05-29,13880,14070,13880,14050,636980,KDH
2020-06-01,14110,14200,14010,14200,500190,KDH
2020-06-02,14300,14360,14070,14200,805820,KDH
2020-06-03,14110,14810,14050,14810,1355550,KDH
2020-06-04,14810,15060,14650,14680,1333970,KDH
2020-06-05,14710,14960,14620,14900,1012930,KDH
2020-06-08,14900,15450,14900,15250,702370,KDH
2020-06-09,15250,15380,15000,15000,891610,KDH
2020-06-10,14770,15040,14770,15040,1454910,KDH
2020-06-11,15130,15320,14680,14900,1061760,KDH
