time,open,high,low,close,volume,ticker
2020-01-02,6080,6190,6060,6180,2849190,MBB
2020-01-03,6250,6270,6180,6190,3476230,MBB
2020-01-06,6160,6180,6100,6100,2609270,MBB
2020-01-07,6120,6160,6080,6120,2684180,MBB
2020-01-08,6060,6120,6030,6030,4163950,MBB
2020-01-09,6100,6160,6050,6130,3298470,MBB
2020-01-10,6160,6310,6160,6240,8593950,MBB
2020-01-13,6250,6290,6190,6210,2921820,MBB
2020-01-14,6210,6310,6190,6270,4557920,MBB
2020-01-15,6270,6290,6250,6250,3625930,MBB
2020-01-16,6280,6450,6270,6410,8169550,MBB
2020-01-17,6420,6480,6380,6410,4776330,MBB
2020-01-20,6410,6440,6370,6410,4308990,MBB
2020-01-21,6440,6580,6420,6570,5239140,MBB
2020-01-22,6570,6580,6510,6530,4991520,MBB
2020-01-30,6380,6440,6180,6190,8995010,MBB
2020-01-31,6130,6280,6060,6060,8065490,MBB
2020-02-03,5870,6060,5680,5930,14421110,MBB
2020-02-04,6030,6280,5870,6160,9461800,MBB
2020-02-05,6240,6290,6130,6160,7177000,MBB
2020-02-06,6160,6410,6080,6360,12119010,MBB
2020-02-07,6330,6360,6240,6240,8050600,MBB
2020-02-10,6150,6210,6100,6120,6111600,MBB
2020-02-11,6150,6210,6130,6180,4331600,MBB
2020-02-12,6250,6380,6210,6310,10980490,MBB
2020-02-13,6280,6330,6230,6240,6581630,MBB
2020-02-14,6290,6380,6280,6330,9083550,MBB
2020-02-17,6410,6470,6360,6390,9693630,MBB
2020-02-18,6420,6440,6330,6330,5400900,MBB
2020-02-19,6330,6360,6270,6290,4586120,MBB
2020-02-20,6360,6380,6290,6310,6104470,MBB
2020-02-21,6330,6330,6160,6180,8795360,MBB
2020-02-24,6030,6060,5850,5850,12138250,MBB
2020-02-25,5820,6060,5780,6060,11926410,MBB
2020-02-26,5930,6080,5930,5980,5079630,MBB
2020-02-27,5990,6080,5960,6080,4046120,MBB
2020-02-28,5980,6050,5930,5940,7020070,MBB
2020-03-02,5980,6060,5960,6030,4996110,MBB
2020-03-03,6130,6160,6060,6080,5788700,MBB
2020-03-04,6060,6080,6000,6050,3856070,MBB
2020-03-05,6080,6100,6030,6030,4512210,MBB
2020-03-06,5980,6030,5940,6030,3822460,MBB
2020-03-09,5700,5800,5610,5610,12282460,MBB
2020-03-10,5510,5700,5470,5580,7083800,MBB
2020-03-11,5670,5680,5220,5300,7990830,MBB
2020-03-12,5070,5130,4940,4940,15483860,MBB
2020-03-13,4620,5220,4600,4980,11673000,MBB
2020-03-16,5000,5040,4780,4790,4256130,MBB
2020-03-17,4660,4870,4590,4870,9350190,MBB
2020-03-18,4940,4940,4810,4810,5287310,MBB
2020-03-19,4730,4780,4660,4690,3879280,MBB
2020-03-20,4710,4740,4650,4660,4348520,MBB
2020-03-23,4430,4540,4340,4340,9616920,MBB
2020-03-24,4370,4370,4210,4310,7412520,MBB
2020-03-25,4460,4560,4380,4560,6925670,MBB
2020-03-26,4520,4530,4380,4380,4627510,MBB
2020-03-27,4400,4410,4230,4260,5378700,MBB
2020-03-30,4080,4110,3970,3970,7287180,MBB
