time,open,high,low,close,volume,ticker
2020-01-02,46080,46490,45590,46160,518870,MSN
2020-01-03,46320,46730,46000,46570,777690,MSN
2020-01-06,46570,46570,45830,45830,582020,MSN
2020-01-07,46000,46400,45910,46000,319680,MSN
2020-01-08,45520,45750,45030,45350,737690,MSN
2020-01-09,45830,46320,45750,46160,505680,MSN
2020-01-10,46160,46730,45750,45750,524930,MSN
2020-01-13,45830,46240,45670,46160,413810,MSN
2020-01-14,46160,46400,45830,45830,349410,MSN
2020-01-15,46160,46160,45350,45750,373290,MSN
2020-01-16,45750,46080,45520,45520,290210,MSN
2020-01-17,45440,45670,44540,44540,496940,MSN
2020-01-20,44540,44620,42920,43980,541490,MSN
2020-01-21,43980,44460,43810,44140,369330,MSN
2020-01-22,43900,44210,43160,43240,540210,MSN
2020-01-30,42920,42920,40490,40570,1591110,MSN
2020-01-31,40490,41870,40490,40570,791350,MSN
2020-02-03,37820,40490,37740,40490,1290570,MSN
2020-02-04,40570,41300,40080,40490,744900,MSN
2020-02-05,40900,40900,39850,40490,750710,MSN
2020-02-06,40450,40450,38470,40410,2389970,MSN
2020-02-07,40330,40410,39520,40410,932290,MSN
2020-02-10,40410,40410,39520,40410,600280,MSN
2020-02-11,39850,41870,39850,40410,2081860,MSN
2020-02-12,40490,41060,40490,40900,804720,MSN
2020-02-13,41060,41220,40570,40650,547970,MSN
2020-02-14,40650,40650,40050,40330,1120310,MSN
2020-02-17,40330,40330,39640,40240,1492320,MSN
2020-02-18,39850,40240,39850,40240,591220,MSN
2020-02-19,40160,41870,40160,40820,1818680,MSN
2020-02-20,41220,41620,40820,41390,1365480,MSN
2020-02-21,41700,43730,41700,42920,2061050,MSN
2020-02-24,41780,42520,41300,41390,1429040,MSN
2020-02-25,40900,41540,40330,40980,896710,MSN
2020-02-26,40330,40730,39680,40280,1252450,MSN
2020-02-27,39850,40330,39520,40240,1642080,MSN
2020-02-28,40240,40240,38630,39680,2255610,MSN
2020-03-02,39150,39680,38740,39680,1588150,MSN
2020-03-03,39850,40330,39280,39680,1225730,MSN
2020-03-04,39600,39970,39400,39680,909830,MSN
2020-03-05,40050,42110,39810,41220,1780900,MSN
2020-03-06,41140,44060,40570,44060,2794380,MSN
2020-03-09,42920,46000,41300,42110,4205130,MSN
2020-03-10,42830,43570,42110,42440,2386840,MSN
2020-03-11,43160,43160,39850,40450,2637580,MSN
2020-03-12,38220,40450,37650,40450,4072710,MSN
2020-03-13,37650,40450,37650,40370,3783330,MSN
2020-03-16,39680,40330,38470,40080,3216820,MSN
2020-03-17,38870,40080,38630,40080,3877150,MSN
2020-03-18,40080,40240,39520,40010,2170340,MSN
2020-03-19,39280,39850,38910,39850,3350310,MSN
2020-03-20,39680,39850,38710,39850,4120820,MSN
2020-03-23,38950,39850,37570,39850,5025020,MSN
2020-03-24,39280,39760,39110,39760,3558350,MSN
2020-03-25,39680,40240,39280,39760,2857290,MSN
2020-03-26,39680,39850,39320,39680,2763490,MSN
2020-03-27,39440,41300,39280,39930,2587920,MSN
2020-03-30,39280,39760,39190,39760,1378940,MSN
2020-03-31,39760,40410,39030,39680,3667100,MSN
2020-04-01,39520,40490,39520,39850,1725880,MSN
2020-04-03,40160,42360,40080,42360,1841480,MSN
2020-04-06,43160,45270,43000,45270,2556830,MSN
2020-04-07,46000,47290,44620,46570,2099700,MSN
2020-04-08,45440,47700,44950,47700,1338040,MSN
2020-04-09,47780,48340,47050,48110,2047890,MSN
2020-04-10,47780,50620,47210,48750,1914340,MSN
2020-04-13,48750,49720,47050,47050,2106950,MSN
2020-04-14,46970,49400,46320,49400,1449880,MSN
2020-04-15,49400,50450,49160,49320,1106350,MSN
2020-04-16,48260,49570,48260,49240,981480,MSN
2020-04-17,49400,49720,48990,49080,1417150,MSN
2020-04-20,49080,49400,48110,48110,1843690,MSN
2020-04-21,47050,47620,45440,45830,1855040,MSN
2020-04-22,44950,47450,44950,47130,1062970,MSN
2020-04-23,48190,48420,47130,47130,842920,MSN
2020-04-24,46810,48190,46320,48190,1218690,MSN
2020-04-27,48590,48990,47370,47370,1122520,MSN
2020-04-28,47370,48830,46970,48340,1095230,MSN
2020-04-29,47620,48510,47620,47620,830530,MSN
2020-05-04,46320,47540,46240,46400,1148810,MSN
2020-05-05,46320,46570,45670,45670,1098980,MSN
2020-05-06,46160,46970,45110,46970,1019980,MSN
2020-05-07,47620,47780,46970,47620,780600,MSN
2020-05-08,47780,50530,47700,49400,3319850,MSN
2020-05-11,51100,51100,49080,51100,1838950,MSN
2020-05-12,51010,51180,50050,50210,1028270,MSN
2020-05-13,49640,50620,48990,50130,1598740,MSN
2020-05-14,49800,52800,49400,51750,2573510,MSN
2020-05-15,52240,52550,50290,50290,1305890,MSN
2020-05-18,50290,50860,49720,50620,840070,MSN
2020-05-19,51260,52160,50620,51010,1923440,MSN
2020-05-20,50620,51750,50620,51670,998400,MSN
2020-05-21,51670,51830,50860,51670,1513470,MSN
2020-05-22,51420,51590,50210,50210,1310850,MSN
2020-05-25,50370,50780,49800,50050,1354620,MSN
2020-05-26,50210,50860,50130,50620,1053240,MSN
2020-05-27,51180,52310,50620,50620,2189080,MSN
2020-05-28,51340,51340,50530,50860,797480,MSN
2020-05-29,50860,50940,50370,50780,698100,MSN
2020-06-01,50780,51590,50780,51100,1076880,MSN
2020-06-02,51500,53290,51340,51750,4190080,MSN
2020-06-03,52240,52240,51500,51830,749700,MSN
2020-06-04,52310,52310,51260,51420,1528010,MSN
2020-06-05,51010,51260,50620,51010,1826680,MSN
2020-06-08,51340,52160,50860,51340,1758860,MSN
2020-06-09,51420,51990,50780,51010,1614250,MSN
2020-06-10,50940,51010,50620,50940,1210600,MSN
2020-06-11,51260,51910,47370,47370,2635700,MSN
2020-06-12,46160,47540,46160,47370,3042060,MSN
2020-06-15,47370,47700,44780,45670,2603230,MSN
2020-06-16,46490,46810,45750,46650,1492420,MSN
2020-06-17,46970,47130,46080,46570,1155980,MSN
2020-06-18,46160,46490,45270,46160,928290,MSN
2020-06-19,46650,46730,46160,46160,2419830,MSN
2020-06-22,46570,47370,46570,47210,1621780,MSN
2020-06-23,46970,48190,46970,47290,1453290,MSN
2020-06-24,47290,47620,45750,46320,935890,MSN
2020-06-25,45830,46160,45520,45910,1540010,MSN
2020-06-26,45910,46880,45670,45670,574970,MSN
2020-06-29,45670,45670,43650,44620,1720440,MSN
2020-06-30,45270,45440,43730,43810,1378930,MSN
2020-07-01,44060,45440,43730,44950,965870,MSN
2020-07-02,45350,46650,44950,46320,1094380,MSN
2020-07-03,46320,46880,45910,46320,699930,MSN
2020-07-06,46320,46970,46240,46650,855780,MSN
2020-07-07,46880,47290,46160,46160,959250,MSN
2020-07-08,46160,46570,46160,46160,467170,MSN
2020-07-09,46240,46730,46080,46490,1097650,MSN
2020-07-10,46490,46650,45350,46080,564900,MSN
2020-07-13,46160,46570,45750,45830,557920,MSN
2020-07-14,45670,45830,45110,45350,929240,MSN
2020-07-15,45750,45910,45110,45110,1250200,MSN
2020-07-16,45350,46160,44950,46160,978700,MSN
2020-07-17,45910,46000,45350,45520,759610,MSN
2020-07-20,45350,45350,44540,44540,944440,MSN
2020-07-21,44540,45030,43980,44290,1670960,MSN
2020-07-22,44290,44700,43900,43900,833760,MSN
2020-07-23,43900,44210,43410,43650,762030,MSN
2020-07-24,43490,43650,41140,42110,2045780,MSN
2020-07-27,39600,41700,39600,40080,2819250,MSN
2020-07-28,40490,41300,40080,40900,1318770,MSN
2020-07-29,40080,40490,39680,39970,1352670,MSN
2020-07-30,40410,40570,40080,40330,821650,MSN
2020-07-31,39760,41620,39760,40900,2195060,MSN
