time,open,high,low,close,volume,ticker
2020-01-02,10870,10910,10700,10820,639390,PDR
2020-01-03,10800,10800,10490,10530,421590,PDR
2020-01-06,10570,10660,10510,10630,1049590,PDR
2020-01-07,10610,10660,9920,9920,2226990,PDR
2020-01-08,10110,10590,9760,10590,1247880,PDR
2020-01-09,10590,10870,10490,10790,575890,PDR
2020-01-10,10790,10820,10360,10510,732690,PDR
2020-01-13,10410,10440,10220,10220,480660,PDR
2020-01-14,10240,10660,10190,10660,588350,PDR
2020-01-15,10660,10700,10490,10610,566830,PDR
2020-01-16,10660,10660,10440,10610,871140,PDR
2020-01-17,10610,10660,10530,10610,731700,PDR
2020-01-20,10610,10660,10530,10610,667980,PDR
2020-01-21,10610,10790,10530,10790,773380,PDR
2020-01-22,10790,10980,10610,10980,699090,PDR
2020-01-30,10980,10980,10740,10880,687530,PDR
2020-01-31,10790,10870,10610,10800,585650,PDR
2020-02-03,10800,10800,10530,10800,498280,PDR
2020-02-04,10820,10820,10700,10820,507600,PDR
2020-02-05,10820,10870,10110,10820,735810,PDR
2020-02-06,10790,10870,10710,10840,570160,PDR
2020-02-07,10840,10870,10710,10870,449400,PDR
2020-02-10,10820,10820,10680,10760,542130,PDR
2020-02-11,10760,10840,10710,10740,672120,PDR
2020-02-12,10740,10790,10680,10740,556440,PDR
2020-02-13,10740,10820,10700,10820,699500,PDR
2020-02-14,10820,10840,10710,10820,519970,PDR
2020-02-17,10820,10840,10700,10790,719100,PDR
2020-02-18,10790,10840,10700,10840,735080,PDR
2020-02-19,10820,10820,10710,10790,545510,PDR
2020-02-20,10800,10820,10710,10800,758990,PDR
2020-02-21,10820,10820,10700,10800,903160,PDR
2020-02-24,10790,10870,10680,10680,1024780,PDR
2020-02-25,10660,10790,10660,10790,597740,PDR
2020-02-26,10790,10790,10700,10740,493440,PDR
2020-02-27,10740,10790,10680,10740,353850,PDR
2020-02-28,10740,10790,10680,10790,599270,PDR
2020-03-02,10790,10790,10700,10790,758580,PDR
2020-03-03,10790,10820,10700,10820,1173520,PDR
2020-03-04,10790,10820,10740,10790,1062030,PDR
2020-03-05,10790,10820,10790,10800,741160,PDR
2020-03-06,10800,10820,10700,10820,747620,PDR
2020-03-09,10700,10790,10190,10610,655510,PDR
2020-03-10,10320,10610,10160,10610,367390,PDR
2020-03-11,10610,10610,10280,10570,260510,PDR
2020-03-12,10280,10570,10070,10570,204480,PDR
2020-03-13,10280,10570,10240,10570,115440,PDR
2020-03-16,10280,10490,10190,10490,353290,PDR
2020-03-17,10320,10570,10190,10570,284310,PDR
2020-03-18,10570,10570,10280,10440,330720,PDR
2020-03-19,10410,10440,10240,10440,293550,PDR
2020-03-20,10440,10440,10190,10440,343600,PDR
2020-03-23,10440,10440,10240,10360,334360,PDR
2020-03-24,10360,10360,10270,10270,363780,PDR
2020-03-25,10270,10360,10240,10360,196220,PDR
2020-03-26,10360,10410,10280,10410,273660,PDR
2020-03-27,10360,10410,10240,10410,278280,PDR
2020-03-30,10360,10360,10240,10360,296020,PDR
2020-03-31,10360,10360,10160,10320,420780,PDR
2020-04-01,10320,10320,10190,10320,475220,PDR
2020-04-03,10320,10350,10220,10350,319910,PDR
2020-04-06,10280,10350,10240,10350,411830,PDR
2020-04-07,10350,10440,10240,10440,429470,PDR
2020-04-08,10360,10440,10360,10440,413610,PDR
2020-04-09,10360,10440,10320,10440,399450,PDR
2020-04-10,10390,10440,10240,10410,368040,PDR
2020-04-13,10390,10530,10320,10440,391180,PDR
2020-04-14,10410,10440,10320,10410,459970,PDR
2020-04-15,10410,10410,10320,10350,355190,PDR
2020-04-16,10350,10350,10240,10280,422880,PDR
2020-04-17,10360,10440,10320,10360,471720,PDR
2020-04-20,10360,10440,10310,10390,450490,PDR
2020-04-21,10360,10360,10240,10320,554320,PDR
2020-04-22,10270,10360,10160,10360,615650,PDR
2020-04-23,10320,10440,10320,10390,442420,PDR
2020-04-24,10360,10410,10280,10390,545030,PDR
2020-04-27,10390,10440,10240,10410,549150,PDR
2020-04-28,10360,10390,10240,10390,576010,PDR
2020-04-29,11110,11110,10350,11110,1278990,PDR
2020-05-04,11030,11400,10910,11150,1162140,PDR
2020-05-05,11110,11190,10740,10840,644800,PDR
2020-05-06,10840,10940,10530,10940,612250,PDR
2020-05-07,10790,10910,10660,10870,627640,PDR
2020-05-08,10820,10870,10660,10790,579650,PDR
2020-05-11,11010,11010,10740,11010,651900,PDR
2020-05-12,10940,11130,10870,11090,1072680,PDR
2020-05-13,11030,11400,10910,11360,901030,PDR
2020-05-14,11280,11610,11280,11610,535260,PDR
2020-05-15,11610,11710,11480,11610,581610,PDR
2020-05-18,11440,11610,11440,11580,468870,PDR
2020-05-19,11610,11690,11550,11580,642840,PDR
2020-05-20,11480,11660,11390,11660,616430,PDR
2020-05-21,11690,11690,11560,11690,581630,PDR
2020-05-22,11670,11710,11530,11620,819790,PDR
2020-05-25,11620,11690,11480,11480,678170,PDR
2020-05-26,11480,11620,11480,11620,614970,PDR
2020-05-27,11670,11670,11500,11650,1282900,PDR
2020-05-28,11560,12170,11560,12170,1643320,PDR
2020-05-29,12170,12970,12170,12860,1528450,PDR
2020-06-01,12910,12950,12720,12720,1040230,PDR
2020-06-02,12680,12720,11820,12170,1017140,PDR
2020-06-03,12080,12200,11880,12170,424280,PDR
2020-06-04,12170,12260,11970,12060,570020,PDR
2020-06-05,12060,12300,11820,12300,871710,PDR
2020-06-08,12230,12340,12170,12320,851000,PDR
2020-06-09,12260,12340,12110,12170,575380,PDR
2020-06-10,12060,12170,11910,12170,476130,PDR
2020-06-11,12170,12170,11790,11790,573560,PDR
2020-06-12,11690,11820,11310,11820,399550,PDR
2020-06-15,11740,11820,11220,11370,392450,PDR
2020-06-16,11370,11560,11370,11460,503910,PDR
2020-06-17,11460,11460,10990,10990,589590,PDR
2020-06-18,10990,11220,10470,11180,346300,PDR
2020-06-19,11130,11130,10850,10850,901950,PDR
2020-06-22,11040,11600,11040,11600,358150,PDR
2020-06-23,12180,12260,11460,11710,709000,PDR
2020-06-24,11530,11710,11220,11270,487320,PDR
2020-06-25,11270,11460,11130,11180,439380,PDR
2020-06-26,11180,11410,11180,11370,677080,PDR
2020-06-29,11250,11310,10990,11220,753920,PDR
2020-06-30,11270,11820,11220,11270,748990,PDR
2020-07-01,11270,11480,10500,11370,1397740,PDR
