time,open,high,low,close,volume,ticker
2020-01-02,44920,45720,44360,45240,380760,PLX
2020-01-03,45320,46530,45320,45720,586600,PLX
2020-01-06,46440,46440,45720,45890,497990,PLX
2020-01-07,46050,46050,45160,45240,290780,PLX
2020-01-08,45640,45640,44530,44610,237220,PLX
2020-01-09,44610,45090,44610,45000,128140,PLX
2020-01-10,45000,45240,44610,44610,135340,PLX
2020-01-13,44610,45000,44530,44760,166780,PLX
2020-01-14,44670,44670,44200,44440,94530,PLX
2020-01-15,44440,44440,43800,44360,176290,PLX
2020-01-16,44440,44920,44200,44610,176180,PLX
2020-01-17,44850,45490,44850,45000,128190,PLX
2020-01-20,45000,45160,44610,44850,265570,PLX
2020-01-21,45160,45640,45090,45570,605240,PLX
2020-01-22,45570,46210,45570,45890,392620,PLX
2020-01-30,44850,45490,44360,44360,314560,PLX
2020-01-31,44610,44610,42440,42440,672920,PLX
2020-02-03,39680,41160,39480,40840,594560,PLX
2020-02-04,41470,41640,40040,40600,578180,PLX
2020-02-05,40690,41640,40690,41240,186410,PLX
2020-02-06,41240,41890,41000,41640,547380,PLX
2020-02-07,41890,42040,41410,41470,345610,PLX
2020-02-10,41080,41470,40600,41320,357180,PLX
2020-02-11,41320,42280,41240,42280,427820,PLX
2020-02-12,42280,42510,42280,42370,637550,PLX
2020-02-13,42280,43080,42280,42680,506100,PLX
2020-02-14,42680,43010,42600,42680,612290,PLX
2020-02-17,42680,42760,42200,42510,371440,PLX
2020-02-18,42440,42440,42120,42280,254370,PLX
2020-02-19,42370,42680,42280,42370,337410,PLX
2020-02-20,42680,42840,42510,42600,292760,PLX
2020-02-21,42760,42760,42280,42280,288010,PLX
2020-02-24,41240,41640,40280,40510,441450,PLX
2020-02-25,40370,40840,40130,40690,282590,PLX
2020-02-26,40600,40600,40130,40130,290260,PLX
2020-02-27,40130,41000,40130,41000,238530,PLX
2020-02-28,40200,41720,40200,41320,290640,PLX
2020-03-02,41320,41320,40690,40690,135280,PLX
2020-03-03,40840,41240,40280,40280,241940,PLX
2020-03-04,40280,40510,40200,40280,149030,PLX
2020-03-05,40600,40690,40280,40280,165440,PLX
2020-03-06,40200,40200,39720,39810,167080,PLX
2020-03-09,37040,38440,37040,37040,262470,PLX
2020-03-10,34480,36030,34480,35070,518640,PLX
2020-03-11,35880,35880,32630,32750,385470,PLX
2020-03-12,32040,32040,30470,30470,465400,PLX
2020-03-13,28340,30430,28340,28950,845640,PLX
2020-03-16,29070,30580,29070,29470,632180,PLX
2020-03-17,29630,31510,29230,31510,535980,PLX
2020-03-18,32750,33710,32040,33710,880510,PLX
2020-03-19,33390,33480,32100,32100,510280,PLX
2020-03-20,32830,33240,32100,32509,381290,PLX
2020-03-23,31310,31720,30280,30280,585750,PLX
2020-03-24,30280,30350,28340,30030,1147220,PLX
2020-03-25,30830,32100,30830,32100,469810,PLX
2020-03-26,32040,32830,31230,31590,418920,PLX
2020-03-27,31230,31720,30510,31630,713230,PLX
2020-03-30,29610,31580,29610,30200,728950,PLX
2020-03-31,30360,31580,29950,30800,383160,PLX
2020-04-01,30800,32900,30360,32810,595360,PLX
2020-04-03,33910,34070,33150,33650,851510,PLX
2020-04-06,34420,34620,33650,33830,1924660,PLX
2020-04-07,32980,33240,32130,32770,1194700,PLX
2020-04-08,32390,32729,32049,32390,941540,PLX
2020-04-09,32900,34590,32900,33740,1936030,PLX
2020-04-10,33830,35010,33410,34380,1638300,PLX
2020-04-13,34500,34920,34040,34040,1328310,PLX
2020-04-14,34040,34040,32900,33410,1122090,PLX
2020-04-15,33410,34120,33020,33650,1210150,PLX
2020-04-16,33740,34920,33610,34590,1953570,PLX
2020-04-17,35090,35120,34540,34920,1594470,PLX
2020-04-20,34920,37200,34920,37030,2466850,PLX
2020-04-21,35010,36190,34460,34460,2649020,PLX
2020-04-22,32900,34420,32729,34330,1125610,PLX
2020-04-23,35090,35090,34160,34330,1233190,PLX
2020-04-24,34590,35010,34250,34880,1094050,PLX
2020-04-27,34880,34880,33860,33910,1102230,PLX
2020-04-28,33910,34160,32950,33500,1226410,PLX
2020-04-29,34000,34250,33500,34000,707440,PLX
2020-05-04,34880,34880,33740,33830,883050,PLX
2020-05-05,33310,34280,33310,34070,545090,PLX
2020-05-06,34760,35670,34500,35380,1700870,PLX
2020-05-07,35430,35760,35090,35470,1269830,PLX
2020-05-08,35600,37920,35600,36950,2375610,PLX
2020-05-11,37370,37530,36820,37370,1344010,PLX
2020-05-12,37370,38810,36610,38420,1799500,PLX
