time,open,high,low,close,volume,ticker
2020-01-02,57800,58520,57450,58380,651790,PNJ
2020-01-03,58730,58920,57510,58000,659870,PNJ
2020-01-06,57920,58660,57320,57320,692370,PNJ
2020-01-07,57450,58110,56790,58060,576310,PNJ
2020-01-08,58110,58170,56180,56850,948880,PNJ
2020-01-09,57510,58170,57170,57580,563340,PNJ
2020-01-10,57800,59250,57800,59120,1665860,PNJ
2020-01-13,59050,59730,58860,59450,711990,PNJ
2020-01-14,59390,59450,59050,59390,435560,PNJ
2020-01-15,59190,60520,59120,60130,1175740,PNJ
2020-01-16,60320,60520,59860,60050,629290,PNJ
2020-01-17,60130,60740,59920,60590,738240,PNJ
2020-01-20,60800,61710,60800,61470,818960,PNJ
2020-01-21,61710,61770,60800,60800,622420,PNJ
2020-01-22,60800,61400,60380,60990,702790,PNJ
2020-01-30,60520,60660,56920,58590,1298290,PNJ
2020-01-31,58110,58990,56130,56310,2087700,PNJ
2020-02-03,53440,56130,53180,55320,1433110,PNJ
2020-02-04,55440,56370,55110,56130,812530,PNJ
2020-02-05,56310,56720,55180,55250,648860,PNJ
2020-02-06,55250,56130,55180,56060,586840,PNJ
2020-02-07,56130,56130,54970,55180,753340,PNJ
2020-02-10,54770,55040,54110,54450,555450,PNJ
2020-02-11,54770,54900,54450,54450,405250,PNJ
2020-02-12,54900,56060,54580,55110,622610,PNJ
2020-02-13,55110,55440,54710,55110,384700,PNJ
2020-02-14,55110,55320,54900,55250,297190,PNJ
2020-02-17,55110,55440,54900,55040,343220,PNJ
2020-02-18,55180,56310,55040,55930,659890,PNJ
2020-02-19,55930,57120,55930,57120,692450,PNJ
2020-02-20,57720,57720,56570,56980,439930,PNJ
2020-02-21,56920,57120,55780,55980,682030,PNJ
2020-02-24,54830,55250,54250,54250,1114770,PNJ
2020-02-25,54110,55440,54110,55440,775410,PNJ
2020-02-26,54770,55980,54110,55440,602240,PNJ
2020-02-27,55440,55850,55320,55780,355500,PNJ
2020-02-28,54770,55110,54520,54580,455890,PNJ
2020-03-02,54580,55040,54400,54520,450120,PNJ
2020-03-03,55180,55180,54520,54770,390160,PNJ
2020-03-04,54630,54900,54520,54900,263230,PNJ
2020-03-05,55180,55250,54580,54580,318450,PNJ
2020-03-06,54450,54580,53560,53910,582160,PNJ
2020-03-09,50230,52100,50160,50160,1114330,PNJ
2020-03-10,47440,50290,47440,49230,653470,PNJ
2020-03-11,49780,49780,45830,45830,1210390,PNJ
2020-03-12,42620,42760,42620,42620,516330,PNJ
2020-03-13,39690,41870,39690,41150,1549920,PNJ
2020-03-16,40410,40410,38270,38270,903300,PNJ
2020-03-17,35600,38080,35600,38080,1240480,PNJ
2020-03-18,38080,39070,38080,38350,777380,PNJ
2020-03-19,37750,37750,36090,36330,467220,PNJ
2020-03-20,36090,36820,35670,36750,808070,PNJ
2020-03-23,35400,35400,34210,34210,931290,PNJ
2020-03-24,34400,35080,33580,34330,824750,PNJ
2020-03-25,36030,36670,35400,36670,1192820,PNJ
2020-03-26,36750,37670,35950,35950,1095970,PNJ
2020-03-27,36140,36410,34130,34690,936120,PNJ
2020-03-30,32259,33390,32259,32259,1030090,PNJ
2020-03-31,32259,33290,30070,31340,595870,PNJ
2020-04-01,30770,33500,30770,33190,545620,PNJ
2020-04-03,33790,35480,33570,35420,873070,PNJ
2020-04-06,37270,37890,36230,37890,1275440,PNJ
2020-04-07,38230,39100,37530,38900,1214990,PNJ
2020-04-08,37060,38560,37060,38360,833930,PNJ
2020-04-09,38360,40880,38360,39600,1080630,PNJ
2020-04-10,39600,40130,38290,39320,847960,PNJ
2020-04-13,39320,40540,38700,39320,820650,PNJ
2020-04-14,39860,39860,38560,39250,740380,PNJ
2020-04-15,39470,40540,39470,40400,797850,PNJ
2020-04-16,40130,40620,39250,40280,621760,PNJ
2020-04-17,40820,41310,40540,40740,1193570,PNJ
2020-04-20,41640,41760,40620,41090,1223870,PNJ
2020-04-21,40620,41090,38850,39530,1314890,PNJ
2020-04-22,38360,40200,38360,40130,873320,PNJ
2020-04-23,41310,41380,40280,40540,634070,PNJ
2020-04-24,40680,40740,40340,40620,434140,PNJ
2020-04-27,40950,41090,39600,39600,932470,PNJ
2020-04-28,39600,39860,38900,39030,716420,PNJ
2020-04-29,38850,39170,38700,38850,890670,PNJ
2020-05-04,38780,39600,38360,38560,274490,PNJ
2020-05-05,38780,38960,38020,38230,786060,PNJ
2020-05-06,38230,38780,38230,38560,932630,PNJ
2020-05-07,38900,39320,38780,39250,823310,PNJ
2020-05-08,39600,40620,39530,39730,1518960,PNJ
2020-05-11,40740,40880,39800,40740,1231840,PNJ
2020-05-12,40740,43530,40070,43530,2362950,PNJ
2020-05-13,43680,44710,42330,44310,1460490,PNJ
2020-05-14,43530,44310,43200,43410,1021220,PNJ
2020-05-15,43530,43610,41970,42330,1381060,PNJ
2020-05-18,42180,43680,41970,43340,785810,PNJ
2020-05-19,43890,44570,43340,43890,1052410,PNJ
2020-05-20,43410,43960,43270,43680,691470,PNJ
2020-05-21,43410,43680,43020,43680,1380800,PNJ
2020-05-22,43410,43460,42880,43140,801200,PNJ
2020-05-25,43340,43890,43340,43680,709350,PNJ
2020-05-26,43960,44250,43610,43810,1048050,PNJ
2020-05-27,44030,44370,43020,43020,1268400,PNJ
2020-05-28,42660,43090,42460,42800,796350,PNJ
2020-05-29,42660,43680,42390,43090,764030,PNJ
