time,open,high,low,close,volume,ticker
2020-01-02,2130,2200,2130,2200,5266138,SHB
2020-01-03,2200,2200,2130,2130,2756634,SHB
2020-01-06,2130,2170,2110,2110,2225405,SHB
2020-01-07,2110,2170,2110,2110,1900049,SHB
2020-01-08,2110,2170,2060,2110,4952178,SHB
2020-01-09,2130,2200,2110,2130,4564607,SHB
2020-01-10,2170,2340,2170,2340,12074293,SHB
2020-01-13,2340,2390,2290,2360,6713670,SHB
2020-01-14,2360,2390,2340,2360,4214729,SHB
2020-01-15,2360,2440,2340,2440,5862093,SHB
2020-01-16,2440,2520,2350,2460,5813973,SHB
2020-01-17,2460,2520,2390,2390,5603239,SHB
2020-01-20,2390,2440,2350,2360,5686173,SHB
2020-01-21,2340,2500,2340,2440,3921607,SHB
2020-01-22,2440,2520,2440,2520,5596112,SHB
2020-01-30,2500,2600,2440,2460,9105370,SHB
2020-01-31,2460,2600,2440,2460,18935757,SHB
2020-02-03,2390,2600,2390,2600,27397994,SHB
2020-02-04,2680,2710,2640,2710,7888715,SHB
2020-02-05,2710,2950,2560,2950,13147005,SHB
2020-02-06,2950,3120,2950,3040,9104379,SHB
2020-02-07,3040,3070,2830,2830,10890679,SHB
2020-02-10,2830,2880,2710,2710,10748016,SHB
2020-02-11,2750,2880,2710,2880,9393306,SHB
2020-02-12,2880,2950,2880,2910,8981890,SHB
2020-02-13,2910,2910,2800,2880,11588530,SHB
2020-02-14,2880,2950,2860,2910,5467484,SHB
2020-02-17,2910,2990,2880,2950,6810878,SHB
2020-02-18,2910,3040,2880,2910,4349999,SHB
2020-02-19,2910,2910,2800,2800,6807758,SHB
2020-02-20,2800,2880,2750,2750,9524499,SHB
2020-02-21,2800,2830,2710,2750,4420990,SHB
2020-02-24,2750,2880,2680,2830,20882603,SHB
2020-02-25,2800,2950,2750,2910,14034831,SHB
2020-02-26,2910,3190,2880,3190,30512712,SHB
2020-02-27,3190,3510,3190,3510,18183092,SHB
2020-02-28,3510,3830,3420,3830,34257491,SHB
2020-03-02,3790,4190,3620,4190,54625808,SHB
2020-03-03,4190,4590,4100,4510,42647821,SHB
2020-03-04,4430,4790,4310,4790,50027154,SHB
2020-03-05,4750,5260,4710,5150,65589848,SHB
2020-03-06,5150,5190,4790,4950,22246933,SHB
2020-03-09,4510,4820,4470,4470,4400928,SHB
2020-03-10,4030,4470,4030,4030,14000432,SHB
2020-03-11,3830,4430,3790,4430,28794377,SHB
2020-03-12,4430,4590,4310,4470,16970413,SHB
2020-03-13,4270,4510,4030,4390,28882992,SHB
2020-03-16,4350,4820,4190,4390,8688136,SHB
2020-03-17,4270,4510,4140,4510,12201261,SHB
2020-03-18,4390,4790,4390,4750,7407963,SHB
2020-03-19,4750,4750,4590,4710,4986718,SHB
2020-03-20,4670,4790,4550,4790,6011812,SHB
2020-03-23,4620,4790,4620,4710,13749681,SHB
2020-03-24,4670,4790,4620,4750,8322806,SHB
2020-03-25,4750,5060,4750,5060,4967554,SHB
2020-03-26,5060,5110,4750,4990,4013630,SHB
2020-03-27,4990,5030,4820,4950,3671541,SHB
2020-03-30,4860,4950,4470,4750,4326720,SHB
2020-03-31,4750,4950,4310,4860,3548092,SHB
2020-04-01,4790,5190,4390,5150,3776573,SHB
2020-04-03,5150,5310,4670,5310,4185700,SHB
2020-04-06,5190,5830,4790,5830,9067705,SHB
2020-04-07,5830,5950,5660,5950,5730224,SHB
2020-04-08,5910,6190,5830,6190,6052955,SHB
2020-04-09,6150,6580,6060,6540,3893860,SHB
2020-04-10,6500,7180,5990,6980,4915216,SHB
2020-04-13,7020,7250,6310,7100,3262672,SHB
2020-04-14,7100,7100,6420,7100,5084359,SHB
2020-04-15,7060,7180,7020,7180,5145129,SHB
2020-04-16,7180,7180,6980,7130,2606662,SHB
2020-04-17,6980,7250,6980,7180,4932621,SHB
2020-04-20,7180,7180,6870,6940,4937658,SHB
2020-04-21,6780,6940,6260,6260,5584359,SHB
2020-04-22,6190,6700,5780,6460,3305313,SHB
2020-04-23,6460,6700,6420,6540,1785925,SHB
2020-04-24,6390,6540,6390,6540,1236565,SHB
2020-04-27,6500,6540,6350,6420,1674463,SHB
2020-04-28,6420,6420,5830,6390,1814591,SHB
2020-04-29,6390,6390,6260,6350,1362714,SHB
2020-05-04,6310,6310,6190,6220,1922976,SHB
2020-05-05,6190,6310,6020,6060,2449848,SHB
2020-05-06,6060,6190,5910,6190,2734983,SHB
2020-05-07,6190,6420,6190,6420,2012928,SHB
