time,open,high,low,close,volume,ticker
2020-01-02,11420,11570,11400,11540,1387610,TCB
2020-01-03,11590,11620,11470,11470,756700,TCB
2020-01-06,11350,11350,11180,11180,1162990,TCB
2020-01-07,11180,11250,11160,11250,1043300,TCB
2020-01-08,11060,11180,10960,11030,1710390,TCB
2020-01-09,11160,11200,11080,11180,2009840,TCB
2020-01-10,11160,11400,11160,11230,3679110,TCB
2020-01-13,11160,11230,11030,11130,892360,TCB
2020-01-14,11130,11180,11110,11110,1804950,TCB
2020-01-15,11110,11160,11060,11110,1929280,TCB
2020-01-16,11110,11330,11110,11300,4383720,TCB
2020-01-17,11350,11450,11300,11350,1875160,TCB
2020-01-20,11300,11370,11250,11330,2019730,TCB
2020-01-21,11370,11660,11350,11660,7458340,TCB
2020-01-22,11760,11760,11620,11740,2309150,TCB
2020-01-30,11400,11540,11030,11110,4013510,TCB
2020-01-31,10990,11110,10480,10480,6118460,TCB
2020-02-03,9940,10720,9870,10400,4258750,TCB
2020-02-04,10430,10620,10280,10550,2196570,TCB
2020-02-05,10670,10740,10450,10550,2433210,TCB
2020-02-06,10840,10890,10430,10840,2677150,TCB
2020-02-07,10840,10840,10620,10740,1965440,TCB
2020-02-10,10620,10670,10500,10600,1304360,TCB
2020-02-11,10600,10820,10600,10740,1353360,TCB
2020-02-12,10820,11130,10770,10990,3157240,TCB
2020-02-13,10940,10990,10860,10960,1823230,TCB
2020-02-14,11200,11350,11110,11300,4375740,TCB
2020-02-17,11350,11590,11280,11540,6393370,TCB
2020-02-18,11540,11690,11420,11490,4268770,TCB
2020-02-19,11450,11490,11370,11470,1980690,TCB
2020-02-20,11490,11590,11300,11400,2950950,TCB
2020-02-21,11350,11490,11200,11200,2959980,TCB
2020-02-24,11030,11030,10430,10430,7508070,TCB
2020-02-25,10190,10790,10090,10770,3236900,TCB
2020-02-26,10550,10910,10480,10840,2243500,TCB
2020-02-27,10840,11030,10770,11030,2324050,TCB
2020-02-28,10670,10860,10600,10790,2433150,TCB
2020-03-02,10860,10990,10720,10910,2567350,TCB
2020-03-03,11080,11160,10910,10910,2162150,TCB
2020-03-04,10840,10960,10770,10940,1936620,TCB
2020-03-05,10940,11080,10820,10820,2022250,TCB
2020-03-06,10770,10770,10570,10690,2247920,TCB
2020-03-09,10020,10190,9970,9970,4584600,TCB
2020-03-10,9890,10190,9750,10040,3161970,TCB
2020-03-11,10090,10160,9360,9360,5626550,TCB
2020-03-12,8730,8970,8710,8710,4054760,TCB
2020-03-13,8100,9000,8100,8850,4332700,TCB
2020-03-16,8850,8850,8340,8460,3645430,TCB
2020-03-17,8250,8710,8170,8710,3112070,TCB
2020-03-18,8780,8830,8590,8710,1908520,TCB
2020-03-19,8540,8630,8320,8370,2214980,TCB
2020-03-20,8460,8490,8320,8420,1878140,TCB
2020-03-23,7860,8250,7830,7830,3265510,TCB
2020-03-24,8000,8000,7760,7810,3209920,TCB
2020-03-25,8000,8100,7910,8050,2952270,TCB
2020-03-26,8050,8050,7810,7810,1487540,TCB
2020-03-27,7830,7860,7570,7760,2746330,TCB
2020-03-30,7320,7520,7230,7230,3360230,TCB
2020-03-31,7280,7520,6790,7280,1578850,TCB
2020-04-01,7280,7570,6960,7520,1316380,TCB
2020-04-03,7520,7740,7520,7690,1433510,TCB
2020-04-06,7860,8220,7810,8220,2966040,TCB
2020-04-07,8250,8340,8150,8220,2424610,TCB
