time,open,high,low,close,volume,ticker
2020-01-02,62310,63040,62310,62600,238600,VHM
2020-01-03,62600,62970,62380,62820,394470,VHM
2020-01-06,62380,62670,61050,61500,1025270,VHM
2020-01-07,61200,62530,61200,61790,590360,VHM
2020-01-08,61200,61570,59730,60830,553690,VHM
2020-01-09,61500,61720,61130,61420,421250,VHM
2020-01-10,61420,62600,60980,62310,699780,VHM
2020-01-13,62530,64000,62310,63630,882160,VHM
2020-01-14,63560,64000,63490,63630,361600,VHM
2020-01-15,63780,63780,63260,63630,420650,VHM
2020-01-16,63710,63710,63340,63490,441860,VHM
2020-01-17,63560,64810,63410,63410,552190,VHM
2020-01-20,63410,63710,63190,63410,711830,VHM
2020-01-21,63410,64519,63410,64519,653680,VHM
2020-01-22,64440,65990,64370,65920,673070,VHM
2020-01-30,64300,64739,63260,64440,1414000,VHM
2020-01-31,64519,65260,64220,64519,1284370,VHM
2020-02-03,61350,63340,60460,62820,755310,VHM
2020-02-04,62820,63780,62670,63190,829790,VHM
2020-02-05,64000,64000,62970,63410,2410370,VHM
2020-02-06,64000,64150,63410,64000,484420,VHM
2020-02-07,64080,64739,64000,64150,587610,VHM
2020-02-10,63490,63930,63260,63560,373600,VHM
2020-02-11,63410,63710,63040,63560,602090,VHM
2020-02-12,63930,63930,63560,63780,395320,VHM
2020-02-13,63560,63710,63040,63410,421050,VHM
2020-02-14,63040,65330,63040,64590,481520,VHM
2020-02-17,64890,64890,63780,63930,164600,VHM
2020-02-18,63850,64150,63120,63410,323870,VHM
2020-02-19,63120,63780,62820,63410,514110,VHM
2020-02-20,63780,64370,63340,64080,271380,VHM
2020-02-21,63780,64080,63410,63490,184170,VHM
2020-02-24,61420,62750,61420,61940,619380,VHM
2020-02-25,60680,61790,59730,61270,410300,VHM
2020-02-26,61200,61200,59210,59650,651880,VHM
2020-02-27,58910,59730,58250,59580,1280250,VHM
2020-02-28,57880,59280,57880,59280,860760,VHM
2020-03-02,58320,59430,58250,59360,447980,VHM
2020-03-03,59360,59800,59140,59360,742520,VHM
2020-03-04,58320,59360,58180,59360,901070,VHM
2020-03-05,59060,60090,59060,59730,361110,VHM
2020-03-06,58990,59650,58250,59650,339740,VHM
2020-03-09,57960,57960,55520,55520,973190,VHM
2020-03-10,52350,56410,52350,56410,1050110,VHM
