time,open,high,low,close,volume,ticker
2020-01-02,33800,34450,33800,34350,581190,VRE
2020-01-03,34300,34650,34100,34600,1272890,VRE
2020-01-06,34500,34500,33500,33650,682790,VRE
2020-01-07,33650,33950,33600,33950,356780,VRE
2020-01-08,33400,33500,32600,32700,919210,VRE
2020-01-09,33350,34000,33300,34000,1054800,VRE
2020-01-10,34000,34100,33550,33950,543040,VRE
2020-01-13,34000,34000,33600,33750,417280,VRE
2020-01-14,33850,34000,33750,33750,562730,VRE
2020-01-15,33800,33800,33200,33200,549700,VRE
2020-01-16,33700,33700,32750,32800,979630,VRE
2020-01-17,33150,33150,32500,32600,872560,VRE
2020-01-20,32400,32450,31850,32000,1070940,VRE
2020-01-21,32000,32700,32000,32600,908080,VRE
2020-01-22,32500,32800,32299,32600,932500,VRE
2020-01-30,32000,32100,30700,30950,2002220,VRE
2020-01-31,30950,31300,30050,30050,2322570,VRE
2020-02-03,28000,30300,27950,30200,1977600,VRE
2020-02-04,29700,30150,28700,29250,2239180,VRE
2020-02-05,30200,30200,28800,28950,2036300,VRE
2020-02-06,30950,30950,28800,30950,3660600,VRE
2020-02-07,31050,32250,30800,32000,2423940,VRE
2020-02-10,31500,31500,31000,31100,611640,VRE
2020-02-11,31000,31650,30500,31400,2573890,VRE
2020-02-12,31850,31850,31250,31250,982950,VRE
2020-02-13,31000,31450,31000,31450,862410,VRE
2020-02-14,31450,32200,31300,31750,1388080,VRE
2020-02-17,31800,31800,31200,31400,562430,VRE
2020-02-18,31300,31500,30500,30550,1019810,VRE
2020-02-19,30500,30550,29800,30150,1562980,VRE
2020-02-20,30550,30900,30300,30900,1626950,VRE
2020-02-21,30700,30900,30700,30700,697440,VRE
2020-02-24,29100,30400,29100,29350,1391850,VRE
2020-02-25,29000,29450,28800,29200,1014900,VRE
2020-02-26,29000,29500,28750,29000,1028780,VRE
2020-02-27,28850,29100,28750,29000,1254940,VRE
2020-02-28,28500,28800,28050,28500,1824830,VRE
2020-03-02,28500,28950,28200,28550,929150,VRE
2020-03-03,29050,29050,28450,28450,1767430,VRE
2020-03-04,28300,28500,28100,28450,966120,VRE
2020-03-05,28650,29000,28600,28600,859920,VRE
2020-03-06,28700,28700,28200,28500,805500,VRE
2020-03-09,26750,27500,26550,26550,2164550,VRE
2020-03-10,25300,26950,25150,26400,3031510,VRE
2020-03-11,26400,26400,24600,26000,4211430,VRE
2020-03-12,24200,24950,24200,24200,2976280,VRE
2020-03-13,22550,24300,22550,24200,4742820,VRE
2020-03-16,24500,24500,22550,23700,1752440,VRE
2020-03-17,22500,22700,22050,22100,2066890,VRE
2020-03-18,22000,22300,21250,22100,1935850,VRE
2020-03-19,21000,22000,20700,21900,2175340,VRE
2020-03-20,21900,21900,20400,20400,2758320,VRE
2020-03-23,19200,19450,19000,19000,401880,VRE
2020-03-24,17700,18000,17700,17700,6890560,VRE
2020-03-25,18300,18900,16900,18900,4747820,VRE
2020-03-26,18500,20200,18000,20000,4553180,VRE
2020-03-27,19400,20400,18600,20400,5480540,VRE
2020-03-30,19000,19250,19000,19000,2275750,VRE
2020-03-31,18700,20300,18550,19150,3565970,VRE
2020-04-01,19000,19700,18100,19250,930870,VRE
2020-04-03,19400,19700,18900,19500,2522290,VRE
2020-04-06,19950,20850,19850,20850,4515950,VRE
2020-04-07,21500,22300,21100,22300,3715760,VRE
2020-04-08,21900,22500,21300,22500,3361700,VRE
2020-04-09,22300,24050,22300,23700,4761190,VRE
2020-04-10,23700,24000,23000,23800,2027970,VRE
2020-04-13,23700,25450,23700,25450,2382640,VRE
2020-04-14,25450,27200,24800,26200,3054710,VRE
2020-04-15,26300,26700,25650,26100,2686900,VRE
2020-04-16,25650,26500,25350,26500,2924260,VRE
2020-04-17,26500,27200,26200,26500,4348970,VRE
2020-04-20,26500,26500,25800,26200,2326300,VRE
2020-04-21,25800,25900,24400,24400,2804830,VRE
2020-04-22,22800,25000,22800,23550,5280770,VRE
2020-04-23,24400,24650,23600,24100,3095130,VRE
2020-04-24,24400,24400,23500,24000,1639110,VRE
2020-04-27,24200,24200,23450,23500,3418720,VRE
2020-04-28,23500,23750,22300,22750,3988030,VRE
2020-04-29,23100,23350,22600,23100,2661700,VRE
2020-05-04,22800,23750,22800,23450,1757720,VRE
2020-05-05,23500,23850,23500,23550,2480820,VRE
2020-05-06,23800,25000,23550,25000,5201410,VRE
2020-05-07,25100,25200,24650,24800,2518450,VRE
2020-05-08,25000,25900,25000,25300,4038610,VRE
2020-05-11,25450,25650,24800,25450,3515430,VRE
2020-05-12,25000,25400,24950,25250,3654270,VRE
2020-05-13,25000,25100,24500,24500,4037060,VRE
2020-05-14,24200,24350,23900,24050,3952220,VRE
2020-05-15,24400,24750,24100,24100,2262600,VRE
2020-05-18,24200,24700,24050,24550,2597120,VRE
2020-05-19,25000,25800,24600,24900,8313560,VRE
2020-05-20,24800,26550,24800,26550,6793800,VRE
2020-05-21,26600,27250,26000,26300,5046470,VRE
2020-05-22,26000,26100,25500,25800,5938130,VRE
2020-05-25,25700,26650,25300,26200,3774990,VRE
2020-05-26,26600,26800,26250,26500,3969390,VRE
2020-05-27,26600,26650,25500,25500,7074630,VRE
2020-05-28,25550,27000,25500,26900,6481940,VRE
2020-05-29,26900,28200,26550,27500,7822570,VRE
2020-06-01,28000,28050,27650,27800,3992550,VRE
2020-06-02,27550,28000,27300,27600,2909480,VRE
2020-06-03,27400,28100,27100,28100,3342330,VRE
2020-06-04,28300,28850,28300,28400,2839030,VRE
2020-06-05,28400,28800,28000,28450,2162490,VRE
2020-06-08,28800,28900,28250,28600,2826530,VRE
2020-06-09,28350,28600,27800,27900,2864250,VRE
2020-06-10,27600,28000,27200,27950,2119900,VRE
2020-06-11,27900,27950,26100,26100,4725660,VRE
2020-06-12,25300,25900,25000,25900,2529890,VRE
2020-06-15,26000,26400,25000,25000,2056490,VRE
2020-06-16,25500,26750,25300,26750,3097330,VRE
2020-06-17,27350,27850,27100,27500,3148000,VRE
2020-06-18,27500,27650,26350,27550,1681240,VRE
2020-06-19,27500,27800,26700,27800,3677760,VRE
2020-06-22,27800,28000,27400,27600,1559410,VRE
2020-06-23,27600,27600,27100,27200,1019600,VRE
2020-06-24,27300,27700,26850,26850,1391660,VRE
2020-06-25,26500,26800,26300,26500,2133290,VRE
2020-06-26,26600,26750,26000,26200,1867820,VRE
2020-06-29,26200,26200,25000,25400,2156880,VRE
2020-06-30,25650,26150,24800,24800,1700630,VRE
2020-07-01,24800,26500,24800,26450,1469010,VRE
2020-07-02,26400,26400,25850,26200,951820,VRE
2020-07-03,26200,26650,26200,26500,2328550,VRE
2020-07-06,26500,27200,26450,27100,3101080,VRE
2020-07-07,27200,27800,27050,27450,4346450,VRE
2020-07-08,27300,27500,27050,27450,939580,VRE
2020-07-09,27550,27750,27250,27550,1903220,VRE
2020-07-10,27350,27550,26950,27050,947980,VRE
2020-07-13,27050,27350,26500,26500,2291640,VRE
2020-07-14,26400,26700,26050,26400,1938730,VRE
2020-07-15,26500,27000,26500,26700,1502410,VRE
2020-07-16,26950,27300,26750,27300,1270920,VRE
2020-07-17,27000,27200,26850,26850,720820,VRE
2020-07-20,26700,26850,26200,26200,1258900,VRE
2020-07-21,26250,26550,26150,26300,1725630,VRE
2020-07-22,26600,27250,26600,26950,2251420,VRE
2020-07-23,27000,28300,27000,28300,7249850,VRE
2020-07-24,27900,28150,27000,27950,4730110,VRE
2020-07-27,26100,27500,26100,26800,3211440,VRE
2020-07-28,27000,27300,25900,27200,4480940,VRE
2020-07-29,26400,26400,25300,25550,2635930,VRE
2020-07-30,25850,26150,25700,25950,1069550,VRE
2020-07-31,25300,26050,25100,25100,2333650,VRE
2020-08-03,25150,25900,25150,25650,1872110,VRE
2020-08-04,26200,26350,25900,26300,1602220,VRE
2020-08-05,26050,26700,25900,26350,2154970,VRE
2020-08-06,26200,26750,26100,26350,2096050,VRE
2020-08-07,26400,26550,26100,26400,1257020,VRE
2020-08-10,26500,26950,26500,26650,1680830,VRE
2020-08-11,26700,26800,26300,26300,1512750,VRE
2020-08-12,26500,26550,26150,26400,1764760,VRE
