time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,6580,6640,6560,6640,1163109,ACB,,,0
2020-01-03,6640,6690,6600,6640,1055528,ACB,,,0
2020-01-06,6640,6640,6500,6500,1286035,ACB,,,0
2020-01-07,6500,6560,6500,6500,1050934,ACB,,,0
2020-01-08,6500,6500,6350,6380,2304937,ACB,,,0
2020-01-09,6410,6530,6410,6470,1422248,ACB,,,0
2020-01-10,6500,6670,6500,6560,2371501,ACB,,,0
2020-01-13,6600,6600,6560,6600,1523181,ACB,,,0
2020-01-14,6600,6780,6600,6780,2851982,ACB,,,0
2020-01-15,6780,6780,6690,6730,1158657,ACB,6580.0,,0
2020-01-16,6730,6930,6730,6900,2819687,ACB,6606.0,,0
2020-01-17,6930,6960,6840,6870,2706194,ACB,6629.0,,0
2020-01-20,6870,7130,6870,7010,4443379,ACB,6680.0,,0
2020-01-21,7070,7130,7010,7070,1775816,ACB,6737.0,,0
2020-01-22,7100,7100,7010,7070,1574379,ACB,6806.0,,0
2020-01-30,6990,7010,6690,6820,4250097,ACB,6841.0,,0
2020-01-31,6780,6870,6600,6640,4243264,ACB,6849.0,,0
2020-02-03,6430,6640,6260,6530,4430186,ACB,6842.0,,0
2020-02-04,6600,6690,6500,6690,2397062,ACB,6833.0,,0
2020-02-05,6750,6780,6600,6640,2790275,ACB,6824.0,,0
2020-02-06,6670,6930,6640,6930,2980981,ACB,6827.0,,0
2020-02-07,6930,6960,6820,6870,2007251,ACB,6827.0,,0
2020-02-10,6870,6900,6750,6820,1271190,ACB,6808.0,,0
2020-02-11,6820,6870,6780,6840,1862090,ACB,6785.0,,0
2020-02-12,6870,7420,6870,7390,10516207,ACB,6817.0,,0
2020-02-13,7390,7420,7240,7360,3773365,ACB,6871.0,,0
2020-02-14,7360,7750,7360,7620,8018099,ACB,6969.0,,0
2020-02-17,7590,7700,7500,7620,3764464,ACB,7078.0,,0
2020-02-18,7620,7820,7590,7680,6293208,ACB,7177.0,,0
2020-02-19,7650,7700,7480,7590,5091969,ACB,7272.0,,0
2020-02-20,7590,7790,7530,7620,5578717,ACB,7341.0,,0
2020-02-21,7190,7680,7190,7420,6333926,ACB,7396.0,,0
2020-02-24,7360,7390,6870,6930,10321149,ACB,7407.0,,0
2020-02-25,6780,7240,6670,7240,8279866,ACB,7447.0,,0
2020-02-26,7220,7240,7010,7100,4519324,ACB,7418.0,,0
2020-02-27,6990,7360,6990,7360,5309790,ACB,7418.0,,0
2020-02-28,6640,7300,6640,7280,5959642,ACB,7384.0,,0
2020-03-02,7040,7360,7040,7280,3629494,ACB,7350.0,,0
2020-03-03,7390,7480,7300,7390,6364207,ACB,7321.0,,0
2020-03-04,7390,7440,7300,7440,5047583,ACB,7306.0,,0
2020-03-05,7500,7620,7340,7390,5965022,ACB,7283.0,,0
2020-03-06,7360,7360,7240,7300,3959935,ACB,7271.0,,0
2020-03-09,7130,7130,6640,6730,16776046,ACB,7251.0,,0
2020-03-10,6640,7160,6600,6990,7582331,ACB,7226.0,,0
2020-03-11,7010,7040,6640,6750,7841324,ACB,7191.0,,0
2020-03-12,6640,6640,6210,6380,11082125,ACB,7093.0,,0
2020-03-13,6210,6500,5920,6350,9020091,ACB,7000.0,,0
2020-03-16,6350,6430,5970,6030,4614344,ACB,6875.0,,0
2020-03-17,6000,6170,5810,6090,6568088,ACB,6745.0,,0
2020-03-18,6150,6230,6030,6120,4944595,ACB,6613.0,6919.0,0
2020-03-19,6070,6150,5970,6090,4083896,ACB,6483.0,6908.0,0
2020-03-20,6690,6690,6070,6170,3341564,ACB,6370.0,6898.6,0
2020-03-23,6120,6170,5570,5570,10024177,ACB,6254.0,6880.0,0
2020-03-24,5510,5750,5510,5660,4315784,ACB,6121.0,6863.2,0
2020-03-25,5770,6000,5770,5920,4115341,ACB,6038.0,6854.0,0
2020-03-26,5940,5940,5680,5680,3631529,ACB,5968.0,6838.2,0
2020-03-27,5680,5810,5630,5680,3980631,ACB,5901.0,6820.6,0
2020-03-30,5630,5630,5160,5250,5925098,ACB,5823.0,6793.6,0
2020-03-31,5250,5430,5020,5140,4532153,ACB,5728.0,6760.8,0
2020-04-01,4650,5480,4650,5370,2761168,ACB,5653.0,6733.6,0
2020-04-03,5220,5600,5220,5510,3574343,ACB,5595.0,6705.8,0
2020-04-06,5600,6000,5510,5940,5757259,ACB,5572.0,6687.2,0
2020-04-07,6070,6070,5770,5860,4467621,ACB,5601.0,6664.2,0
2020-04-08,6430,6430,5680,5830,2331536,ACB,5618.0,6639.4,0
2020-04-09,6410,6410,5770,5770,4068966,ACB,5603.0,6613.4,0
2020-04-10,5480,5830,5480,5720,2517477,ACB,5607.0,6591.4,0
2020-04-13,5160,5890,5160,5770,1926793,ACB,5616.0,6574.0,0
2020-04-14,5770,5830,5680,5770,3167293,ACB,5668.0,6558.8,0
2020-04-15,5770,5970,5770,5830,3686239,ACB,5737.0,6541.6,0
2020-04-16,5830,5890,5810,5890,1895213,ACB,5789.0,6526.6,0
2020-04-17,5920,6090,5920,6070,4809341,ACB,5845.0,6509.4,0
