time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,13950,14520,13920,14350,4347610,CTG,,,0
2020-01-03,14520,14590,14190,14220,3626640,CTG,,,0
2020-01-06,14150,14490,14090,14250,3173480,CTG,,,0
2020-01-07,14420,14590,14320,14490,4163600,CTG,,,0
2020-01-08,14390,14790,14220,14450,9864300,CTG,,,0
2020-01-09,14590,15090,14590,14990,8592300,CTG,,,0
2020-01-10,15020,16020,15020,15720,14701830,CTG,,,0
2020-01-13,15560,16020,15490,15490,5317470,CTG,,,0
2020-01-14,15520,15890,15490,15690,7040780,CTG,,,0
2020-01-15,15690,15820,15520,15760,4364850,CTG,14941.0,,0
2020-01-16,15820,16660,15790,16620,8002680,CTG,15168.0,,0
2020-01-17,16830,16960,16420,16660,6412750,CTG,15412.0,,0
2020-01-20,16620,16890,16520,16760,4737420,CTG,15663.0,,0
2020-01-21,16830,17230,16760,16890,6063350,CTG,15903.0,,0
2020-01-22,16890,17190,16720,17090,4747210,CTG,16167.0,,0
2020-01-30,16620,16930,16020,16260,11319200,CTG,16294.0,,0
2020-01-31,16420,16860,16290,16290,11815850,CTG,16351.0,,0
2020-02-03,15690,16830,15520,16790,13869450,CTG,16481.0,,0
2020-02-04,16960,17960,16930,17960,14852770,CTG,16708.0,,0
2020-02-05,18290,18560,17730,17730,11732260,CTG,16905.0,,0
2020-02-06,17830,18760,17590,18530,10566600,CTG,17096.0,,0
2020-02-07,18360,18460,17790,17960,8960350,CTG,17226.0,,0
2020-02-10,17530,18230,17490,17760,6287560,CTG,17326.0,,0
2020-02-11,17960,18530,17930,18530,6762320,CTG,17490.0,,0
2020-02-12,18990,18990,18160,18160,10390830,CTG,17597.0,,0
2020-02-13,18260,18430,17690,18190,9485770,CTG,17790.0,,0
2020-02-14,18260,18260,17830,17890,6108570,CTG,17950.0,,0
2020-02-17,17960,18060,17630,17730,5818090,CTG,18044.0,,0
2020-02-18,17830,18190,17760,17830,7231540,CTG,18031.0,,0
2020-02-19,17890,18160,17890,18030,5895360,CTG,18061.0,,0
2020-02-20,18260,18490,17790,17960,9011120,CTG,18004.0,,0
2020-02-21,17890,17960,17130,17260,12049570,CTG,17934.0,,0
2020-02-24,16760,16960,16260,16290,12317180,CTG,17787.0,,0
2020-02-25,16290,17430,16260,17430,9764100,CTG,17677.0,,0
2020-02-26,17060,17490,16960,17230,6229210,CTG,17584.0,,0
2020-02-27,17190,17490,17090,17490,5524580,CTG,17514.0,,0
2020-02-28,17030,17390,16690,17190,7892390,CTG,17444.0,,0
2020-03-02,17330,17390,16960,17030,4873970,CTG,17374.0,,0
2020-03-03,17490,17990,17330,17660,9514110,CTG,17357.0,,0
2020-03-04,17560,17660,17360,17660,4587660,CTG,17320.0,,0
2020-03-05,17890,17930,17460,17460,5997630,CTG,17270.0,,0
2020-03-06,17230,17390,16990,17230,5353340,CTG,17267.0,,0
2020-03-09,16090,16490,16020,16020,10773760,CTG,17240.0,,0
2020-03-10,16020,16720,15460,16360,11071330,CTG,17133.0,,0
2020-03-11,16560,16690,15260,15490,8522410,CTG,16959.0,,0
2020-03-12,14690,14960,14420,14560,11314020,CTG,16666.0,,0
2020-03-13,13690,14960,13550,14660,10540670,CTG,16413.0,,0
2020-03-16,14660,14720,13690,13690,7506240,CTG,16079.0,,0
2020-03-17,13350,14150,12950,14020,7946050,CTG,15715.0,,0
2020-03-18,14220,14390,13990,13990,6424470,CTG,15348.0,16515.0,0
2020-03-19,13690,13750,13250,13420,4724410,CTG,14944.0,16496.4,0
2020-03-20,13620,13690,13120,13220,6426820,CTG,14543.0,16476.4,0
2020-03-23,12550,12690,12320,12320,6448830,CTG,14173.0,16437.8,0
2020-03-24,12320,12490,11780,12220,6361270,CTG,13759.0,16392.4,0
2020-03-25,12690,13050,12550,13050,7041040,CTG,13515.0,16364.4,0
2020-03-26,12720,13090,12550,12550,5121770,CTG,13314.0,16315.6,0
2020-03-27,12720,12750,12490,12690,6261510,CTG,13117.0,16255.0,0
2020-03-30,11920,12020,11820,11820,7331160,CTG,12930.0,16181.6,0
2020-03-31,12020,12350,11080,11480,6102570,CTG,12676.0,16097.4,0
2020-04-01,11350,12250,11350,12220,5514550,CTG,12499.0,16026.6,0
2020-04-03,12420,12690,12350,12550,4625590,CTG,12412.0,15945.2,0
2020-04-06,12890,13420,12690,13420,10557010,CTG,12432.0,15880.4,0
2020-04-07,13490,13520,13090,13250,7256090,CTG,12525.0,15810.2,0
2020-04-08,12890,13350,12750,13150,4637260,CTG,12618.0,15735.4,0
2020-04-09,13350,13590,13220,13220,7265280,CTG,12635.0,15658.0,0
2020-04-10,13220,13420,12890,12990,5700980,CTG,12679.0,15592.6,0
2020-04-13,12950,13350,12850,13090,4183300,CTG,12719.0,15528.6,0
2020-04-14,13050,13190,12550,12820,7389910,CTG,12819.0,15449.2,0
2020-04-15,12820,13320,12820,13250,6758040,CTG,12996.0,15355.0,0
2020-04-16,13090,13290,12950,13220,3710320,CTG,13096.0,15264.8,0
2020-04-17,13690,13690,13350,13420,8578720,CTG,13183.0,15162.6,0
2020-04-20,13550,13650,13250,13250,6291720,CTG,13166.0,15068.4,0
2020-04-21,13120,13190,12520,12550,9299890,CTG,13096.0,14964.2,0
2020-04-22,12280,13150,12280,12850,6363800,CTG,13066.0,14850.6,0
2020-04-23,13020,13150,12820,12820,2950110,CTG,13026.0,14743.8,0
2020-04-24,12820,12890,12690,12820,2871100,CTG,13009.0,14636.4,0
2020-04-27,12950,12950,12590,12590,4305890,CTG,12959.0,14530.4,0
2020-04-28,12590,12890,12490,12720,3942840,CTG,12949.0,14430.2,0
2020-04-29,13350,13350,12750,13350,9337270,CTG,12959.0,14340.6,0
2020-05-04,13190,13650,13050,13390,7526760,CTG,12976.0,14247.8,0
2020-05-05,13390,13450,13120,13250,2976380,CTG,12959.0,14153.6,0
2020-05-06,13320,13550,13050,13490,6890670,CTG,12983.0,14078.2,0
2020-05-07,13490,13790,13420,13620,7523830,CTG,13090.0,14024.8,0
2020-05-08,13820,14450,13750,13950,12666220,CTG,13200.0,13955.2,0
2020-05-11,14190,14390,13950,14190,7654090,CTG,13337.0,13894.4,0
2020-05-12,14120,14560,13920,14450,6576780,CTG,13500.0,13833.6,0
2020-05-13,14290,14660,14120,14450,6959000,CTG,13686.0,13778.8,0
2020-05-14,14290,14520,14250,14250,5828440,CTG,13839.0,13723.2,1
2020-05-15,14390,14420,13920,13950,7303040,CTG,13899.0,13649.0,0
2020-05-18,13990,14250,13820,14250,5204650,CTG,13985.0,13580.8,0
2020-05-19,14690,14990,14560,14890,11023040,CTG,14149.0,13529.4,0
2020-05-20,14690,14890,14620,14890,5342980,CTG,14289.0,13482.6,0
2020-05-21,14920,15520,14890,15320,10616250,CTG,14459.0,13468.6,0
2020-05-22,15220,15760,15120,15220,7637850,CTG,14586.0,13445.8,0
2020-05-25,15290,15590,15160,15390,6731270,CTG,14706.0,13443.8,0
2020-05-26,15390,15560,15260,15460,6282980,CTG,14807.0,13461.8,0
2020-05-27,15560,15660,14960,14960,8420990,CTG,14858.0,13467.8,0
2020-05-28,15060,15320,14920,15060,5936110,CTG,14939.0,13495.2,0
2020-05-29,14990,15160,14990,15020,3561630,CTG,15046.0,13515.2,0
2020-06-01,15220,15690,15160,15690,7120400,CTG,15190.0,13549.2,0
2020-06-02,15890,16219,15620,15660,9588410,CTG,15267.0,13594.0,0
2020-06-03,15760,16059,15720,16020,6901900,CTG,15380.0,13650.0,0
2020-06-04,16160,16620,16090,16460,8945730,CTG,15494.0,13732.8,0
2020-06-05,16360,16490,16160,16320,5424300,CTG,15604.0,13814.8,0
