time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,61690,62670,61690,62280,141260,GAS,,,0
2020-01-03,62280,63470,62280,62420,218980,GAS,,,0
2020-01-06,63670,64519,63340,64390,431090,GAS,,,0
2020-01-07,64319,64319,63400,63930,142800,GAS,,,0
2020-01-08,64920,65180,63870,63870,439260,GAS,,,0
2020-01-09,63210,63730,62420,62670,320980,GAS,,,0
2020-01-10,62870,63210,62550,63140,160820,GAS,,,0
2020-01-13,63140,63140,62360,62750,355190,GAS,,,0
2020-01-14,62670,63210,62480,62480,166850,GAS,,,0
2020-01-15,62550,62550,61300,61890,201400,GAS,62982.0,,0
2020-01-16,61890,62080,61230,61430,508390,GAS,62897.0,,0
2020-01-17,61430,62020,61040,61360,281760,GAS,62791.0,,0
2020-01-20,61360,61630,61160,61490,134180,GAS,62501.0,,0
2020-01-21,61490,62480,61490,62480,180960,GAS,62356.0,,0
2020-01-22,62480,62810,62080,62480,162790,GAS,62217.0,,0
2020-01-30,59910,61760,59910,60570,379940,GAS,62007.0,,0
2020-01-31,59980,60370,56620,56950,551680,GAS,61388.0,,0
2020-02-03,55960,56550,53060,54770,565980,GAS,60590.0,,0
2020-02-04,55890,55960,53980,53980,376400,GAS,59740.0,,0
2020-02-05,54650,55300,53060,53720,290230,GAS,58923.0,,0
2020-02-06,53720,56550,53720,56550,253870,GAS,58435.0,,0
2020-02-07,56550,57280,55960,56620,299430,GAS,57961.0,,0
2020-02-10,55960,57210,55300,57150,282460,GAS,57527.0,,0
2020-02-11,56690,57150,56220,56350,235700,GAS,56914.0,,0
2020-02-12,57010,57010,56350,56620,175490,GAS,56328.0,,0
2020-02-13,56490,58010,56490,57600,272240,GAS,56031.0,,0
2020-02-14,57600,58530,57280,58260,162870,GAS,56162.0,,0
2020-02-17,58260,58800,57480,57480,180040,GAS,56433.0,,0
2020-02-18,57280,57540,56490,56620,215600,GAS,56697.0,,0
2020-02-19,56620,56690,56160,56160,166790,GAS,56941.0,,0
2020-02-20,57940,57940,56090,56160,198200,GAS,56902.0,,0
2020-02-21,56620,56760,56220,56220,171440,GAS,56862.0,,0
2020-02-24,55960,55960,54970,55240,348150,GAS,56671.0,,0
2020-02-25,54310,55240,54310,54650,348890,GAS,56501.0,,0
2020-02-26,54310,54310,52400,52600,478410,GAS,56099.0,,0
2020-02-27,52540,52600,51430,52010,359090,GAS,55540.0,,0
2020-02-28,49440,51300,49440,49910,449640,GAS,54705.0,,0
2020-03-02,49780,52340,49640,52010,255710,GAS,54158.0,,0
2020-03-03,54570,54570,52660,52660,270460,GAS,53762.0,,0
2020-03-04,52340,52340,51230,51430,307460,GAS,53289.0,,0
2020-03-05,51430,52660,51430,51430,262610,GAS,52816.0,,0
2020-03-06,51350,51430,50760,51030,208460,GAS,52297.0,,0
2020-03-09,47480,47480,47480,47480,226330,GAS,51521.0,,0
2020-03-10,44170,46680,44170,45100,1377350,GAS,50566.0,,0
2020-03-11,46080,46810,42010,42010,1022830,GAS,49507.0,,0
2020-03-12,39100,40100,39100,39100,832050,GAS,48216.0,,0
2020-03-13,36410,38510,36410,37520,975880,GAS,46977.0,,0
2020-03-16,37390,39630,36870,39040,664400,GAS,45680.0,,0
2020-03-17,37010,39430,37010,39370,531530,GAS,44351.0,,0
2020-03-18,39500,39500,38060,38180,1111270,GAS,43026.0,55032.2,0
2020-03-19,36870,37190,36150,36410,897780,GAS,41524.0,54514.8,0
2020-03-20,37520,38250,36870,38110,563530,GAS,40232.0,54028.6,0
2020-03-23,36350,36870,35490,35490,779860,GAS,39033.0,53450.6,0
2020-03-24,36870,37130,35880,37010,769350,GAS,38224.0,52912.2,0
2020-03-25,39040,39560,38310,39560,1074610,GAS,37979.0,52426.0,0
2020-03-26,39500,39760,38510,38650,564130,GAS,37934.0,51945.6,0
2020-03-27,38650,38910,37590,38310,484150,GAS,38013.0,51449.0,0
2020-03-30,36150,36470,35880,35960,556090,GAS,37705.0,50913.2,0
2020-03-31,37980,37980,35550,36080,414540,GAS,37376.0,50385.2,0
2020-04-01,36010,37920,36010,36940,577930,GAS,37252.0,49886.2,0
2020-04-03,39500,39500,37860,38970,1147360,GAS,37508.0,49437.0,0
2020-04-06,40810,41470,40160,41470,1513290,GAS,37844.0,49039.2,0
2020-04-07,42060,42060,40690,41420,945030,GAS,38437.0,48637.8,0
2020-04-08,40360,41340,40020,41280,869540,GAS,38864.0,48213.8,0
2020-04-09,41740,44110,41540,44110,1506780,GAS,39319.0,47846.4,0
2020-04-10,43450,44440,42790,44170,944260,GAS,39871.0,47518.4,0
2020-04-13,44900,45760,44440,44770,1048800,GAS,40517.0,47274.8,0
2020-04-14,44110,44310,43060,44110,1273310,GAS,41332.0,47061.6,0
