time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,7060,7130,6970,7130,2142970,HDB,,,0
2020-01-03,7120,7120,7020,7070,1305640,HDB,,,0
2020-01-06,7060,7060,6870,6920,1309500,HDB,,,0
2020-01-07,6920,6920,6820,6850,865630,HDB,,,0
2020-01-08,6820,6900,6710,6850,1954710,HDB,,,0
2020-01-09,6850,7070,6840,7060,2024450,HDB,,,0
2020-01-10,7070,7280,7070,7210,1917360,HDB,,,0
2020-01-13,7210,7220,7090,7160,866380,HDB,,,0
2020-01-14,7110,7220,7070,7180,813000,HDB,,,0
2020-01-15,7180,7190,7090,7120,712440,HDB,7055.0,,0
2020-01-16,7120,7370,7110,7350,2717120,HDB,7077.0,,0
2020-01-17,7370,7420,7320,7320,2061530,HDB,7102.0,,0
2020-01-20,7320,7320,7210,7250,939700,HDB,7135.0,,0
2020-01-21,7250,7470,7230,7420,1656380,HDB,7192.0,,0
2020-01-22,7420,7450,7310,7440,2241630,HDB,7251.0,,0
2020-01-30,7370,7370,7170,7170,1695770,HDB,7262.0,,0
2020-01-31,7150,7160,6670,6920,1891250,HDB,7233.0,,0
2020-02-03,6840,7040,6560,6920,1825080,HDB,7209.0,,0
2020-02-04,6940,7110,6890,7070,1620490,HDB,7198.0,,0
2020-02-05,7070,7310,6990,7280,1330510,HDB,7214.0,,0
2020-02-06,7290,7700,7270,7670,3301040,HDB,7246.0,,0
2020-02-07,7670,7720,7590,7680,1757480,HDB,7282.0,,0
2020-02-10,7660,7670,7480,7570,1230340,HDB,7314.0,,0
2020-02-11,7540,7590,7400,7440,2634890,HDB,7316.0,,0
2020-02-12,7450,7670,7450,7500,1790130,HDB,7322.0,,0
2020-02-13,7510,7570,7470,7500,1237040,HDB,7355.0,,0
2020-02-14,7510,7580,7340,7340,2113640,HDB,7397.0,,0
2020-02-17,7340,7380,7320,7380,2070830,HDB,7443.0,,0
2020-02-18,7370,7440,7350,7350,1079920,HDB,7471.0,,0
2020-02-19,7350,7350,7210,7310,1704650,HDB,7474.0,,0
2020-02-20,7320,7350,7270,7280,1144200,HDB,7435.0,,0
2020-02-21,7270,7370,7230,7280,1193560,HDB,7395.0,,0
2020-02-24,7180,7190,6990,6990,1366630,HDB,7337.0,,0
2020-02-25,6920,7190,6910,7180,1834510,HDB,7311.0,,0
2020-02-26,7110,7250,7020,7110,1200270,HDB,7272.0,,0
2020-02-27,7120,7210,7090,7180,1243660,HDB,7240.0,,0
2020-02-28,7070,7130,6980,7130,1033040,HDB,7219.0,,0
2020-03-02,7110,7180,7020,7110,1320040,HDB,7192.0,,0
2020-03-03,7180,7270,7070,7110,2539510,HDB,7168.0,,0
2020-03-04,7110,7250,7110,7220,1566000,HDB,7159.0,,0
2020-03-05,7250,7350,7120,7180,1184690,HDB,7149.0,,0
2020-03-06,7160,7180,7060,7180,720180,HDB,7139.0,,0
2020-03-09,6870,6890,6680,6680,1611800,HDB,7108.0,,0
2020-03-10,6420,6840,6410,6620,2498670,HDB,7052.0,,0
2020-03-11,6670,6670,6170,6280,1355180,HDB,6969.0,,0
2020-03-12,6190,6190,5850,5850,2178450,HDB,6836.0,,0
2020-03-13,5460,6010,5460,5900,3270420,HDB,6713.0,,0
2020-03-16,5730,5900,5490,5570,2497160,HDB,6559.0,,0
2020-03-17,5280,5780,5210,5440,3084830,HDB,6392.0,,0
2020-03-18,5620,5620,5400,5470,1712110,HDB,6217.0,7023.8,0
2020-03-19,5380,5380,5090,5370,2289340,HDB,6036.0,6988.6,0
2020-03-20,5310,5370,5070,5370,1539210,HDB,5855.0,6954.6,0
2020-03-23,5030,5030,4980,4980,695880,HDB,5685.0,6915.8,0
2020-03-24,4980,5050,4800,4870,1649110,HDB,5510.0,6876.2,0
2020-03-25,5100,5100,4920,5100,2066330,HDB,5392.0,6841.2,0
2020-03-26,5080,5100,4840,5030,3422990,HDB,5310.0,6800.6,0
2020-03-27,5000,5000,4680,4680,1966000,HDB,5188.0,6750.0,0
2020-03-30,4490,4490,4360,4420,1797420,HDB,5073.0,6695.2,0
2020-03-31,4600,4700,4140,4570,1498980,HDB,4986.0,6643.0,0
2020-04-01,4590,4860,4570,4860,752190,HDB,4925.0,6597.8,0
2020-04-03,4900,5020,4870,5020,1133750,HDB,4890.0,6551.2,0
2020-04-06,5030,5260,5030,5260,2020520,HDB,4879.0,6510.0,0
2020-04-07,5260,5370,5160,5320,1134650,HDB,4913.0,6471.4,0
2020-04-08,5260,5310,5150,5300,1080520,HDB,4956.0,6429.0,0
2020-04-09,5300,5340,5170,5300,2083860,HDB,4976.0,6386.2,0
2020-04-10,5170,5260,5080,5130,1576090,HDB,4986.0,6345.4,0
2020-04-13,5120,5180,4960,5180,1621270,HDB,5036.0,6310.6,0
2020-04-14,5200,5200,5020,5130,1069550,HDB,5107.0,6274.8,0
2020-04-15,5130,5300,5130,5300,1176120,HDB,5180.0,6239.4,0
2020-04-16,5280,5440,5230,5370,1764670,HDB,5231.0,6201.2,0
2020-04-17,5570,5640,5500,5520,2464460,HDB,5281.0,6158.2,0
2020-04-20,5590,5620,5460,5470,1505740,HDB,5302.0,6114.0,0
2020-04-21,5340,5380,5120,5160,2215800,HDB,5286.0,6065.8,0
2020-04-22,5000,5370,4960,5340,1488030,HDB,5290.0,6023.8,0
2020-04-23,5380,5440,5180,5280,2254760,HDB,5288.0,5979.4,0
2020-04-24,5280,5280,5150,5280,2076040,HDB,5303.0,5935.0,0
2020-04-27,5230,5340,5200,5260,1764890,HDB,5311.0,5893.4,0
2020-04-28,5260,5310,5160,5270,1656080,HDB,5325.0,5851.2,0
2020-04-29,5300,5310,5250,5300,2104730,HDB,5325.0,5810.2,0
2020-05-04,5300,5560,5270,5520,1813200,HDB,5340.0,5774.4,0
2020-05-05,5540,5570,5420,5560,1177050,HDB,5344.0,5740.0,0
2020-05-06,5540,5540,5420,5490,393860,HDB,5346.0,5704.2,0
2020-05-07,5590,5590,5440,5470,1204160,HDB,5377.0,5673.8,0
2020-05-08,5470,5840,5470,5740,2216860,HDB,5417.0,5645.0,0
2020-05-11,5780,5870,5640,5780,1469200,HDB,5467.0,5618.4,0
2020-05-12,5780,5870,5760,5820,1016600,HDB,5521.0,5591.2,0
2020-05-13,5790,6130,5700,6080,2269340,HDB,5603.0,5570.2,1
2020-05-14,5950,6020,5900,5900,860840,HDB,5666.0,5546.0,0
2020-05-15,5900,6020,5780,5860,561390,HDB,5722.0,5521.0,0
2020-05-18,5820,5950,5780,5950,880590,HDB,5765.0,5495.6,0
2020-05-19,6080,6130,5970,6040,1318090,HDB,5813.0,5472.8,0
2020-05-20,5970,6040,5970,6010,435170,HDB,5865.0,5449.4,0
2020-05-21,5950,6420,5950,6420,1123550,HDB,5960.0,5444.2,0
2020-05-22,6170,6280,6120,6130,1046640,HDB,5999.0,5434.4,0
2020-05-25,6170,6260,6110,6170,942600,HDB,6038.0,5432.2,0
2020-05-26,6080,6240,6080,6240,755080,HDB,6080.0,5440.0,0
2020-05-27,6370,6370,6080,6080,850800,HDB,6080.0,5443.6,0
2020-05-28,6170,6170,6070,6080,510180,HDB,6098.0,5453.8,0
2020-05-29,6060,6210,5970,6210,937900,HDB,6133.0,5469.2,0
2020-06-01,6220,6410,6220,6390,890790,HDB,6177.0,5487.6,0
2020-06-02,6840,6840,6800,6840,2242700,HDB,6257.0,5517.0,0
2020-06-03,7310,7310,6920,7310,1999730,HDB,6387.0,5555.8,0
2020-06-04,7310,7370,7130,7130,943650,HDB,6458.0,5598.8,0
2020-06-05,7020,7130,6900,7060,931870,HDB,6551.0,5642.6,0
2020-06-08,7070,7160,6990,7020,1490380,HDB,6636.0,5681.0,0
2020-06-09,7020,7210,6990,7190,1001390,HDB,6731.0,5724.2,0
2020-06-10,7190,7210,7020,7180,719230,HDB,6841.0,5774.2,0
2020-06-11,7130,7160,6900,6980,1803480,HDB,6931.0,5825.4,0
2020-06-12,6570,6920,6570,6900,926890,HDB,7000.0,5872.0,0
2020-06-15,7310,7350,6800,7010,2666010,HDB,7062.0,5915.0,0
2020-06-16,7060,7070,6920,7010,1728880,HDB,7079.0,5954.8,0
2020-06-17,7010,7010,6870,6890,589790,HDB,7037.0,5987.4,0
2020-06-18,6800,6860,6750,6810,683790,HDB,7005.0,6017.2,0
2020-06-19,6760,6870,6760,6870,456590,HDB,6986.0,6048.6,0
2020-06-22,6910,6910,6710,6800,644540,HDB,6964.0,6078.6,0
2020-06-23,6870,6870,6760,6800,616470,HDB,6925.0,6112.0,0
2020-06-24,6800,6820,6720,6740,463340,HDB,6881.0,6143.2,0
2020-06-25,6680,6680,6540,6590,730410,HDB,6842.0,6172.4,0
2020-06-26,6670,6700,6450,6500,929440,HDB,6802.0,6196.4,0
2020-06-29,6410,6450,6120,6340,1592010,HDB,6735.0,6215.8,0
2020-06-30,6380,6420,6120,6370,1007010,HDB,6671.0,6232.8,0
2020-07-01,6240,6370,6170,6300,926460,HDB,6612.0,6249.4,0
2020-07-02,6410,6470,6270,6340,707210,HDB,6565.0,6273.0,0
2020-07-03,6390,6770,6370,6670,1696380,HDB,6545.0,6299.6,0
2020-07-06,6670,6750,6580,6670,776970,HDB,6532.0,6327.4,0
2020-07-07,6740,6750,6670,6670,674050,HDB,6519.0,6355.2,0
2020-07-08,6670,6700,6590,6680,514700,HDB,6513.0,6383.6,0
2020-07-09,6680,7010,6680,6980,1668270,HDB,6552.0,6417.8,0
2020-07-10,6870,7020,6820,6840,1022700,HDB,6586.0,6448.6,0
2020-07-13,6850,6920,6770,6840,799240,HDB,6636.0,6475.0,0
2020-07-14,6820,6860,6740,6850,1155520,HDB,6684.0,6500.8,0
2020-07-15,6850,6980,6850,6890,726130,HDB,6743.0,6528.8,0
2020-07-16,6890,6980,6820,6980,828530,HDB,6807.0,6559.0,0
2020-07-17,6890,6940,6890,6910,600150,HDB,6831.0,6582.4,0
2020-07-20,6920,6980,6850,6860,735140,HDB,6850.0,6604.0,0
2020-07-21,6910,6910,6800,6810,658420,HDB,6864.0,6623.8,0
2020-07-22,6810,6890,6700,6750,681160,HDB,6871.0,6637.2,0
2020-07-23,6750,6820,6700,6820,567900,HDB,6855.0,6655.6,0
2020-07-24,6750,6800,6370,6490,1302970,HDB,6820.0,6668.2,0
2020-07-27,6080,6370,6040,6040,1665640,HDB,6740.0,6670.0,0
2020-07-28,6040,6230,5920,6170,1964660,HDB,6672.0,6672.6,-1
2020-07-29,5950,6170,5870,6110,960200,HDB,6594.0,6674.6,0
2020-07-30,6060,6220,6060,6170,500710,HDB,6513.0,6669.6,0
2020-07-31,5920,6170,5920,6150,691900,HDB,6437.0,6670.0,0
2020-08-03,6100,6320,6100,6260,575950,HDB,6377.0,6671.8,0
2020-08-04,6380,6380,6260,6320,477290,HDB,6328.0,6673.4,0
2020-08-05,6320,6570,6300,6540,803780,HDB,6307.0,6682.6,0
2020-08-06,6540,6740,6430,6670,960720,HDB,6292.0,6694.4,0
2020-08-07,6670,6700,6590,6680,619710,HDB,6311.0,6703.8,0
2020-08-10,6700,6870,6700,6800,1042010,HDB,6387.0,6712.0,0
2020-08-11,6850,6900,6760,6850,932030,HDB,6455.0,6712.2,0
2020-08-12,6850,6890,6810,6890,543490,HDB,6533.0,6703.8,0
2020-08-13,6900,6960,6850,6960,999550,HDB,6612.0,6700.4,0
2020-08-14,7010,7110,6960,7020,1990240,HDB,6699.0,6699.6,0
2020-08-17,7070,7120,7020,7070,1633730,HDB,6780.0,6700.6,1
2020-08-18,7120,7120,6980,7020,848890,HDB,6850.0,6697.2,0
2020-08-19,7020,7040,6940,6970,736570,HDB,6893.0,6693.0,0
2020-08-20,6970,6990,6890,6890,1319990,HDB,6915.0,6691.2,0
2020-08-21,6900,7010,6900,6980,485010,HDB,6945.0,6692.8,0
2020-08-24,6980,7230,6980,7230,1508410,HDB,6988.0,6697.2,0
2020-08-25,7230,7340,7230,7230,1061180,HDB,7026.0,6701.6,0
2020-08-26,7180,7290,7160,7250,661770,HDB,7062.0,6708.8,0
2020-08-27,7230,7280,7210,7220,555190,HDB,7088.0,6717.0,0
2020-08-28,7220,7310,7220,7230,739830,HDB,7109.0,6724.2,0
2020-08-31,7230,7290,7220,7270,730390,HDB,7129.0,6733.6,0
2020-09-01,7270,7340,7250,7310,912390,HDB,7158.0,6743.8,0
2020-09-03,7440,7650,7410,7650,2106380,HDB,7226.0,6762.0,0
2020-09-04,7620,7680,7540,7620,1737350,HDB,7299.0,6782.6,0
2020-09-07,7700,7700,7500,7500,1500260,HDB,7351.0,6802.6,0
2020-09-08,7500,7620,7340,7540,979100,HDB,7382.0,6826.6,0
2020-09-09,7410,7570,7390,7470,967490,HDB,7406.0,6848.6,0
2020-09-10,7530,7570,7470,7520,510410,HDB,7433.0,6873.0,0
2020-09-11,7700,7920,7670,7790,2980530,HDB,7490.0,6902.0,0
2020-09-14,7910,7910,7720,7770,1657830,HDB,7544.0,6924.0,0
2020-09-15,7750,7790,7670,7670,1578100,HDB,7584.0,6944.0,0
2020-09-16,7670,7740,7620,7660,1270990,HDB,7619.0,6963.8,0
2020-09-17,7660,7680,7590,7590,1138420,HDB,7613.0,6982.0,0
2020-09-18,7590,7670,7590,7630,1007690,HDB,7614.0,6995.0,0
2020-09-21,7740,7920,7740,7870,2060410,HDB,7651.0,7015.6,0
2020-09-22,7870,7920,7770,7920,1851750,HDB,7689.0,7037.2,0
2020-09-23,7960,8020,7920,7970,1057680,HDB,7739.0,7059.6,0
2020-09-24,7960,7980,7920,7970,875340,HDB,7784.0,7081.2,0
2020-09-25,7970,7990,7870,7990,1459450,HDB,7804.0,7101.4,0
2020-09-28,8140,8140,8000,8070,1091890,HDB,7834.0,7124.6,0
2020-09-29,8080,8200,8020,8020,2066420,HDB,7869.0,7147.8,0
2020-09-30,8050,8070,7980,8020,2597730,HDB,7905.0,7172.0,0
2020-10-01,8230,8370,8210,8270,2899450,HDB,7973.0,7202.4,0
2020-10-02,8330,8350,8060,8230,1937670,HDB,8033.0,7230.6,0
2020-10-05,8300,8330,8230,8270,1003200,HDB,8073.0,7266.2,0
2020-10-06,8280,8330,8210,8230,1594250,HDB,8104.0,7310.0,0
2020-10-07,8170,8270,8150,8230,1388290,HDB,8130.0,7351.2,0
2020-10-08,8189,8240,8090,8170,1506280,HDB,8150.0,7392.4,0
2020-10-09,8210,8210,8170,8170,1414530,HDB,8168.0,7432.4,0
2020-10-12,8189,8230,8090,8119,1352010,HDB,8172.9,7471.78,0
2020-10-13,8119,8130,8000,8000,1414340,HDB,8170.9,7506.58,0
2020-10-14,8000,8130,7970,8080,1323940,HDB,8176.9,7541.78,0
2020-10-15,8130,8189,8060,8189,1323190,HDB,8168.8,7574.76,0
2020-10-16,8189,8330,8130,8270,1495300,HDB,8172.8,7606.76,0
2020-10-19,8300,8300,8189,8240,1258750,HDB,8169.8,7637.96,0
2020-10-20,8230,8530,8230,8430,2366670,HDB,8189.8,7670.56,0
2020-10-21,8530,8600,8410,8430,2268450,HDB,8209.8,7702.16,0
2020-10-22,8430,8470,8330,8410,1653550,HDB,8233.8,7732.56,0
2020-10-23,8430,8470,8370,8470,1969110,HDB,8263.8,7762.76,0
2020-10-26,8430,8470,8330,8330,1907620,HDB,8284.9,7788.96,0
2020-10-27,8330,8330,8180,8180,1834730,HDB,8302.9,7811.16,0
2020-10-28,8170,8170,7660,7660,3275210,HDB,8260.9,7823.96,0
2020-10-29,7660,7950,7630,7870,2158770,HDB,8229.0,7841.96,0
2020-10-30,8060,8090,7840,8060,1919800,HDB,8208.0,7865.36,0
2020-11-02,8060,8130,7920,8130,1431070,HDB,8197.0,7888.36,0
2020-11-03,8170,8189,8020,8119,1538860,HDB,8165.9,7906.14,0
2020-11-04,8330,8510,8330,8400,5034090,HDB,8162.9,7929.54,0
2020-11-05,8380,8570,8330,8400,3137940,HDB,8161.9,7952.54,0
2020-11-06,8460,8460,8330,8370,1300350,HDB,8151.9,7975.54,0
2020-11-09,8460,8470,8400,8470,1689360,HDB,8165.9,8000.34,0
2020-11-10,8620,8670,8470,8500,3570080,HDB,8197.9,8024.94,0
2020-11-11,8500,8600,8440,8600,3470730,HDB,8291.9,8050.74,0
2020-11-12,8600,8650,8570,8620,1765850,HDB,8366.9,8070.14,0
2020-11-13,8670,8670,8550,8620,3920880,HDB,8422.9,8090.14,0
2020-11-16,8670,8670,8400,8400,6750870,HDB,8449.9,8108.14,0
2020-11-17,8600,8600,8510,8570,8312310,HDB,8495.0,8128.74,0
2020-11-18,8600,8600,8470,8550,5909160,HDB,8510.0,8150.34,0
2020-11-19,8470,8530,8460,8470,4863700,HDB,8517.0,8169.34,0
2020-11-20,8470,8670,8470,8600,3751000,HDB,8540.0,8185.54,0
2020-11-23,8670,8720,8570,8570,4563820,HDB,8550.0,8201.54,0
2020-11-24,8620,8620,8430,8510,5290640,HDB,8551.0,8218.34,0
2020-11-25,8510,8530,8400,8460,4575840,HDB,8537.0,8234.34,0
2020-11-26,8500,8550,8410,8500,4176820,HDB,8525.0,8252.54,0
2020-11-27,8820,9070,8670,9070,10500540,HDB,8570.0,8281.34,0
2020-11-30,9220,9700,9210,9310,7093650,HDB,8661.0,8310.14,0
2020-12-01,9110,9450,9090,9420,5994270,HDB,8746.0,8340.14,0
2020-12-02,9310,9420,9270,9320,5158140,HDB,8823.0,8367.14,0
2020-12-03,9310,9380,9220,9220,4923230,HDB,8898.0,8392.14,0
2020-12-04,9220,9260,9170,9170,3959250,HDB,8955.0,8415.74,0
2020-12-07,9170,9260,9170,9230,2691150,HDB,9021.0,8438.94,0
2020-12-08,9260,9380,9230,9380,2911860,HDB,9108.0,8466.14,0
2020-12-09,9520,9630,9450,9580,5148570,HDB,9220.0,8497.34,0
2020-12-10,9590,9590,9420,9420,4914350,HDB,9312.0,8520.34,0
2020-12-11,9420,9520,9380,9420,3316850,HDB,9347.0,8544.14,0
2020-12-14,9420,9520,9380,9450,3219050,HDB,9361.0,8567.74,0
2020-12-15,9450,9470,9310,9420,4717840,HDB,9361.0,8591.54,0
2020-12-16,9380,9520,9340,9470,4559460,HDB,9376.0,8616.34,0
2020-12-17,9470,9740,9340,9620,6299430,HDB,9416.0,8645.34,0
2020-12-18,9620,10020,9590,10020,9509510,HDB,9501.0,8682.34,0
2020-12-21,10150,10570,10150,10540,6290050,HDB,9632.0,8730.76,0
2020-12-22,10570,10570,10270,10400,4163730,HDB,9734.0,8778.76,0
2020-12-23,10370,10400,10150,10150,6361130,HDB,9791.0,8820.16,0
2020-12-24,10150,10170,9520,9810,6630420,HDB,9830.0,8852.58,0
2020-12-25,9830,10190,9790,10150,5078510,HDB,9903.0,8890.18,0
2020-12-28,10220,10330,9960,10080,5670670,HDB,9966.0,8926.98,0
2020-12-29,10080,10110,9960,10000,3524870,HDB,10024.0,8958.38,0
2020-12-30,10000,10110,9980,9980,3005990,HDB,10075.0,8989.38,0
2020-12-31,10020,10120,9980,10040,2587530,HDB,10117.0,9021.98,0
2021-01-04,10220,10220,10110,10190,6829000,HDB,10134.0,9056.38,0
2021-01-05,10190,10520,10190,10470,7231800,HDB,10127.0,9099.18,0
2021-01-06,10480,11030,10480,10840,11331100,HDB,10171.0,9152.38,0
2021-01-07,11000,11390,10970,11330,8328800,HDB,10289.0,9225.78,0
2021-01-08,11500,11630,11330,11450,6924700,HDB,10453.0,9297.38,0
2021-01-11,11500,11610,11210,11350,6768300,HDB,10573.0,9363.18,0
2021-01-12,11280,11370,11120,11310,5101900,HDB,10696.0,9426.78,0
2021-01-13,11310,11420,11280,11350,6388800,HDB,10831.0,9491.4,0
2021-01-14,11420,11420,11210,11330,3675000,HDB,10966.0,9550.0,0
2021-01-15,11420,11840,11390,11790,7103500,HDB,11141.0,9617.8,0
2021-01-18,11790,11790,11420,11520,5150200,HDB,11274.0,9680.8,0
2021-01-19,11420,11420,10720,10720,5782200,HDB,11299.0,9725.8,0
