time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,9730,9940,9660,9940,4232230,HPG,,,0
2020-01-03,10020,10080,9950,10000,7832210,HPG,,,0
2020-01-06,9940,10040,9870,9940,5371060,HPG,,,0
2020-01-07,9980,10020,9770,9810,4871220,HPG,,,0
2020-01-08,9730,9790,9580,9710,6421130,HPG,,,0
2020-01-09,9770,10000,9770,9940,4613440,HPG,,,0
2020-01-10,9980,10160,9950,10020,10006180,HPG,,,0
2020-01-13,10020,10100,9980,10040,4456520,HPG,,,0
2020-01-14,10040,10370,10020,10350,9565300,HPG,,,0
2020-01-15,10370,10490,10310,10410,5881520,HPG,10016.0,,0
2020-01-16,10350,10490,10330,10470,6855030,HPG,10069.0,,0
2020-01-17,10470,10620,10310,10350,6329150,HPG,10104.0,,0
2020-01-20,10350,10550,10230,10550,5711790,HPG,10165.0,,0
2020-01-21,10660,10760,10580,10700,5911660,HPG,10254.0,,0
2020-01-22,10700,10930,10700,10890,8919900,HPG,10372.0,,0
2020-01-30,10580,10730,10330,10470,13028790,HPG,10425.0,,0
2020-01-31,10350,10470,9980,9980,10994970,HPG,10421.0,,0
2020-02-03,9650,10260,9400,10160,12079180,HPG,10433.0,,0
2020-02-04,10210,10260,9980,10180,8086090,HPG,10416.0,,0
2020-02-05,10290,10350,10020,10120,6938550,HPG,10387.0,,0
2020-02-06,10080,10440,10060,10440,9214150,HPG,10384.0,,0
2020-02-07,10440,10470,10020,10080,8120240,HPG,10357.0,,0
2020-02-10,9940,10210,9920,10080,4794830,HPG,10310.0,,0
2020-02-11,10120,10180,9710,9770,12551620,HPG,10217.0,,0
2020-02-12,9730,10000,9710,9850,9581940,HPG,10113.0,,0
2020-02-13,9840,9890,9770,9810,5263180,HPG,10047.0,,0
2020-02-14,9770,9840,9660,9810,5052290,HPG,10030.0,,0
2020-02-17,9810,9870,9770,9840,2716840,HPG,9998.0,,0
2020-02-18,9870,9870,9650,9650,7456030,HPG,9945.0,,0
2020-02-19,9650,9710,9560,9630,5481650,HPG,9896.0,,0
2020-02-20,9710,9840,9630,9840,5225250,HPG,9836.0,,0
2020-02-21,9840,9850,9730,9750,4513960,HPG,9803.0,,0
2020-02-24,9420,9580,9400,9400,12938030,HPG,9735.0,,0
2020-02-25,9350,9560,9350,9560,5303830,HPG,9714.0,,0
2020-02-26,9420,9520,9400,9420,4502880,HPG,9671.0,,0
2020-02-27,9400,9550,9400,9500,3318240,HPG,9640.0,,0
2020-02-28,9340,9440,9210,9250,6583970,HPG,9584.0,,0
2020-03-02,9190,9320,9190,9240,3957540,HPG,9524.0,,0
2020-03-03,9440,9440,9240,9240,4411940,HPG,9483.0,,0
2020-03-04,9270,9350,9250,9250,2946050,HPG,9445.0,,0
2020-03-05,9350,9380,9250,9250,2594810,HPG,9386.0,,0
2020-03-06,9250,9290,9210,9270,3035470,HPG,9338.0,,0
2020-03-09,8640,8920,8640,8640,16567350,HPG,9262.0,,0
2020-03-10,8490,9010,8490,8960,8137980,HPG,9202.0,,0
2020-03-11,8980,9030,8350,8510,8527920,HPG,9111.0,,0
2020-03-12,8090,8200,7930,7970,13041040,HPG,8958.0,,0
2020-03-13,7470,8150,7430,7890,12836580,HPG,8822.0,,0
2020-03-16,7950,8220,7850,7910,9283920,HPG,8689.0,,0
2020-03-17,7700,7990,7700,7950,6053400,HPG,8560.0,,0
2020-03-18,8039,8320,8010,8150,10396530,HPG,8450.0,9638.8,0
2020-03-19,8039,8070,7830,7930,7773200,HPG,8318.0,9598.6,0
2020-03-20,7970,7990,7700,7700,13401260,HPG,8161.0,9552.6,0
2020-03-23,7200,7450,7160,7160,12947170,HPG,8013.0,9497.0,0
2020-03-24,7040,7180,6890,7080,13831390,HPG,7825.0,9442.4,0
2020-03-25,7390,7390,7200,7370,7758210,HPG,7711.0,9395.6,0
2020-03-26,7260,7290,7000,7020,8514960,HPG,7616.0,9337.2,0
2020-03-27,7000,7040,6550,6710,13442640,HPG,7498.0,9271.0,0
2020-03-30,6340,6920,6320,6770,10870540,HPG,7384.0,9205.6,0
2020-03-31,6770,7180,6320,6970,11163440,HPG,7286.0,9138.0,0
2020-04-01,6920,7250,6890,7150,4859650,HPG,7186.0,9072.8,0
2020-04-03,7150,7330,7120,7310,6503290,HPG,7124.0,9009.6,0
