time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,8100,8250,8080,8230,2849190,MBB,,,0
2020-01-03,8330,8360,8230,8250,3476230,MBB,,,0
2020-01-06,8210,8230,8130,8130,2609270,MBB,,,0
2020-01-07,8150,8210,8100,8150,2684180,MBB,,,0
2020-01-08,8080,8150,8039,8039,4163950,MBB,,,0
2020-01-09,8130,8210,8060,8170,3298470,MBB,,,0
2020-01-10,8210,8410,8210,8310,8593950,MBB,,,0
2020-01-13,8330,8380,8250,8270,2921820,MBB,,,0
2020-01-14,8270,8410,8250,8360,4557920,MBB,,,0
2020-01-15,8360,8380,8330,8330,3625930,MBB,8223.9,,0
2020-01-16,8370,8600,8360,8540,8169550,MBB,8254.9,,0
2020-01-17,8560,8640,8500,8540,4776330,MBB,8283.9,,0
2020-01-20,8540,8580,8490,8540,4308990,MBB,8324.9,,0
2020-01-21,8580,8770,8560,8760,5239140,MBB,8385.9,,0
2020-01-22,8760,8770,8670,8700,4991520,MBB,8452.0,,0
2020-01-30,8500,8580,8230,8250,8995010,MBB,8460.0,,0
2020-01-31,8170,8370,8080,8080,8065490,MBB,8437.0,,0
2020-02-03,7820,8080,7570,7900,14421110,MBB,8400.0,,0
2020-02-04,8029,8370,7820,8210,9461800,MBB,8385.0,,0
2020-02-05,8310,8380,8170,8210,7177000,MBB,8373.0,,0
2020-02-06,8210,8540,8100,8470,12119010,MBB,8366.0,,0
2020-02-07,8440,8470,8310,8310,8050600,MBB,8343.0,,0
2020-02-10,8189,8270,8130,8150,6111600,MBB,8304.0,,0
2020-02-11,8189,8270,8170,8230,4331600,MBB,8251.0,,0
2020-02-12,8330,8500,8270,8410,10980490,MBB,8222.0,,0
2020-02-13,8370,8440,8300,8310,6581630,MBB,8228.0,,0
2020-02-14,8380,8500,8370,8440,9083550,MBB,8264.0,,0
2020-02-17,8540,8620,8470,8520,9693630,MBB,8326.0,,0
2020-02-18,8560,8580,8430,8440,5400900,MBB,8349.0,,0
2020-02-19,8440,8470,8360,8380,4586120,MBB,8366.0,,0
2020-02-20,8470,8500,8380,8410,6104470,MBB,8360.0,,0
2020-02-21,8430,8430,8210,8230,8795360,MBB,8352.0,,0
2020-02-24,8039,8080,7800,7800,12138250,MBB,8317.0,,0
2020-02-25,7760,8080,7700,8080,11926410,MBB,8302.0,,0
2020-02-26,7900,8100,7900,7970,5079630,MBB,8258.0,,0
2020-02-27,7980,8100,7940,8100,4046120,MBB,8237.0,,0
