time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,46080,46490,45590,46160,518870,MSN,,,0
2020-01-03,46320,46730,46000,46570,777690,MSN,,,0
2020-01-06,46570,46570,45830,45830,582020,MSN,,,0
2020-01-07,46000,46400,45910,46000,319680,MSN,,,0
2020-01-08,45520,45750,45030,45350,737690,MSN,,,0
2020-01-09,45830,46320,45750,46160,505680,MSN,,,0
2020-01-10,46160,46730,45750,45750,524930,MSN,,,0
2020-01-13,45830,46240,45670,46160,413810,MSN,,,0
2020-01-14,46160,46400,45830,45830,349410,MSN,,,0
2020-01-15,46160,46160,45350,45750,373290,MSN,45956.0,,0
2020-01-16,45750,46080,45520,45520,290210,MSN,45892.0,,0
2020-01-17,45440,45670,44540,44540,496940,MSN,45689.0,,0
2020-01-20,44540,44620,42920,43980,541490,MSN,45504.0,,0
2020-01-21,43980,44460,43810,44140,369330,MSN,45318.0,,0
2020-01-22,43900,44210,43160,43240,540210,MSN,45107.0,,0
2020-01-30,42920,42920,40490,40570,1591110,MSN,44548.0,,0
2020-01-31,40490,41870,40490,40570,791350,MSN,44030.0,,0
2020-02-03,37820,40490,37740,40490,1290570,MSN,43463.0,,0
2020-02-04,40570,41300,40080,40490,744900,MSN,42929.0,,0
2020-02-05,40900,40900,39850,40490,750710,MSN,42403.0,,0
2020-02-06,40450,40450,38470,40410,2389970,MSN,41892.0,,0
2020-02-07,40330,40410,39520,40410,932290,MSN,41479.0,,0
2020-02-10,40410,40410,39520,40410,600280,MSN,41122.0,,0
2020-02-11,39850,41870,39850,40410,2081860,MSN,40749.0,,0
2020-02-12,40490,41060,40490,40900,804720,MSN,40515.0,,0
2020-02-13,41060,41220,40570,40650,547970,MSN,40523.0,,0
2020-02-14,40650,40650,40050,40330,1120310,MSN,40499.0,,0
2020-02-17,40330,40330,39640,40240,1492320,MSN,40474.0,,0
2020-02-18,39850,40240,39850,40240,591220,MSN,40449.0,,0
2020-02-19,40160,41870,40160,40820,1818680,MSN,40482.0,,0
2020-02-20,41220,41620,40820,41390,1365480,MSN,40580.0,,0
2020-02-21,41700,43730,41700,42920,2061050,MSN,40831.0,,0
2020-02-24,41780,42520,41300,41390,1429040,MSN,40929.0,,0
2020-02-25,40900,41540,40330,40980,896710,MSN,40986.0,,0
2020-02-26,40330,40730,39680,40280,1252450,MSN,40924.0,,0
2020-02-27,39850,40330,39520,40240,1642080,MSN,40883.0,,0
2020-02-28,40240,40240,38630,39680,2255610,MSN,40818.0,,0
2020-03-02,39150,39680,38740,39680,1588150,MSN,40762.0,,0
2020-03-03,39850,40330,39280,39680,1225730,MSN,40706.0,,0
2020-03-04,39600,39970,39400,39680,909830,MSN,40592.0,,0
2020-03-05,40050,42110,39810,41220,1780900,MSN,40575.0,,0
2020-03-06,41140,44060,40570,44060,2794380,MSN,40689.0,,0
2020-03-09,42920,46000,41300,42110,4205130,MSN,40761.0,,0
2020-03-10,42830,43570,42110,42440,2386840,MSN,40907.0,,0
2020-03-11,43160,43160,39850,40450,2637580,MSN,40924.0,,0
2020-03-12,38220,40450,37650,40450,4072710,MSN,40945.0,,0
2020-03-13,37650,40450,37650,40370,3783330,MSN,41014.0,,0
2020-03-16,39680,40330,38470,40080,3216820,MSN,41054.0,,0
2020-03-17,38870,40080,38630,40080,3877150,MSN,41094.0,,0
2020-03-18,40080,40240,39520,40010,2170340,MSN,41127.0,42112.0,0
2020-03-19,39280,39850,38910,39850,3350310,MSN,40990.0,41985.8,0
2020-03-20,39680,39850,38710,39850,4120820,MSN,40569.0,41851.4,0
2020-03-23,38950,39850,37570,39850,5025020,MSN,40343.0,41731.8,0
2020-03-24,39280,39760,39110,39760,3558350,MSN,40075.0,41607.0,0
2020-03-25,39680,40240,39280,39760,2857290,MSN,40006.0,41495.2,0
2020-03-26,39680,39850,39320,39680,2763490,MSN,39929.0,41365.6,0
2020-03-27,39440,41300,39280,39930,2587920,MSN,39885.0,41249.2,0
2020-03-30,39280,39760,39190,39760,1378940,MSN,39853.0,41121.2,0
2020-03-31,39760,40410,39030,39680,3667100,MSN,39813.0,40998.2,0
2020-04-01,39520,40490,39520,39850,1725880,MSN,39797.0,40880.2,0
2020-04-03,40160,42360,40080,42360,1841480,MSN,40048.0,40817.0,0
2020-04-06,43160,45270,43000,45270,2556830,MSN,40590.0,40831.6,0
2020-04-07,46000,47290,44620,46570,2099700,MSN,41262.0,40883.4,1
2020-04-08,45440,47700,44950,47700,1338040,MSN,42056.0,40954.6,0
2020-04-09,47780,48340,47050,48110,2047890,MSN,42891.0,41052.0,0
2020-04-10,47780,50620,47210,48750,1914340,MSN,43798.0,41215.6,0
2020-04-13,48750,49720,47050,47050,2106950,MSN,44510.0,41345.2,0
2020-04-14,46970,49400,46320,49400,1449880,MSN,45474.0,41523.4,0
2020-04-15,49400,50450,49160,49320,1106350,MSN,46438.0,41700.0,0
2020-04-16,48260,49570,48260,49240,981480,MSN,47377.0,41875.0,0
2020-04-17,49400,49720,48990,49080,1417150,MSN,48049.0,42048.4,0
2020-04-20,49080,49400,48110,48110,1843690,MSN,48333.0,42202.4,0
2020-04-21,47050,47620,45440,45830,1855040,MSN,48259.0,42310.8,0
2020-04-22,44950,47450,44950,47130,1062970,MSN,48202.0,42445.2,0
2020-04-23,48190,48420,47130,47130,842920,MSN,48104.0,42569.8,0
2020-04-24,46810,48190,46320,48190,1218690,MSN,48048.0,42720.6,0
2020-04-27,48590,48990,47370,47370,1122520,MSN,48080.0,42861.4,0
2020-04-28,47370,48830,46970,48340,1095230,MSN,47974.0,43023.4,0
