time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,35950,36900,35850,36900,716290,MWG,,,0
2020-01-03,36900,37120,36330,36360,791020,MWG,,,0
2020-01-06,36200,36400,35950,36180,389250,MWG,,,0
2020-01-07,36180,36460,35730,36460,648230,MWG,,,0
2020-01-08,35950,36270,35570,35570,742390,MWG,,,0
2020-01-09,35920,36270,35760,36110,318070,MWG,,,0
2020-01-10,36150,36460,36050,36300,412180,MWG,,,0
2020-01-13,36110,36360,35980,36110,288240,MWG,,,0
2020-01-14,36200,36200,35880,35920,320810,MWG,,,0
2020-01-15,35920,36020,35850,35950,293160,MWG,36186.0,,0
2020-01-16,35950,36580,35920,36400,521080,MWG,36136.0,,0
2020-01-17,36400,36640,36400,36600,435030,MWG,36160.0,,0
2020-01-20,36430,37400,36430,37400,1463940,MWG,36282.0,,0
2020-01-21,37400,38000,37330,37840,692200,MWG,36420.0,,0
2020-01-22,37720,37880,37360,37590,460240,MWG,36622.0,,0
2020-01-30,36580,36930,35630,35950,1315710,MWG,36606.0,,0
2020-01-31,35630,36150,34850,34950,1434750,MWG,36471.0,,0
2020-02-03,34120,34660,32800,34310,1949930,MWG,36291.0,,0
2020-02-04,34370,34850,33560,34030,905300,MWG,36102.0,,0
2020-02-05,34070,34590,34070,34070,805800,MWG,35914.0,,0
2020-02-06,34070,34790,34070,34530,785620,MWG,35727.0,,0
2020-02-07,34460,34460,34000,34270,628350,MWG,35494.0,,0
2020-02-10,33590,33900,33360,33360,702790,MWG,35090.0,,0
2020-02-11,33430,33690,33430,33590,396130,MWG,34665.0,,0
2020-02-12,33650,34490,33650,34370,569230,MWG,34343.0,,0
2020-02-13,34030,34370,34030,34070,412040,MWG,34155.0,,0
2020-02-14,33740,33970,33390,33770,415290,MWG,34037.0,,0
2020-02-17,33810,33900,33490,33900,384490,MWG,33996.0,,0
2020-02-18,33900,34400,33740,34340,568750,MWG,34027.0,,0
2020-02-19,34490,34850,34340,34850,672440,MWG,34105.0,,0
2020-02-20,35010,35130,34750,34880,451760,MWG,34140.0,,0
2020-02-21,34880,35320,34620,34880,901890,MWG,34201.0,,0
2020-02-24,34070,34340,33330,33490,1556120,MWG,34214.0,,0
2020-02-25,33170,33740,33170,33740,692650,MWG,34229.0,,0
2020-02-26,33430,34030,33260,33490,1083030,MWG,34141.0,,0
2020-02-27,33490,34180,33490,34180,2144240,MWG,34152.0,,0
2020-02-28,33430,33810,32960,33590,1295250,MWG,34134.0,,0
2020-03-02,33590,33810,33390,33590,474160,MWG,34103.0,,0
2020-03-03,34000,34000,33520,33560,679500,MWG,34025.0,,0
2020-03-04,33390,33430,32990,33430,680740,MWG,33883.0,,0
2020-03-05,33430,33620,32960,33260,673150,MWG,33721.0,,0
2020-03-06,32930,33050,31980,32509,827890,MWG,33483.9,,0
2020-03-09,30240,31060,30240,30240,1051190,MWG,33158.9,,0
2020-03-10,28670,29970,28440,29610,1429660,MWG,32745.9,,0
2020-03-11,29640,29800,27560,27560,1584730,MWG,32152.9,,0
2020-03-12,25640,25640,25640,25640,527930,MWG,31298.9,,0
