time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,11740,11780,11560,11690,639390,PDR,,,0
2020-01-03,11660,11660,11330,11370,421590,PDR,,,0
2020-01-06,11420,11510,11350,11480,1049590,PDR,,,0
2020-01-07,11460,11510,10710,10710,2226990,PDR,,,0
2020-01-08,10920,11440,10540,11440,1247880,PDR,,,0
2020-01-09,11440,11740,11330,11650,575890,PDR,,,0
2020-01-10,11650,11690,11190,11350,732690,PDR,,,0
2020-01-13,11240,11270,11040,11040,480660,PDR,,,0
2020-01-14,11060,11510,11010,11510,588350,PDR,,,0
2020-01-15,11510,11560,11330,11460,566830,PDR,11370.0,,0
2020-01-16,11510,11510,11280,11460,871140,PDR,11347.0,,0
2020-01-17,11460,11510,11370,11460,731700,PDR,11356.0,,0
2020-01-20,11460,11510,11370,11460,667980,PDR,11354.0,,0
2020-01-21,11460,11650,11370,11650,773380,PDR,11448.0,,0
2020-01-22,11650,11860,11460,11860,699090,PDR,11490.0,,0
2020-01-30,11860,11860,11600,11750,687530,PDR,11500.0,,0
2020-01-31,11650,11740,11460,11660,585650,PDR,11531.0,,0
2020-02-03,11660,11660,11370,11660,498280,PDR,11593.0,,0
2020-02-04,11690,11690,11560,11690,507600,PDR,11611.0,,0
2020-02-05,11690,11740,10920,11690,735810,PDR,11634.0,,0
2020-02-06,11650,11740,11570,11710,570160,PDR,11659.0,,0
2020-02-07,11710,11740,11570,11740,449400,PDR,11687.0,,0
2020-02-10,11690,11690,11530,11620,542130,PDR,11703.0,,0
2020-02-11,11620,11710,11570,11600,672120,PDR,11698.0,,0
2020-02-12,11600,11650,11530,11600,556440,PDR,11672.0,,0
2020-02-13,11600,11690,11560,11690,699500,PDR,11666.0,,0
2020-02-14,11690,11710,11570,11690,519970,PDR,11669.0,,0
2020-02-17,11690,11710,11560,11650,719100,PDR,11668.0,,0
2020-02-18,11650,11710,11560,11710,735080,PDR,11670.0,,0
2020-02-19,11690,11690,11570,11650,545510,PDR,11666.0,,0
2020-02-20,11660,11690,11570,11660,758990,PDR,11661.0,,0
2020-02-21,11690,11690,11560,11660,903160,PDR,11653.0,,0
2020-02-24,11650,11740,11530,11530,1024780,PDR,11644.0,,0
2020-02-25,11510,11650,11510,11650,597740,PDR,11649.0,,0
2020-02-26,11650,11650,11560,11600,493440,PDR,11649.0,,0
2020-02-27,11600,11650,11530,11600,353850,PDR,11640.0,,0
2020-02-28,11600,11650,11530,11650,599270,PDR,11636.0,,0
2020-03-02,11650,11650,11560,11650,758580,PDR,11636.0,,0
2020-03-03,11650,11690,11560,11690,1173520,PDR,11634.0,,0
2020-03-04,11650,11690,11600,11650,1062030,PDR,11634.0,,0
2020-03-05,11650,11690,11650,11660,741160,PDR,11634.0,,0
2020-03-06,11660,11690,11560,11690,747620,PDR,11637.0,,0
2020-03-09,11560,11650,11010,11460,655510,PDR,11630.0,,0
2020-03-10,11150,11460,10970,11460,367390,PDR,11611.0,,0
2020-03-11,11460,11460,11100,11420,260510,PDR,11593.0,,0
2020-03-12,11100,11420,10880,11420,204480,PDR,11575.0,,0
2020-03-13,11100,11420,11060,11420,115440,PDR,11552.0,,0
2020-03-16,11100,11330,11010,11330,353290,PDR,11520.0,,0
2020-03-17,11150,11420,11010,11420,284310,PDR,11493.0,,0
2020-03-18,11420,11420,11100,11280,330720,PDR,11456.0,11552.0,0
2020-03-19,11240,11280,11060,11280,293550,PDR,11418.0,11543.8,0
2020-03-20,11280,11280,11000,11280,343600,PDR,11377.0,11542.0,0
2020-03-23,11280,11280,11060,11190,334360,PDR,11350.0,11536.2,0
2020-03-24,11190,11190,11090,11090,363780,PDR,11313.0,11543.8,0
2020-03-25,11090,11190,11060,11190,196220,PDR,11290.0,11538.8,0
2020-03-26,11190,11240,11100,11240,273660,PDR,11272.0,11530.6,0
2020-03-27,11190,11240,11060,11240,278280,PDR,11254.0,11528.4,0
2020-03-30,11190,11190,11060,11190,296020,PDR,11240.0,11531.4,0
2020-03-31,11190,11190,10970,11150,420780,PDR,11213.0,11524.2,0
2020-04-01,11150,11150,11010,11150,475220,PDR,11200.0,11518.0,0
2020-04-03,11150,11180,11040,11180,319910,PDR,11190.0,11512.4,0
2020-04-06,11100,11180,11060,11180,411830,PDR,11180.0,11506.8,0
2020-04-07,11180,11280,11060,11280,429470,PDR,11189.0,11503.2,0
2020-04-08,11190,11280,11190,11280,413610,PDR,11208.0,11495.8,0
2020-04-09,11190,11280,11150,11270,399450,PDR,11216.0,11484.0,0
2020-04-10,11220,11280,11060,11240,368040,PDR,11216.0,11473.8,0
2020-04-13,11220,11370,11150,11270,391180,PDR,11219.0,11466.0,0
