time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,44920,45720,44360,45240,380760,PLX,,,0
2020-01-03,45320,46530,45320,45720,586600,PLX,,,0
2020-01-06,46440,46440,45720,45890,497990,PLX,,,0
2020-01-07,46050,46050,45160,45240,290780,PLX,,,0
2020-01-08,45640,45640,44530,44610,237220,PLX,,,0
2020-01-09,44610,45090,44610,45000,128140,PLX,,,0
2020-01-10,45000,45240,44610,44610,135340,PLX,,,0
2020-01-13,44610,45000,44530,44760,166780,PLX,,,0
2020-01-14,44670,44670,44200,44440,94530,PLX,,,0
2020-01-15,44440,44440,43800,44360,176290,PLX,44987.0,,0
2020-01-16,44440,44920,44200,44610,176180,PLX,44924.0,,0
2020-01-17,44850,45490,44850,45000,128190,PLX,44852.0,,0
2020-01-20,45000,45160,44610,44850,265570,PLX,44748.0,,0
2020-01-21,45160,45640,45090,45570,605240,PLX,44781.0,,0
2020-01-22,45570,46210,45570,45890,392620,PLX,44909.0,,0
2020-01-30,44850,45490,44360,44360,314560,PLX,44845.0,,0
2020-01-31,44610,44610,42440,42440,672920,PLX,44628.0,,0
2020-02-03,39680,41160,39480,40840,594560,PLX,44236.0,,0
2020-02-04,41470,41640,40040,40600,578180,PLX,43852.0,,0
2020-02-05,40690,41640,40690,41240,186410,PLX,43540.0,,0
2020-02-06,41240,41890,41000,41640,547380,PLX,43243.0,,0
2020-02-07,41890,42040,41410,41470,345610,PLX,42890.0,,0
2020-02-10,41080,41470,40600,41320,357180,PLX,42537.0,,0
2020-02-11,41320,42280,41240,42280,427820,PLX,42208.0,,0
2020-02-12,42280,42510,42280,42370,637550,PLX,41856.0,,0
2020-02-13,42280,43080,42280,42680,506100,PLX,41688.0,,0
2020-02-14,42680,43010,42600,42680,612290,PLX,41712.0,,0
2020-02-17,42680,42760,42200,42510,371440,PLX,41879.0,,0
2020-02-18,42440,42440,42120,42280,254370,PLX,42047.0,,0
2020-02-19,42370,42680,42280,42370,337410,PLX,42160.0,,0
2020-02-20,42680,42840,42510,42600,292760,PLX,42256.0,,0
2020-02-21,42760,42760,42280,42280,288010,PLX,42337.0,,0
2020-02-24,41240,41640,40280,40510,441450,PLX,42256.0,,0
2020-02-25,40370,40840,40130,40690,282590,PLX,42097.0,,0
2020-02-26,40600,40600,40130,40130,290260,PLX,41873.0,,0
2020-02-27,40130,41000,40130,41000,238530,PLX,41705.0,,0
2020-02-28,40200,41720,40200,41320,290640,PLX,41569.0,,0
2020-03-02,41320,41320,40690,40690,135280,PLX,41387.0,,0
2020-03-03,40840,41240,40280,40280,241940,PLX,41187.0,,0
2020-03-04,40280,40510,40200,40280,149030,PLX,40978.0,,0
2020-03-05,40600,40690,40280,40280,165440,PLX,40746.0,,0
2020-03-06,40200,40200,39720,39810,167080,PLX,40499.0,,0
2020-03-09,37040,38440,37040,37040,262470,PLX,40152.0,,0
2020-03-10,34480,36030,34480,35070,518640,PLX,39590.0,,0
2020-03-11,35880,35880,32630,32750,385470,PLX,38852.0,,0
2020-03-12,32040,32040,30470,30470,465400,PLX,37799.0,,0
2020-03-13,28340,30430,28340,28950,845640,PLX,36562.0,,0
2020-03-16,29070,30580,29070,29470,632180,PLX,35440.0,,0
2020-03-17,29630,31510,29230,31510,535980,PLX,34563.0,,0
2020-03-18,32750,33710,32040,33710,880510,PLX,33906.0,41114.2,0
2020-03-19,33390,33480,32100,32100,510280,PLX,33088.0,40851.4,0
2020-03-20,32830,33240,32100,32509,381290,PLX,32357.9,40587.18,0
2020-03-23,31310,31720,30280,30280,585750,PLX,31681.9,40274.98,0
2020-03-24,30280,30350,28340,30030,1147220,PLX,31177.9,39970.78,0
2020-03-25,30830,32100,30830,32100,469810,PLX,31112.9,39720.58,0
2020-03-26,32040,32830,31230,31590,418920,PLX,31224.9,39452.38,0
2020-03-27,31230,31720,30510,31630,713230,PLX,31492.9,39192.78,0
2020-03-30,29610,31580,29610,30200,728950,PLX,31565.9,38901.58,0
2020-03-31,30360,31580,29950,30800,383160,PLX,31494.9,38628.78,0
2020-04-01,30800,32900,30360,32810,595360,PLX,31404.9,38397.78,0
2020-04-03,33910,34070,33150,33650,851510,PLX,31559.9,38178.58,0
2020-04-06,34420,34620,33650,33830,1924660,PLX,31692.0,37955.18,0
2020-04-07,32980,33240,32130,32770,1194700,PLX,31941.0,37713.58,0
