time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,10970,11352,10922,11352,1569270,POW,,,0
2020-01-03,11352,11447,11113,11161,1245410,POW,,,0
2020-01-06,11113,11161,10827,10827,2064670,POW,,,0
2020-01-07,10875,10922,10684,10731,1893960,POW,,,0
2020-01-08,10684,10684,10016,10254,5339280,POW,,,0
2020-01-09,10350,10588,10302,10398,2226540,POW,,,0
2020-01-10,10445,10636,10302,10588,1461150,POW,,,0
2020-01-13,10588,10588,10493,10493,1298370,POW,,,0
2020-01-14,10588,10588,10398,10398,1438620,POW,,,0
2020-01-15,10398,10398,10302,10398,1119580,POW,10660.0,,0
2020-01-16,10493,10541,10398,10493,1479520,POW,10574.1,,0
2020-01-17,10541,10541,10302,10302,1629430,POW,10488.2,,0
2020-01-20,10302,10398,10159,10207,1136080,POW,10426.2,,0
2020-01-21,10398,10684,10398,10398,2980510,POW,10392.9,,0
2020-01-22,10493,10636,10445,10588,1844340,POW,10426.3,,0
2020-01-30,10493,10827,10493,10588,3263130,POW,10445.3,,0
2020-01-31,10588,10684,10016,10016,2556250,POW,10388.1,,0
2020-02-03,9444,9730,9320,9529,3839880,POW,10291.7,,0
2020-02-04,9634,9730,9062,9062,3640180,POW,10158.1,,0
2020-02-05,9157,9253,9033,9129,2301300,POW,10031.2,,0
2020-02-06,9157,9587,9119,9587,2202420,POW,9940.6,,0
2020-02-07,9587,9634,9434,9453,1520380,POW,9855.7,,0
2020-02-10,9253,9348,9205,9234,1441160,POW,9758.4,,0
2020-02-11,9272,9501,9253,9405,1775070,POW,9659.1,,0
2020-02-12,9482,10064,9444,10064,3050250,POW,9606.7,,0
2020-02-13,10207,10445,9873,10064,3076810,POW,9554.3,,0
2020-02-14,10064,10064,9825,9921,1156570,POW,9544.8,,0
2020-02-17,9873,9968,9777,9873,2084770,POW,9579.2,,0
2020-02-18,9921,9968,9825,9873,1786200,POW,9660.3,,0
2020-02-19,9921,10111,9873,9968,1982300,POW,9744.2,,0
2020-02-20,10016,10445,10016,10398,4728350,POW,9825.3,,0
2020-02-21,10398,10445,10159,10254,1762570,POW,9905.4,,0
2020-02-24,9921,9968,9539,9539,3312940,POW,9935.9,,0
2020-02-25,9176,9520,9176,9491,3369430,POW,9944.5,,0
2020-02-26,9253,9921,9253,9730,2278130,POW,9911.1,,0
2020-02-27,9730,9873,9539,9634,1045640,POW,9868.1,,0
2020-02-28,9444,9520,9301,9396,2284820,POW,9815.6,,0
2020-03-02,9396,9529,9329,9520,1786920,POW,9780.3,,0
2020-03-03,9730,9777,9472,9472,2539230,POW,9740.2,,0
2020-03-04,9491,9634,9444,9501,2680650,POW,9693.5,,0
2020-03-05,9682,9921,9634,9730,3579000,POW,9626.7,,0
2020-03-06,9682,9777,9539,9634,2292720,POW,9564.7,,0
2020-03-09,8967,9348,8967,8967,4943410,POW,9507.5,,0
2020-03-10,8776,9148,8585,9062,2871290,POW,9464.6,,0
2020-03-11,9129,9205,8556,8604,5177740,POW,9352.0,,0
2020-03-12,8108,8251,8003,8003,5361200,POW,9188.9,,0
2020-03-13,7459,8490,7450,8490,4570810,POW,9098.3,,0
2020-03-16,8394,8471,7927,8471,3241750,POW,8993.4,,0
2020-03-17,8022,8957,8022,8442,3061070,POW,8890.4,,0
2020-03-18,8490,8537,8223,8356,1935700,POW,8775.9,9780.96,0
2020-03-19,8118,8289,8013,8079,2633250,POW,8610.8,9715.5,0
2020-03-20,8108,8299,8022,8070,1980340,POW,8454.4,9653.68,0
2020-03-23,7774,8070,7507,7507,4628880,POW,8308.4,9587.28,0
2020-03-24,7164,7440,7116,7183,5979090,POW,8120.5,9516.32,0
2020-03-25,7517,7555,7412,7488,2458770,POW,8008.9,9461.0,0
2020-03-26,7440,7440,7250,7250,2129230,POW,7933.6,9398.04,0
2020-03-27,7202,7622,7202,7269,3296170,POW,7811.5,9331.66,0
