time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,89530,89530,87980,87980,28600,SAB,,,0
2020-01-03,87980,89140,87980,88200,17590,SAB,,,0
2020-01-06,87570,88160,87380,87890,35850,SAB,,,0
2020-01-07,87420,88310,87420,87980,15580,SAB,,,0
2020-01-08,88160,88160,87420,87660,30610,SAB,,,0
2020-01-09,87180,89500,86790,89140,54030,SAB,,,0
2020-01-10,89140,92090,89140,91690,55770,SAB,,,0
2020-01-13,91690,92400,91690,91850,22590,SAB,,,0
2020-01-14,91110,91850,91110,91490,9340,SAB,,,0
2020-01-15,91490,92090,91490,91890,22540,SAB,89577.0,,0
2020-01-16,91490,92260,91490,91620,9270,SAB,89941.0,,0
2020-01-17,91620,92090,91490,92090,12580,SAB,90330.0,,0
2020-01-20,91490,92680,91490,92680,17170,SAB,90809.0,,0
2020-01-21,92680,92680,91490,91490,52160,SAB,91160.0,,0
2020-01-22,91490,92680,90750,91310,11510,SAB,91525.0,,0
2020-01-30,90870,90870,85600,85600,38140,SAB,91171.0,,0
2020-01-31,83250,88590,80110,83250,24730,SAB,90327.0,,0
2020-02-03,77450,83250,77450,82040,16880,SAB,89346.0,,0
2020-02-04,82040,82040,78550,79720,167140,SAB,88169.0,,0
2020-02-05,79720,79720,76190,76190,43870,SAB,86599.0,,0
2020-02-06,76190,78140,74340,74610,165080,SAB,84898.0,,0
2020-02-07,75400,78140,75000,76570,47950,SAB,83346.0,,0
2020-02-10,78140,78140,76570,76570,69570,SAB,81735.0,,0
2020-02-11,76570,76570,76190,76190,26300,SAB,80205.0,,0
2020-02-12,76930,76930,75000,75000,57410,SAB,78574.0,,0
2020-02-13,76730,76730,75210,76410,76770,SAB,77655.0,,0
2020-02-14,77170,77200,75660,75930,38650,SAB,76923.0,,0
2020-02-17,75930,76010,74400,74400,31460,SAB,76159.0,,0
2020-02-18,73010,73210,71210,71210,86320,SAB,75308.0,,0
2020-02-19,70810,72010,70010,71210,105560,SAB,74810.0,,0
2020-02-20,72010,72200,71570,72010,280190,SAB,74550.0,,0
2020-02-21,72010,72650,72010,72250,45380,SAB,74118.0,,0
2020-02-24,72080,72080,70840,71210,43780,SAB,73582.0,,0
2020-02-25,72010,72010,70570,71210,16230,SAB,73084.0,,0
2020-02-26,71770,71770,70490,70810,79880,SAB,72665.0,,0
2020-02-27,70810,70880,69280,69280,46300,SAB,71952.0,,0
2020-02-28,68930,68930,64800,64800,76910,SAB,70839.0,,0
2020-03-02,64800,69200,64800,68000,179490,SAB,70199.0,,0
2020-03-03,69000,69000,67620,68000,129270,SAB,69878.0,,0
2020-03-04,68000,68160,67200,67620,30310,SAB,69519.0,,0
2020-03-05,67620,68000,67620,67620,65380,SAB,69080.0,,0
2020-03-06,67620,67620,64800,65040,38170,SAB,68359.0,,0
2020-03-09,61200,63610,60530,62130,107570,SAB,67451.0,,0
2020-03-10,62130,63970,60400,62130,39620,SAB,66543.0,,0
2020-03-11,62170,64010,60810,60810,73120,SAB,65543.0,,0
2020-03-12,59730,63970,56850,57840,38400,SAB,64399.0,,0
2020-03-13,55200,61200,55200,57610,54560,SAB,63680.0,,0
2020-03-16,56810,60010,55610,60010,46800,SAB,62881.0,,0
2020-03-17,56410,60010,56410,56430,25320,SAB,61724.0,,0
2020-03-18,56430,58360,54400,54400,49230,SAB,60402.0,76181.4,0
