time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,6710,6820,6690,6820,991450,SSI,,,0
2020-01-03,6850,6890,6730,6770,703890,SSI,,,0
2020-01-06,6730,6780,6690,6750,1348120,SSI,,,0
2020-01-07,6750,6780,6730,6770,643090,SSI,,,0
2020-01-08,6690,6710,6500,6580,2622960,SSI,,,0
2020-01-09,6650,6690,6620,6650,1149130,SSI,,,0
2020-01-10,6670,6810,6640,6780,2067400,SSI,,,0
2020-01-13,6750,6850,6750,6780,1125380,SSI,,,0
2020-01-14,6780,6840,6770,6820,1066740,SSI,,,0
2020-01-15,6840,6840,6780,6820,830260,SSI,6754.0,,0
2020-01-16,6820,7080,6820,7080,2384770,SSI,6780.0,,0
2020-01-17,7120,7230,7040,7140,2832740,SSI,6817.0,,0
2020-01-20,7140,7140,7040,7140,1288010,SSI,6856.0,,0
2020-01-21,7080,7210,7060,7140,1541100,SSI,6893.0,,0
2020-01-22,7140,7200,7100,7160,1729500,SSI,6951.0,,0
2020-01-30,7030,7030,6710,6850,2412920,SSI,6971.0,,0
2020-01-31,6710,6780,6390,6570,4457280,SSI,6950.0,,0
2020-02-03,6230,6340,6110,6320,3144570,SSI,6904.0,,0
2020-02-04,6340,6390,6230,6300,1782240,SSI,6852.0,,0
2020-02-05,6340,6390,6260,6280,2164080,SSI,6798.0,,0
2020-02-06,6300,6570,6260,6570,2870780,SSI,6747.0,,0
2020-02-07,6570,6650,6490,6570,2561750,SSI,6690.0,,0
2020-02-10,6380,6530,6230,6500,775620,SSI,6626.0,,0
2020-02-11,6500,6530,6450,6460,1521880,SSI,6558.0,,0
2020-02-12,6490,6600,6490,6600,2789960,SSI,6502.0,,0
2020-02-13,6530,6570,6500,6530,1264660,SSI,6470.0,,0
2020-02-14,6530,6620,6490,6600,1102790,SSI,6473.0,,0
2020-02-17,6600,6650,6540,6540,1955060,SSI,6495.0,,0
2020-02-18,6540,6570,6450,6500,1478110,SSI,6515.0,,0
2020-02-19,6530,6540,6460,6530,1668460,SSI,6540.0,,0
2020-02-20,6570,6620,6490,6530,1664520,SSI,6536.0,,0
2020-02-21,6530,6540,6460,6460,1197860,SSI,6525.0,,0
2020-02-24,6320,6350,6030,6030,3482920,SSI,6478.0,,0
2020-02-25,5870,6100,5870,6070,1693240,SSI,6439.0,,0
2020-02-26,5930,6190,5890,5970,1038320,SSI,6376.0,,0
2020-02-27,5930,6110,5910,6110,1490420,SSI,6334.0,,0
2020-02-28,5990,6010,5860,5890,1987700,SSI,6263.0,,0
2020-03-02,5950,5970,5840,5860,2114140,SSI,6195.0,,0
2020-03-03,5970,6030,5910,5910,2088500,SSI,6136.0,,0
2020-03-04,5930,6100,5890,6030,2852970,SSI,6086.0,,0
2020-03-05,6140,6280,6100,6230,3298460,SSI,6056.0,,0
2020-03-06,6210,6210,6100,6190,1362870,SSI,6029.0,,0
2020-03-09,5770,5860,5770,5770,3576610,SSI,6003.0,,0
2020-03-10,5520,5800,5520,5770,3374030,SSI,5973.0,,0
2020-03-11,5870,5870,5380,5380,3614130,SSI,5914.0,,0
2020-03-12,5110,5190,5000,5030,4606030,SSI,5806.0,,0
2020-03-13,4710,5100,4710,4930,4484960,SSI,5710.0,,0
2020-03-16,5000,5040,4890,4930,2897920,SSI,5617.0,,0
2020-03-17,4860,5260,4750,5260,4834780,SSI,5552.0,,0
2020-03-18,5340,5340,5040,5070,3190370,SSI,5456.0,6326.8,0
2020-03-19,4970,5150,4930,5070,2568540,SSI,5340.0,6291.8,0
2020-03-20,5190,5210,5040,5140,2868770,SSI,5235.0,6259.2,0
2020-03-23,4890,4970,4790,4790,3296350,SSI,5137.0,6220.0,0
2020-03-24,4800,4820,4520,4640,3009990,SSI,5024.0,6177.4,0
2020-03-25,4820,4950,4720,4950,2376040,SSI,4981.0,6144.8,0
2020-03-26,4890,4910,4790,4800,1256940,SSI,4958.0,6107.8,0
2020-03-27,4820,4840,4580,4580,2469460,SSI,4923.0,6063.8,0
2020-03-30,4410,4410,4260,4260,2427550,SSI,4856.0,6013.4,0
2020-03-31,4320,4430,4110,4300,1680730,SSI,4760.0,5963.0,0
2020-04-01,4300,4600,4300,4600,3715270,SSI,4713.0,5918.6,0
2020-04-03,4790,4910,4750,4910,4544530,SSI,4697.0,5875.2,0
2020-04-06,5180,5250,5110,5250,5473010,SSI,4708.0,5837.4,0
2020-04-07,5380,5390,5190,5250,6377610,SSI,4754.0,5799.6,0
2020-04-08,5150,5380,5040,5320,4091610,SSI,4822.0,5763.2,0
2020-04-09,5580,5660,5560,5660,5507100,SSI,4893.0,5733.2,0
2020-04-10,5710,5840,5580,5710,3233820,SSI,4984.0,5710.4,0
2020-04-13,5640,5750,5580,5640,3573400,SSI,5090.0,5691.8,0
2020-04-14,5600,5660,5460,5660,3902110,SSI,5230.0,5678.6,0
2020-04-15,5710,5770,5660,5730,3075990,SSI,5373.0,5667.2,0
2020-04-16,5660,5820,5620,5730,2603060,SSI,5486.0,5656.2,0
2020-04-17,5790,5920,5770,5840,3936040,SSI,5579.0,5641.6,0
2020-04-20,5860,5920,5770,5880,3326260,SSI,5642.0,5627.8,1
2020-04-21,5710,5770,5460,5510,4437860,SSI,5668.0,5608.0,0
2020-04-22,5360,5770,5360,5710,3435210,SSI,5707.0,5593.0,0
2020-04-23,5790,5920,5710,5710,2594810,SSI,5712.0,5575.2,0
2020-04-24,5680,5730,5600,5680,1507530,SSI,5709.0,5558.2,0
2020-04-27,5730,5730,5600,5620,2112890,SSI,5707.0,5538.6,0
2020-04-28,5620,5620,5490,5560,2587110,SSI,5697.0,5519.0,0
2020-04-29,5580,5620,5540,5580,1454150,SSI,5682.0,5500.6,0
2020-05-04,5540,5580,5450,5450,2180310,SSI,5654.0,5479.0,0
2020-05-05,5450,5540,5410,5430,1667710,SSI,5613.0,5457.0,0
2020-05-06,5460,5580,5450,5560,1675700,SSI,5581.0,5439.0,0
2020-05-07,5560,5660,5540,5660,2332040,SSI,5596.0,5431.6,0
