time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,10100,10300,10000,10200,2914530,STB,,,0
2020-01-03,10250,10300,10150,10200,1975250,STB,,,0
2020-01-06,10100,10150,10000,10050,2302490,STB,,,0
2020-01-07,10050,10150,10000,10150,2154970,STB,,,0
2020-01-08,10050,10100,9970,9980,4490220,STB,,,0
2020-01-09,10100,10200,10050,10150,2443480,STB,,,0
2020-01-10,10150,10500,10150,10500,10754160,STB,,,0
2020-01-13,10500,10550,10300,10400,3390120,STB,,,0
2020-01-14,10400,10450,10300,10300,1811340,STB,,,0
2020-01-15,10300,10350,10200,10250,2479650,STB,10218.0,,0
2020-01-16,10300,10550,10300,10400,9556920,STB,10238.0,,0
2020-01-17,10450,10700,10400,10600,6094750,STB,10278.0,,0
2020-01-20,10500,10750,10500,10700,4135740,STB,10343.0,,0
2020-01-21,10700,11050,10700,10900,7604200,STB,10418.0,,0
2020-01-22,10900,10950,10750,10900,7030700,STB,10510.0,,0
2020-01-30,10800,10800,10200,10350,8264520,STB,10530.0,,0
2020-01-31,10300,10500,10200,10200,6261030,STB,10500.0,,0
2020-02-03,10000,10400,9820,10250,7105100,STB,10485.0,,0
2020-02-04,10250,10400,10100,10200,5433400,STB,10475.0,,0
2020-02-05,10350,10450,10250,10250,3967950,STB,10475.0,,0
2020-02-06,10300,10950,10300,10950,22697950,STB,10530.0,,0
2020-02-07,11000,11450,10950,11150,14963660,STB,10585.0,,0
2020-02-10,10900,11100,10800,10950,5335400,STB,10610.0,,0
2020-02-11,10950,11450,10900,11350,14652800,STB,10655.0,,0
2020-02-12,11400,11800,11400,11550,14679180,STB,10720.0,,0
2020-02-13,11500,11600,11300,11500,7807880,STB,10835.0,,0
2020-02-14,11550,11900,11450,11600,17826750,STB,10975.0,,0
2020-02-17,11650,11850,11500,11650,8914870,STB,11115.0,,0
2020-02-18,11650,11750,11350,11550,8502440,STB,11250.0,,0
2020-02-19,11400,11550,11300,11400,6823570,STB,11365.0,,0
2020-02-20,11500,11550,11200,11300,7140210,STB,11400.0,,0
2020-02-21,11250,11500,11200,11300,7650810,STB,11415.0,,0
2020-02-24,11000,11100,10750,10850,11765040,STB,11405.0,,0
2020-02-25,10700,11150,10700,11150,5669010,STB,11385.0,,0
2020-02-26,11000,11400,10950,11200,8381260,STB,11350.0,,0
2020-02-27,11300,11700,11150,11650,13069630,STB,11365.0,,0
2020-02-28,11350,11750,11350,11600,11942990,STB,11365.0,,0
2020-03-02,11800,12400,11750,12350,27550640,STB,11435.0,,0
2020-03-03,12600,12700,12150,12250,15552620,STB,11505.0,,0
2020-03-04,12200,12600,12100,12500,12163500,STB,11615.0,,0
2020-03-05,12650,12700,12200,12200,17517480,STB,11705.0,,0
2020-03-06,12100,12400,12100,12250,12062750,STB,11800.0,,0
2020-03-09,11500,11700,11400,11400,17015340,STB,11855.0,,0
2020-03-10,11000,11500,10850,11400,15319250,STB,11880.0,,0
2020-03-11,11450,11500,10650,10650,18789590,STB,11825.0,,0
2020-03-12,10000,10250,9930,9950,21362410,STB,11655.0,,0
2020-03-13,9300,10550,9280,10400,16337900,STB,11535.0,,0
2020-03-16,10400,10500,9800,9990,9159620,STB,11299.0,,0
2020-03-17,9900,10200,9560,10200,8611390,STB,11094.0,,0
2020-03-18,10400,10400,10000,10000,8306390,STB,10844.0,10903.4,0
2020-03-19,9900,9960,9600,9750,7516500,STB,10599.0,10894.4,0
2020-03-20,9810,9920,9740,9800,4889230,STB,10354.0,10886.4,0
2020-03-23,9300,9500,9120,9120,10633200,STB,10126.0,10867.8,0
2020-03-24,9120,9170,8800,8800,7815200,STB,9866.0,10840.8,0
2020-03-25,9150,9260,8900,9110,9894240,STB,9712.0,10823.4,0
2020-03-26,9110,9110,8700,8700,7221630,STB,9587.0,10794.4,0
2020-03-27,8750,8750,8210,8210,11651840,STB,9368.0,10748.6,0
2020-03-30,7700,7990,7640,7640,16130350,STB,9133.0,10693.4,0
2020-03-31,7860,7860,7120,7300,12191270,STB,8843.0,10633.4,0
2020-04-01,7200,7810,7200,7810,8807420,STB,8624.0,10584.6,0
