time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,11130,11270,11110,11240,1387610,TCB,,,0
2020-01-03,11290,11320,11170,11170,756700,TCB,,,0
2020-01-06,11060,11060,10890,10890,1162990,TCB,,,0
2020-01-07,10890,10960,10870,10960,1043300,TCB,,,0
2020-01-08,10770,10890,10680,10750,1710390,TCB,,,0
2020-01-09,10870,10910,10790,10890,2009840,TCB,,,0
2020-01-10,10870,11110,10870,10940,3679110,TCB,,,0
2020-01-13,10870,10940,10750,10840,892360,TCB,,,0
2020-01-14,10840,10890,10820,10820,1804950,TCB,,,0
2020-01-15,10820,10870,10770,10820,1929280,TCB,10932.0,,0
2020-01-16,10820,11040,10820,11010,4383720,TCB,10909.0,,0
2020-01-17,11060,11150,11010,11060,1875160,TCB,10898.0,,0
2020-01-20,11010,11080,10960,11040,2019730,TCB,10913.0,,0
2020-01-21,11080,11360,11060,11360,7458340,TCB,10953.0,,0
2020-01-22,11460,11460,11320,11440,2309150,TCB,11022.0,,0
2020-01-30,11110,11240,10750,10820,4013510,TCB,11015.0,,0
2020-01-31,10710,10820,10210,10210,6118460,TCB,10942.0,,0
2020-02-03,9680,10440,9620,10130,4258750,TCB,10871.0,,0
2020-02-04,10160,10350,10010,10280,2196570,TCB,10817.0,,0
2020-02-05,10390,10460,10180,10280,2433210,TCB,10763.0,,0
2020-02-06,10560,10610,10160,10560,2677150,TCB,10718.0,,0
2020-02-07,10560,10560,10350,10460,1965440,TCB,10658.0,,0
2020-02-10,10350,10390,10230,10330,1304360,TCB,10587.0,,0
2020-02-11,10330,10540,10330,10460,1353360,TCB,10497.0,,0
2020-02-12,10540,10840,10490,10710,3157240,TCB,10424.0,,0
2020-02-13,10660,10710,10580,10680,1823230,TCB,10410.0,,0
2020-02-14,10910,11060,10820,11010,4375740,TCB,10490.0,,0
2020-02-17,11060,11290,10990,11240,6393370,TCB,10601.0,,0
2020-02-18,11240,11390,11130,11190,4268770,TCB,10692.0,,0
2020-02-19,11150,11190,11080,11170,1980690,TCB,10781.0,,0
2020-02-20,11190,11290,11010,11110,2950950,TCB,10836.0,,0
2020-02-21,11060,11190,10910,10910,2959980,TCB,10881.0,,0
2020-02-24,10750,10750,10160,10160,7508070,TCB,10864.0,,0
2020-02-25,9930,10510,9830,10490,3236900,TCB,10867.0,,0
2020-02-26,10280,10630,10210,10560,2243500,TCB,10852.0,,0
2020-02-27,10560,10750,10490,10750,2324050,TCB,10859.0,,0
2020-02-28,10390,10580,10330,10510,2433150,TCB,10809.0,,0
2020-03-02,10580,10710,10440,10630,2567350,TCB,10748.0,,0
2020-03-03,10790,10870,10630,10630,2162150,TCB,10692.0,,0
2020-03-04,10560,10680,10490,10660,1936620,TCB,10641.0,,0
2020-03-05,10660,10790,10540,10540,2022250,TCB,10584.0,,0
2020-03-06,10490,10490,10300,10410,2247920,TCB,10534.0,,0
2020-03-09,9760,9930,9710,9710,4584600,TCB,10489.0,,0
2020-03-10,9630,9930,9500,9780,3161970,TCB,10418.0,,0
2020-03-11,9830,9900,9120,9120,5626550,TCB,10274.0,,0
2020-03-12,8500,8740,8490,8490,4054760,TCB,10048.0,,0
2020-03-13,7890,8770,7890,8620,4332700,TCB,9859.0,,0
2020-03-16,8620,8620,8119,8240,3645430,TCB,9620.0,,0
2020-03-17,8039,8490,7960,8490,3112070,TCB,9406.0,,0
2020-03-18,8550,8600,8370,8490,1908520,TCB,9189.0,10461.2,0
2020-03-19,8320,8410,8109,8150,2214980,TCB,8950.0,10399.4,0
2020-03-20,8240,8270,8109,8200,1878140,TCB,8729.0,10340.0,0
2020-03-23,7660,8039,7630,7630,3265510,TCB,8521.0,10274.8,0
2020-03-24,7790,7790,7560,7610,3209920,TCB,8304.0,10207.8,0
