time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,6260,6660,6240,6320,130120,TPB,,,0
2020-01-03,6320,6480,6320,6390,99170,TPB,,,0
2020-01-06,6360,6360,6240,6280,112640,TPB,,,0
2020-01-07,6280,6310,6260,6300,65060,TPB,,,0
2020-01-08,6300,6300,6210,6210,102880,TPB,,,0
2020-01-09,6210,6320,6210,6260,189800,TPB,,,0
2020-01-10,6260,6400,6260,6390,133980,TPB,,,0
2020-01-13,6390,6430,6360,6400,98460,TPB,,,0
2020-01-14,6400,6450,6400,6450,226240,TPB,,,0
2020-01-15,6450,6460,6260,6460,46350,TPB,6346.0,,0
2020-01-16,6460,6570,6460,6510,383350,TPB,6365.0,,0
2020-01-17,6590,6590,6400,6400,37830,TPB,6366.0,,0
2020-01-20,6400,6460,5960,6390,78000,TPB,6377.0,,0
2020-01-21,6210,6410,6210,6390,122920,TPB,6386.0,,0
2020-01-22,6300,6400,6300,6390,45070,TPB,6404.0,,0
2020-01-30,6310,6360,6260,6360,103000,TPB,6414.0,,0
2020-01-31,6260,6360,5940,6210,89490,TPB,6396.0,,0
2020-02-03,5820,6160,5800,6160,173210,TPB,6372.0,,0
2020-02-04,6240,6260,6090,6240,14600,TPB,6351.0,,0
2020-02-05,6200,6260,6200,6260,28510,TPB,6331.0,,0
2020-02-06,6360,6390,6210,6360,77450,TPB,6316.0,,0
2020-02-07,6260,6340,6180,6180,78430,TPB,6294.0,,0
2020-02-10,6260,6260,6150,6210,71850,TPB,6276.0,,0
2020-02-11,6210,6260,6180,6240,43150,TPB,6261.0,,0
2020-02-12,6240,6300,6240,6260,90120,TPB,6248.0,,0
2020-02-13,6260,6300,6220,6260,113750,TPB,6238.0,,0
2020-02-14,6260,6510,6260,6480,294880,TPB,6265.0,,0
2020-02-17,6510,6530,6390,6480,207270,TPB,6297.0,,0
2020-02-18,6480,6500,6390,6480,111000,TPB,6321.0,,0
2020-02-19,6450,6450,6320,6320,124780,TPB,6327.0,,0
2020-02-20,6360,6370,6340,6360,145520,TPB,6327.0,,0
2020-02-21,6340,6370,6300,6320,90300,TPB,6341.0,,0
2020-02-24,6090,6240,6020,6020,161490,TPB,6322.0,,0
2020-02-25,5840,6220,5840,6220,27270,TPB,6320.0,,0
2020-02-26,6210,6210,6090,6160,41910,TPB,6310.0,,0
2020-02-27,6160,6450,6090,6370,271110,TPB,6321.0,,0
2020-02-28,6320,6370,6240,6360,156510,TPB,6309.0,,0
2020-03-02,6370,6390,6260,6340,99240,TPB,6295.0,,0
2020-03-03,6390,6460,6340,6360,254330,TPB,6283.0,,0
2020-03-04,6460,6590,6340,6510,671700,TPB,6302.0,,0
2020-03-05,6620,6620,6510,6540,310620,TPB,6320.0,,0
2020-03-06,6510,6540,6430,6540,233160,TPB,6342.0,,0
2020-03-09,6090,6240,6090,6090,438780,TPB,6349.0,,0
2020-03-10,5750,6240,5750,6240,242330,TPB,6351.0,,0
2020-03-11,6240,6240,5840,6240,154120,TPB,6359.0,,0
2020-03-12,6030,6060,5810,6030,610480,TPB,6325.0,,0
2020-03-13,5610,6060,5610,5840,281610,TPB,6273.0,,0
2020-03-16,5840,6080,5840,6080,563900,TPB,6247.0,,0
2020-03-17,6030,6240,5840,6240,269620,TPB,6235.0,,0
2020-03-18,6240,6320,6200,6320,558100,TPB,6216.0,6304.4,0
2020-03-19,6310,6320,6180,6320,503440,TPB,6194.0,6304.4,0
2020-03-20,6200,6510,6200,6510,1064230,TPB,6191.0,6306.8,0
