time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,38970,39480,38750,39220,386290,VCB,,,0
2020-01-03,39520,39660,38840,38840,536130,VCB,,,0
2020-01-06,38540,38660,37790,37790,880110,VCB,,,0
2020-01-07,37580,37970,36890,37920,1013270,VCB,,,0
2020-01-08,37540,37970,37240,37580,722280,VCB,,,0
2020-01-09,37880,38400,37880,38320,722670,VCB,,,0
2020-01-10,38320,39050,37970,38660,1526920,VCB,,,0
2020-01-13,38450,38800,38450,38620,1044640,VCB,,,0
2020-01-14,38660,38880,38490,38620,1001130,VCB,,,0
2020-01-15,38710,38710,38360,38580,1471860,VCB,38415.0,,0
2020-01-16,38580,39010,38400,38660,1171580,VCB,38359.0,,0
2020-01-17,38660,40820,38660,40820,2219790,VCB,38557.0,,0
2020-01-20,40820,40950,40390,40600,832190,VCB,38838.0,,0
2020-01-21,40560,40860,40430,40600,749590,VCB,39106.0,,0
2020-01-22,40600,41040,40220,40350,877710,VCB,39383.0,,0
2020-01-30,39780,39920,37580,38400,3541560,VCB,39391.0,,0
2020-01-31,38010,38800,37880,38320,1270160,VCB,39357.0,,0
2020-02-03,36330,38970,35850,38320,1457070,VCB,39327.0,,0
2020-02-04,38450,38800,37880,38800,1118410,VCB,39345.0,,0
2020-02-05,38970,39050,38360,38400,731310,VCB,39327.0,,0
2020-02-06,38620,39260,38360,38620,889570,VCB,39323.0,,0
2020-02-07,38800,39220,38450,38880,1170540,VCB,39129.0,,0
2020-02-10,38540,38660,38230,38400,607060,VCB,38909.0,,0
2020-02-11,38450,38660,38400,38540,520210,VCB,38703.0,,0
2020-02-12,38800,38800,38490,38620,609750,VCB,38530.0,,0
2020-02-13,38540,38660,38360,38580,633270,VCB,38548.0,,0
2020-02-14,38450,38800,38450,38580,432800,VCB,38574.0,,0
2020-02-17,38580,38840,38490,38620,343900,VCB,38604.0,,0
2020-02-18,38710,38710,38450,38620,432880,VCB,38586.0,,0
2020-02-19,38450,38660,38450,38660,264010,VCB,38612.0,,0
2020-02-20,38750,39050,38540,38660,541120,VCB,38616.0,,0
2020-02-21,38660,38660,38450,38450,898350,VCB,38573.0,,0
2020-02-24,37150,38010,37150,37670,995910,VCB,38500.0,,0
2020-02-25,37150,37580,37060,37240,1229530,VCB,38370.0,,0
2020-02-26,37150,37150,36290,36710,1163030,VCB,38179.0,,0
2020-02-27,36290,36540,35810,36290,1227980,VCB,37950.0,,0
2020-02-28,34610,36030,34610,35590,1710080,VCB,37651.0,,0
2020-03-02,35200,35510,35120,35330,668980,VCB,37322.0,,0
2020-03-03,36070,36070,35510,35510,848270,VCB,37011.0,,0
2020-03-04,35420,35420,34980,35290,581530,VCB,36674.0,,0
2020-03-05,35510,36110,35510,35900,833710,VCB,36398.0,,0
2020-03-06,35850,37020,35420,36500,884750,VCB,36203.0,,0
2020-03-09,34120,34940,33950,33950,1209500,VCB,35831.0,,0
2020-03-10,33690,34520,32570,34520,1433230,VCB,35559.0,,0
2020-03-11,34730,34730,32140,33270,1806190,VCB,35215.0,,0
2020-03-12,31100,31540,30970,30970,1582400,VCB,34683.0,,0
2020-03-13,28810,31540,28810,30680,1859750,VCB,34192.0,,0
2020-03-16,30680,30680,28730,28990,1022550,VCB,33558.0,,0
2020-03-17,27470,29160,27470,29160,1364590,VCB,32923.0,,0
2020-03-18,29380,30540,29380,29930,1099800,VCB,32387.0,37083.0,0
2020-03-19,29070,29670,28510,28510,1191150,VCB,31648.0,36868.8,0
2020-03-20,28510,28640,26570,26570,2763360,VCB,30655.0,36623.4,0
2020-03-23,24880,25270,24710,24710,1875070,VCB,29731.0,36361.8,0
2020-03-24,24710,25230,24450,25060,1498070,VCB,28785.0,36104.6,0
2020-03-25,25920,26780,25790,26780,1835730,VCB,28136.0,35888.6,0
2020-03-26,26780,27950,26570,27300,1484590,VCB,27769.0,35668.2,0
2020-03-27,27350,28470,27000,27690,1569620,VCB,27470.0,35448.8,0
2020-03-30,25960,26530,25830,26350,1637330,VCB,27206.0,35203.4,0
2020-03-31,26570,27690,25920,26780,957500,VCB,26968.0,34966.6,0
2020-04-01,26570,28470,26570,28080,1229320,VCB,26783.0,34756.6,0
2020-04-03,28080,28640,27650,28290,1726690,VCB,26761.0,34549.2,0
2020-04-06,29160,29500,28510,29380,2111200,VCB,27042.0,34320.4,0
2020-04-07,29380,29810,28850,29450,1773570,VCB,27516.0,34097.4,0
2020-04-08,28940,29450,28850,29160,1778380,VCB,27926.0,33868.6,0
2020-04-09,29380,31100,29380,30680,1795170,VCB,28316.0,33675.2,0
2020-04-10,30680,31050,30070,30500,1599380,VCB,28636.0,33517.2,0
2020-04-13,30500,31010,30240,30590,1046830,VCB,28926.0,33362.6,0
2020-04-14,30460,30590,29290,30190,1944570,VCB,29310.0,33200.0,0
2020-04-15,30110,30800,30110,30630,1017740,VCB,29695.0,33036.6,0
