time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,62310,63040,62310,62600,238600,VHM,,,0
2020-01-03,62600,62970,62380,62820,394470,VHM,,,0
2020-01-06,62380,62670,61050,61500,1025270,VHM,,,0
2020-01-07,61200,62530,61200,61790,590360,VHM,,,0
2020-01-08,61200,61570,59730,60830,553690,VHM,,,0
2020-01-09,61500,61720,61130,61420,421250,VHM,,,0
2020-01-10,61420,62600,60980,62310,699780,VHM,,,0
2020-01-13,62530,64000,62310,63630,882160,VHM,,,0
2020-01-14,63560,64000,63490,63630,361600,VHM,,,0
2020-01-15,63780,63780,63260,63630,420650,VHM,62416.0,,0
2020-01-16,63710,63710,63340,63490,441860,VHM,62505.0,,0
2020-01-17,63560,64810,63410,63410,552190,VHM,62564.0,,0
2020-01-20,63410,63710,63190,63410,711830,VHM,62755.0,,0
2020-01-21,63410,64519,63410,64519,653680,VHM,63027.9,,0
2020-01-22,64440,65990,64370,65920,673070,VHM,63536.9,,0
2020-01-30,64300,64739,63260,64440,1414000,VHM,63838.9,,0
2020-01-31,64519,65260,64220,64519,1284370,VHM,64059.8,,0
2020-02-03,61350,63340,60460,62820,755310,VHM,63978.8,,0
2020-02-04,62820,63780,62670,63190,829790,VHM,63934.8,,0
2020-02-05,64000,64000,62970,63410,2410370,VHM,63912.8,,0
2020-02-06,64000,64150,63410,64000,484420,VHM,63963.8,,0
2020-02-07,64080,64739,64000,64150,587610,VHM,64037.8,,0
2020-02-10,63490,63930,63260,63560,373600,VHM,64052.8,,0
2020-02-11,63410,63710,63040,63560,602090,VHM,63956.9,,0
2020-02-12,63930,63930,63560,63780,395320,VHM,63742.9,,0
2020-02-13,63560,63710,63040,63410,421050,VHM,63639.9,,0
2020-02-14,63040,65330,63040,64590,481520,VHM,63647.0,,0
2020-02-17,64890,64890,63780,63930,164600,VHM,63758.0,,0
2020-02-18,63850,64150,63120,63410,323870,VHM,63780.0,,0
2020-02-19,63120,63780,62820,63410,514110,VHM,63780.0,,0
2020-02-20,63780,64370,63340,64080,271380,VHM,63788.0,,0
2020-02-21,63780,64080,63410,63490,184170,VHM,63722.0,,0
2020-02-24,61420,62750,61420,61940,619380,VHM,63560.0,,0
2020-02-25,60680,61790,59730,61270,410300,VHM,63331.0,,0
2020-02-26,61200,61200,59210,59650,651880,VHM,62918.0,,0
2020-02-27,58910,59730,58250,59580,1280250,VHM,62535.0,,0
2020-02-28,57880,59280,57880,59280,860760,VHM,62004.0,,0
2020-03-02,58320,59430,58250,59360,447980,VHM,61547.0,,0
2020-03-03,59360,59800,59140,59360,742520,VHM,61142.0,,0
2020-03-04,58320,59360,58180,59360,901070,VHM,60737.0,,0
2020-03-05,59060,60090,59060,59730,361110,VHM,60302.0,,0
2020-03-06,58990,59650,58250,59650,339740,VHM,59918.0,,0
2020-03-09,57960,57960,55520,55520,973190,VHM,59276.0,,0
2020-03-10,52350,56410,52350,56410,1050110,VHM,58790.0,,0
2020-03-11,56410,56630,52500,56410,932900,VHM,58466.0,,0
2020-03-12,55670,55670,52500,53090,1161120,VHM,57817.0,,0
2020-03-13,49400,53090,49400,53090,1337180,VHM,57198.0,,0
2020-03-16,52350,52940,49770,52940,968810,VHM,56556.0,,0
2020-03-17,49770,52650,49770,51540,1095460,VHM,55774.0,,0
2020-03-18,51390,51840,49770,51250,1707750,VHM,54963.0,61161.76,0
2020-03-19,49620,51100,47930,50510,1482170,VHM,54041.0,60919.96,0
2020-03-20,50510,50510,47040,47040,1351550,VHM,52780.0,60604.36,0
2020-03-23,44240,45720,43800,43800,198200,VHM,51608.0,60250.36,0
2020-03-24,40850,43060,40780,40780,2036510,VHM,50045.0,59830.16,0
2020-03-25,42030,43580,39820,43580,1832290,VHM,48762.0,59485.16,0
2020-03-26,43580,46450,42180,44980,2020820,VHM,47951.0,59156.36,0
2020-03-27,44240,45270,43140,44240,710770,VHM,47066.0,58794.96,0
2020-03-30,41140,42030,41140,41140,929820,VHM,45886.0,58345.16,0
2020-03-31,41140,42690,38340,40550,661010,VHM,44787.0,57883.56,0
2020-04-01,39230,42250,39230,40410,553900,VHM,43703.0,57419.16,0
2020-04-03,41440,42550,40700,42550,940470,VHM,42907.0,57000.36,0
2020-04-06,44240,45490,43210,45490,534020,VHM,42752.0,56641.96,0
2020-04-07,48300,48670,45790,48670,902670,VHM,43239.0,56347.16,0
2020-04-08,47560,51610,47190,51610,950920,VHM,44322.0,56088.98,0
2020-04-09,51610,52280,50730,50880,854470,VHM,45052.0,55788.18,0
2020-04-10,50510,51020,49400,49480,513310,VHM,45502.0,55488.98,0
2020-04-13,50140,51250,49480,49620,449470,VHM,46040.0,55191.0,0
2020-04-14,50140,50800,49030,50140,642490,VHM,46940.0,54937.4,0
2020-04-15,50430,50880,49770,49990,533620,VHM,47884.0,54673.4,0
2020-04-16,49840,50290,49260,49770,670940,VHM,48820.0,54400.6,0
2020-04-17,49770,51020,49770,50510,734070,VHM,49616.0,54130.8,0
2020-04-20,51170,51170,50140,50510,512370,VHM,50118.0,53858.0,0
2020-04-21,50140,50360,48740,50140,1213590,VHM,50265.0,53589.6,0
2020-04-22,48080,50140,48080,48220,1303590,VHM,49926.0,53282.8,0
2020-04-23,49400,49700,48370,49110,1093030,VHM,49749.0,52989.4,0
2020-04-24,49110,49260,47410,47930,2147870,VHM,49594.0,52679.8,0
2020-04-27,48300,49330,47190,47560,1235530,VHM,49388.0,52339.2,0
2020-04-28,49400,50510,47560,47630,3631100,VHM,49137.0,52013.2,0
2020-04-29,46900,47930,46670,46900,2701200,VHM,48828.0,51683.0,0
2020-05-04,46900,47850,46900,47850,1577040,VHM,48636.0,51371.8,0
2020-05-05,47710,48300,46750,46900,2397120,VHM,48275.0,51028.2,0
2020-05-06,46900,49770,46750,49400,4286630,VHM,48164.0,50746.4,0
2020-05-07,49770,50140,48810,49840,1474450,VHM,48134.0,50504.4,0
2020-05-08,50140,53310,49990,52280,3635800,VHM,48540.0,50324.6,0
2020-05-11,54200,54490,52200,54200,2792640,VHM,49049.0,50215.6,0
2020-05-12,54050,54490,53090,54200,1769100,VHM,49676.0,50108.0,0
2020-05-13,53530,53830,52280,52650,3373310,VHM,50185.0,49975.4,1
2020-05-14,52280,52650,51910,52060,2268270,VHM,50628.0,49829.4,0
2020-05-15,52350,53090,51980,52790,1556450,VHM,51217.0,49698.0,0
2020-05-18,52570,53530,52280,53020,1656080,VHM,51734.0,49571.2,0
2020-05-19,53830,55080,53310,53970,3688710,VHM,52441.0,49456.0,0
2020-05-20,53750,56850,53680,56850,4298310,VHM,53186.0,49400.0,0
2020-05-21,57140,57880,56630,57510,2266430,VHM,53953.0,49439.8,0
2020-05-22,56780,57070,55740,56410,2154460,VHM,54366.0,49439.8,0
2020-05-25,56330,57880,55150,56630,4664450,VHM,54609.0,49444.2,0
2020-05-26,57140,57440,56330,56330,2996560,VHM,54822.0,49509.0,0
2020-05-27,56410,57220,55010,55080,3769070,VHM,55065.0,49548.8,0
2020-05-28,55230,56040,54860,55300,4347270,VHM,55389.0,49596.0,0
2020-05-29,55740,56850,55670,56480,3942120,VHM,55758.0,49694.8,0
2020-06-01,57070,58620,57000,58320,3254070,VHM,56288.0,49836.2,0
2020-06-02,58320,58400,57290,57370,2635920,VHM,56628.0,49973.4,0
2020-06-03,57510,57730,57070,57440,2655470,VHM,56687.0,50181.4,0
2020-06-04,57510,58030,56780,57140,3127800,VHM,56650.0,50448.2,0
2020-06-05,56850,57440,56480,57000,2191420,VHM,56709.0,50772.6,0
2020-06-08,57510,58030,57140,57370,2663380,VHM,56783.0,51048.4,0
2020-06-09,57510,58030,57070,57220,2837400,VHM,56872.0,51293.2,0
2020-06-10,57220,57370,56700,57140,3218980,VHM,57078.0,51551.2,0
2020-06-11,57140,57960,56410,56410,5714800,VHM,57189.0,51856.6,0
2020-06-12,54200,55740,54200,55300,3152190,VHM,57071.0,52151.6,0
2020-06-15,55740,55820,51610,51610,3356780,VHM,56400.0,52375.6,0
2020-06-16,53680,55230,53160,55230,3077090,VHM,56186.0,52629.2,0
