time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,4620,4670,4620,4670,371400,VIB,,,0
2020-01-03,4670,4700,4650,4650,391030,VIB,,,0
2020-01-06,4650,4650,4570,4570,359794,VIB,,,0
2020-01-07,4570,4590,4570,4570,114862,VIB,,,0
2020-01-08,4570,4570,4500,4500,516075,VIB,,,0
2020-01-09,4500,4590,4500,4520,559354,VIB,,,0
2020-01-10,4560,4570,4500,4520,720409,VIB,,,0
2020-01-13,4560,4620,4520,4590,527921,VIB,,,0
2020-01-14,4570,4650,4570,4650,359137,VIB,,,0
2020-01-15,4650,4650,4590,4590,379187,VIB,4583.0,,0
2020-01-16,4590,4700,4590,4650,690910,VIB,4581.0,,0
2020-01-17,4650,4730,4590,4620,805973,VIB,4578.0,,0
2020-01-20,4620,4980,4590,4650,1253362,VIB,4586.0,,0
2020-01-21,4670,4760,4670,4730,1106015,VIB,4602.0,,0
2020-01-22,4730,4760,4670,4730,584350,VIB,4625.0,,0
2020-01-30,4700,4700,4570,4590,848096,VIB,4632.0,,0
2020-01-31,4590,4590,4520,4560,988717,VIB,4636.0,,0
2020-02-03,4470,4560,4390,4560,1299169,VIB,4633.0,,0
2020-02-04,4560,4570,4470,4570,712734,VIB,4625.0,,0
2020-02-05,4570,4650,4570,4590,742628,VIB,4625.0,,0
2020-02-06,4620,4700,4570,4700,760378,VIB,4630.0,,0
2020-02-07,4670,4670,4620,4650,360258,VIB,4633.0,,0
2020-02-10,4650,4650,4520,4520,743200,VIB,4620.0,,0
2020-02-11,4570,4590,4560,4590,491576,VIB,4606.0,,0
2020-02-12,4570,4700,4570,4650,653767,VIB,4598.0,,0
2020-02-13,4650,4910,4620,4850,3715862,VIB,4624.0,,0
2020-02-14,4830,4970,4790,4890,1963866,VIB,4657.0,,0
2020-02-17,4910,4940,4850,4860,973460,VIB,4687.0,,0
2020-02-18,4860,4890,4860,4760,1518563,VIB,4706.0,,0
2020-02-19,4790,4830,4760,4830,992359,VIB,4730.0,,0
2020-02-20,4830,4890,4790,4860,597245,VIB,4746.0,,0
2020-02-21,4850,5120,4850,5000,4777915,VIB,4781.0,,0
2020-02-24,5000,5000,4700,4760,2291673,VIB,4805.0,,0
2020-02-25,4670,4850,4620,4790,1761731,VIB,4825.0,,0
2020-02-26,4730,4790,4590,4730,1730855,VIB,4833.0,,0
2020-02-27,4730,4910,4700,4890,1355949,VIB,4837.0,,0
2020-02-28,4850,4860,4760,4830,1909126,VIB,4831.0,,0
2020-03-02,4790,4890,4730,4860,1282104,VIB,4831.0,,0
2020-03-03,4860,4970,4860,4860,1753520,VIB,4841.0,,0
2020-03-04,4860,4890,4850,4890,717445,VIB,4847.0,,0
2020-03-05,4890,4970,4830,4850,1430847,VIB,4846.0,,0
2020-03-06,4890,4890,4760,4850,878862,VIB,4831.0,,0
2020-03-09,4760,4760,4059,4290,5896152,VIB,4784.0,,0
2020-03-10,4260,4570,4230,4560,2161508,VIB,4761.0,,0
2020-03-11,4570,4570,4230,4410,2299550,VIB,4729.0,,0
2020-03-12,4290,4330,4030,4160,2366087,VIB,4656.0,,0
2020-03-13,3990,4230,3820,4090,2739933,VIB,4582.0,,0
2020-03-16,4120,4150,3970,4019,1053796,VIB,4497.9,,0
2020-03-17,3990,4030,3430,3990,1369993,VIB,4410.9,,0
2020-03-18,3970,4059,3970,3990,609580,VIB,4320.9,4621.18,0
2020-03-19,3990,4260,3860,3910,764288,VIB,4226.9,4605.98,0
2020-03-20,3910,3970,3880,3910,324349,VIB,4132.9,4591.18,0
2020-03-23,3880,3910,3430,3470,1989844,VIB,4050.9,4569.18,0
2020-03-24,3540,3620,3460,3620,807017,VIB,3956.9,4550.18,0
2020-03-25,3670,3880,3650,3860,1192400,VIB,3901.9,4537.38,0
2020-03-26,3760,3880,3650,3670,648007,VIB,3852.9,4520.38,0
2020-03-27,3620,3740,3620,3650,310649,VIB,3808.9,4502.98,0
2020-03-30,3460,3620,3300,3380,900039,VIB,3745.0,4478.78,0
2020-03-31,3430,3540,3320,3410,925612,VIB,3687.0,4453.98,0
2020-04-01,3430,3540,3410,3500,294770,VIB,3638.0,4432.18,0
2020-04-03,3500,3620,3470,3590,795050,VIB,3606.0,4410.98,0
2020-04-06,3590,3820,3590,3800,1020978,VIB,3595.0,4394.58,0
2020-04-07,3820,3910,3730,3800,650240,VIB,3628.0,4377.58,0
2020-04-08,3800,3800,3700,3740,592808,VIB,3640.0,4357.78,0
2020-04-09,3760,3820,3740,3820,1074312,VIB,3636.0,4339.58,0
2020-04-10,3820,3820,3740,3760,612012,VIB,3645.0,4322.98,0
2020-04-13,3760,3860,3730,3760,551333,VIB,3656.0,4306.98,0
2020-04-14,3800,3860,3740,3760,576043,VIB,3694.0,4290.98,0
2020-04-15,3800,3990,3800,3880,2079760,VIB,3741.0,4277.18,0
2020-04-16,3910,3930,3820,3910,488261,VIB,3782.0,4263.58,0
2020-04-17,3910,4290,3910,3910,1244355,VIB,3814.0,4247.78,0
2020-04-20,3970,4059,3910,3930,1312060,VIB,3827.0,4233.38,0
2020-04-21,3990,4030,3760,3820,1196775,VIB,3829.0,4219.38,0
2020-04-22,3760,3910,3700,3860,928810,VIB,3841.0,4204.78,0
2020-04-23,3860,3970,3860,3860,353550,VIB,3845.0,4188.98,0
2020-04-24,3860,3880,3820,3820,363171,VIB,3851.0,4168.38,0
2020-04-27,3820,3880,3760,3820,466516,VIB,3857.0,4146.98,0
2020-04-28,3820,3860,3760,3860,385960,VIB,3867.0,4126.98,0
2020-04-29,3860,3880,3820,3860,418833,VIB,3865.0,4108.98,0
2020-05-04,3860,3860,3800,3800,350874,VIB,3854.0,4088.38,0
2020-05-05,3800,3820,3760,3800,207333,VIB,3843.0,4067.18,0
2020-05-06,3800,3880,3800,3820,527580,VIB,3832.0,4043.58,0
2020-05-07,3800,3880,3800,3860,339828,VIB,3836.0,4025.58,0
2020-05-08,3860,4019,3860,3930,1165615,VIB,3843.0,4008.38,0
2020-05-11,3930,4059,3910,4059,1287559,VIB,3862.9,3994.96,0
2020-05-12,4059,4090,3990,4090,980524,VIB,3889.9,3978.96,0
2020-05-13,4030,4120,3470,4059,619390,VIB,3913.8,3963.54,0
2020-05-14,4059,4059,4019,4030,822910,VIB,3930.8,3946.94,0
2020-05-15,4030,4059,3970,3990,572365,VIB,3943.8,3929.54,1
2020-05-18,3990,4590,3430,4019,501442,VIB,3965.7,3912.12,0
2020-05-19,4030,4120,4030,4059,1086727,VIB,3991.6,3896.3,0
2020-05-20,4059,4059,4019,4019,783043,VIB,4011.5,3879.68,0
2020-05-21,4030,4590,3460,4090,887025,VIB,4034.5,3875.68,0
2020-05-22,4090,4260,4059,4150,1648500,VIB,4056.5,3867.48,0
2020-05-25,4210,4290,3540,4260,1546574,VIB,4076.6,3864.48,0
2020-05-26,4260,4850,3820,4360,949626,VIB,4103.6,3868.48,0
2020-05-27,4360,4410,4290,4290,2058493,VIB,4126.7,3872.48,0
2020-05-28,4290,4330,4260,4290,912036,VIB,4152.7,3877.9,0
2020-05-29,4290,4360,4290,4330,654976,VIB,4186.7,3884.7,0
2020-06-01,4330,4560,3700,4500,2093625,VIB,4234.8,3894.9,0
2020-06-02,4500,4570,4440,4520,992502,VIB,4280.9,3907.1,0
2020-06-03,4520,4700,4520,4700,2254645,VIB,4349.0,3922.9,0
2020-06-04,4670,4790,4670,4700,1346102,VIB,4410.0,3947.5,0
2020-06-05,4700,4730,4620,4670,1715045,VIB,4462.0,3968.5,0
2020-06-08,4670,4790,4650,4760,1170012,VIB,4512.0,3986.5,0
2020-06-09,4730,4790,4670,4790,1939347,VIB,4555.0,4008.9,0
2020-06-10,4760,4760,4650,4730,1027828,VIB,4599.0,4030.5,0
2020-06-11,4700,4790,4470,4520,2450732,VIB,4622.0,4053.3,0
2020-06-12,4390,4650,4390,4590,1346718,VIB,4648.0,4076.9,0
2020-06-15,4590,4620,4440,4500,894516,VIB,4648.0,4096.9,0
2020-06-16,4520,5170,4500,4570,910998,VIB,4653.0,4116.5,0
2020-06-17,4590,4590,4520,4560,508649,VIB,4639.0,4131.7,0
2020-06-18,4560,4590,4520,4590,216642,VIB,4628.0,4147.5,0
2020-06-19,4560,4670,4560,4650,379358,VIB,4626.0,4165.7,0
2020-06-22,4670,4670,4620,4650,452918,VIB,4615.0,4182.3,0
2020-06-23,4650,4670,4510,4650,497628,VIB,4601.0,4200.1,0
2020-06-24,4650,4730,4620,4670,613284,VIB,4595.0,4218.3,0
2020-06-25,4570,4730,4570,4730,795653,VIB,4616.0,4237.7,0
2020-06-26,4730,4730,4650,4670,444060,VIB,4624.0,4253.5,0
2020-06-29,4670,4670,4570,4620,695034,VIB,4636.0,4267.7,0
2020-06-30,4650,4700,4570,4620,505813,VIB,4641.0,4281.9,0
2020-07-01,4650,4700,4620,4700,504327,VIB,4655.0,4297.3,0
2020-07-02,4700,4730,4650,4700,1319895,VIB,4666.0,4314.9,0
2020-07-03,4730,4730,4700,4700,440727,VIB,4671.0,4331.7,0
2020-07-06,4700,4730,4650,4700,725536,VIB,4676.0,4348.5,0
2020-07-07,4730,4760,4700,4730,700953,VIB,4684.0,4366.7,0
2020-07-08,4730,4970,4700,4890,1859618,VIB,4706.0,4388.1,0
2020-07-09,4890,5060,4120,5000,1546175,VIB,4733.0,4410.9,0
2020-07-10,5000,5000,4860,4910,1130622,VIB,4757.0,4431.9,0
2020-07-13,4910,5000,4860,4890,609791,VIB,4784.0,4453.7,0
2020-07-14,4890,5650,4210,4890,366626,VIB,4811.0,4475.5,0
2020-07-15,4910,5120,4890,5060,2018401,VIB,4847.0,4500.3,0
2020-07-16,5060,5230,5060,5170,1977932,VIB,4894.0,4526.5,0
2020-07-17,5210,5950,5130,5210,960045,VIB,4945.0,4552.1,0
2020-07-20,5210,5290,4410,5260,1786914,VIB,5001.0,4576.12,0
2020-07-21,5230,5380,5230,5380,1561773,VIB,5066.0,4601.92,0
2020-07-22,5410,5520,5380,5440,1767643,VIB,5121.0,4629.54,0
2020-07-23,5440,6260,5320,5410,1273565,VIB,5162.0,4657.14,0
2020-07-24,5410,6110,5020,5130,3268484,VIB,5184.0,4679.94,0
2020-07-27,5060,5060,4650,4700,3379143,VIB,5165.0,4693.56,0
2020-07-28,4730,5000,4700,4940,1486515,VIB,5170.0,4711.18,0
2020-07-29,4940,4940,4520,4650,1347306,VIB,5129.0,4723.8,0
2020-07-30,4650,4790,4650,4700,1069882,VIB,5082.0,4736.0,0
2020-07-31,4650,4860,4590,4790,955484,VIB,5040.0,4748.8,0
2020-08-03,4830,5020,4260,5020,1716060,VIB,5016.0,4764.0,0
2020-08-04,5020,5150,4520,5060,1205530,VIB,4984.0,4778.0,0
2020-08-05,5060,5130,5020,5090,772175,VIB,4949.0,4794.0,0
2020-08-06,5320,5850,5090,5170,1657359,VIB,4925.0,4811.6,0
2020-08-07,5320,5320,5130,5150,700448,VIB,4927.0,4828.0,0
2020-08-10,5150,5320,5150,5230,1232135,VIB,4980.0,4842.6,0
2020-08-11,5260,5410,5230,5380,1816914,VIB,5024.0,4859.8,0
2020-08-12,5380,5560,5380,5500,2908268,VIB,5109.0,4875.8,0
2020-08-13,5470,5620,5470,5520,1569494,VIB,5191.0,4892.2,0
2020-08-14,5520,5520,5410,5410,1288597,VIB,5253.0,4907.0,0
2020-08-17,5440,5500,5380,5470,480014,VIB,5298.0,4921.2,0
2020-08-18,5470,5650,5410,5560,1520983,VIB,5348.0,4936.6,0
2020-08-19,5560,5620,5520,5560,930177,VIB,5395.0,4953.2,0
2020-08-20,5560,5670,5520,5560,1394638,VIB,5434.0,4974.0,0
2020-08-21,5560,5670,5560,5650,927842,VIB,5484.0,4995.2,0
2020-08-24,5620,5700,5620,5680,1997809,VIB,5529.0,5018.8,0
2020-08-25,5740,5880,5700,5800,4105763,VIB,5571.0,5043.4,0
2020-08-26,5800,6020,5800,5920,1749787,VIB,5613.0,5070.6,0
2020-08-27,5920,6000,5920,6000,1062067,VIB,5661.0,5098.8,0
2020-08-28,6020,6020,5950,6000,1382505,VIB,5720.0,5125.8,0
2020-08-31,6000,6060,5800,5850,2777800,VIB,5758.0,5149.8,0
2020-09-01,5850,5920,5800,5880,572944,VIB,5790.0,5174.4,0
