time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,102121,102210,101321,102210,440280,VIC,,,0
2020-01-03,102210,102477,101588,102477,248940,VIC,,,0
2020-01-06,102210,102210,101677,101766,301910,VIC,,,0
2020-01-07,101766,102210,101588,101943,183910,VIC,,,0
2020-01-08,101766,101943,100966,101588,468910,VIC,,,0
2020-01-09,101588,102299,101499,101943,273870,VIC,,,0
2020-01-10,102210,102210,101943,102032,159120,VIC,,,0
2020-01-13,101943,102299,101766,102121,146680,VIC,,,0
2020-01-14,102121,102299,101588,102210,101150,VIC,,,0
2020-01-15,102210,102210,101588,102210,205600,VIC,102050.0,,0
2020-01-16,102210,102299,101588,102210,186740,VIC,102050.0,,0
2020-01-17,102121,102299,101677,102121,169100,VIC,102014.4,,0
2020-01-20,102121,102121,101588,102121,370670,VIC,102049.9,,0
2020-01-21,101588,102210,101588,102121,181510,VIC,102067.7,,0
2020-01-22,102121,102121,101499,102121,371780,VIC,102121.0,,0
2020-01-30,101410,102121,99633,102121,682720,VIC,102138.8,,0
2020-01-31,102121,102121,100966,102032,831740,VIC,102138.8,,0
2020-02-03,101144,102032,99810,102032,760420,VIC,102129.9,,0
2020-02-04,100966,102032,99366,102032,1485500,VIC,102112.1,,0
2020-02-05,102032,102032,100433,101766,468420,VIC,102067.7,,0
2020-02-06,101677,101943,100255,101677,676290,VIC,102014.4,,0
2020-02-07,101321,101677,99544,101677,1295520,VIC,101970.0,,0
2020-02-10,100433,101410,100433,101055,192700,VIC,101863.4,,0
2020-02-11,100877,101499,100433,100788,290630,VIC,101730.1,,0
2020-02-12,100788,100788,99544,99544,452790,VIC,101472.4,,0
2020-02-13,99099,100166,99010,99899,285340,VIC,101250.2,,0
2020-02-14,99810,100077,97766,97766,252390,VIC,100823.6,,0
2020-02-17,97766,97766,93322,95989,742220,VIC,100219.3,,0
2020-02-18,95100,95100,92433,92878,791870,VIC,99303.9,,0
2020-02-19,91989,95100,91989,93322,875320,VIC,98459.5,,0
2020-02-20,94211,97766,93322,97766,353570,VIC,98068.4,,0
2020-02-21,96522,97766,95811,97677,309060,VIC,97668.4,,0
2020-02-24,95189,95989,93767,95366,1428650,VIC,97099.5,,0
2020-02-25,94833,95366,94122,95100,543820,VIC,96530.7,,0
2020-02-26,92433,94744,92433,94122,625410,VIC,95988.5,,0
2020-02-27,94033,94211,92522,93856,740420,VIC,95384.2,,0
2020-02-28,93322,93678,91545,93678,870840,VIC,94975.4,,0
2020-03-02,92433,93678,91278,93678,742130,VIC,94744.3,,0
2020-03-03,93411,93856,92878,93767,557950,VIC,94833.2,,0
2020-03-04,92967,93767,91989,93767,443810,VIC,94877.7,,0
2020-03-05,93411,94122,92256,93856,352300,VIC,94486.7,,0
2020-03-06,93322,93322,91634,93322,750830,VIC,94051.2,,0
2020-03-09,90211,90656,86834,86834,966890,VIC,93198.0,,0
2020-03-10,82657,88167,81057,86834,825490,VIC,92371.4,,0
2020-03-11,87101,87101,80968,86212,1049580,VIC,91580.4,,0
2020-03-12,80879,82035,80257,81590,1896270,VIC,90353.8,,0
2020-03-13,76435,82212,75902,82212,1226880,VIC,89207.2,,0
2020-03-16,81768,82212,76969,82212,971340,VIC,88060.6,,0
2020-03-17,79546,82035,77857,78657,681330,VIC,86549.6,,0
2020-03-18,78124,79990,76880,79102,785390,VIC,85083.1,96507.6,0
2020-03-19,77235,78835,73858,78835,1103680,VIC,83581.0,96040.1,0
2020-03-20,78835,78835,73325,73325,1083480,VIC,81581.3,95457.06,0
2020-03-23,69325,69592,68258,68258,678160,VIC,79723.7,94786.9,0
2020-03-24,63814,66659,63548,63548,1474050,VIC,77395.1,94019.0,0
2020-03-25,63548,67992,60437,67992,1401570,VIC,75573.1,93347.08,0
2020-03-26,68969,72702,67192,72702,1242250,VIC,74684.3,92762.26,0
2020-03-27,72880,77680,70658,77146,1149310,VIC,74177.7,92264.54,0
2020-03-30,71814,72880,71814,72347,881240,VIC,73191.2,91669.06,0
2020-03-31,72347,77324,71458,74124,1296450,VIC,72737.9,91107.34,0
2020-04-01,73325,77324,71991,76435,437820,VIC,72471.2,90591.84,0
2020-04-03,76435,80879,76435,80879,1184500,VIC,72675.6,90165.22,0
2020-04-06,81768,86479,81146,86479,2698260,VIC,73991.0,89852.38,0
2020-04-07,86745,89678,82657,86479,2855700,VIC,75813.1,89539.54,0
2020-04-08,86212,86212,83546,83546,760120,VIC,77812.9,89168.04,0
2020-04-09,83546,86479,83368,85323,1560610,VIC,79546.0,88832.08,0
2020-04-10,85323,86034,83279,84434,983120,VIC,80719.2,88478.34,0
2020-04-13,85145,85323,84345,85323,1411550,VIC,81536.9,88144.16,0
2020-04-14,85768,85768,83990,84968,631630,VIC,82799.0,87802.88,0
2020-04-15,84968,85323,84345,85323,1176850,VIC,83918.9,87468.7,0
2020-04-16,85323,85323,84168,85234,845580,VIC,84798.8,87138.06,0
2020-04-17,84701,85412,79279,85412,1191510,VIC,85252.1,86812.76,0
2020-04-20,85412,85679,84345,85501,1055020,VIC,85154.3,86489.24,0
2020-04-21,84879,84879,82212,82657,892270,VIC,84772.1,86121.28,0
2020-04-22,81768,82479,80435,82212,884070,VIC,84638.7,85749.76,0
2020-04-23,82657,84345,82390,82657,347420,VIC,84372.1,85412.02,0
2020-04-24,82657,83457,82124,82657,300240,VIC,84194.4,85067.18,0
2020-04-27,84434,84434,81768,81768,453720,VIC,83838.9,84747.22,0
2020-04-28,82212,82568,81324,81768,222920,VIC,83518.9,84462.8,0
2020-04-29,81679,83012,80435,81679,314400,VIC,83154.5,84238.82,0
2020-05-04,81679,82212,79990,81590,259550,VIC,82790.1,84004.18,0
2020-05-05,81590,82657,81590,82390,274700,VIC,82487.9,83696.66,0
2020-05-06,82301,84434,82212,84434,773570,VIC,82381.2,83431.8,0
2020-05-07,84434,85323,83546,85323,617800,VIC,82647.8,83230.94,0
2020-05-08,85679,88878,85412,86656,1683960,VIC,83092.2,83062.06,1
2020-05-11,86656,87101,85234,86656,1358920,VIC,83492.1,82912.74,0
2020-05-12,86567,86567,84434,86212,770030,VIC,83847.6,82759.86,0
2020-05-13,84523,85323,81324,84434,2652530,VIC,84114.2,82574.98,0
2020-05-14,84434,85945,83457,85323,1002810,VIC,84469.7,82407.88,0
2020-05-15,85323,86656,85145,86212,327650,VIC,84923.0,82256.78,0
2020-05-18,86212,86212,84879,85768,229440,VIC,85340.8,82096.8,0
2020-05-19,86301,86567,85323,85768,729850,VIC,85678.6,81935.04,0
2020-05-20,85679,86212,85412,85856,254730,VIC,85820.8,81785.72,0
2020-05-21,86212,87101,86123,87101,674380,VIC,85998.6,81791.06,0
2020-05-22,87101,87101,85679,85679,292930,VIC,85900.9,81767.96,0
2020-05-25,85501,86301,85323,86301,216400,VIC,85865.4,81769.74,0
2020-05-26,86212,86656,85679,86123,360000,VIC,85856.5,81860.4,0
2020-05-27,86123,87012,85768,86123,591440,VIC,86025.4,81938.62,0
2020-05-28,86123,86656,85590,86212,314790,VIC,86114.3,82018.62,0
2020-05-29,86212,86656,85856,86212,493500,VIC,86114.3,82169.72,0
2020-06-01,86212,86390,85768,86390,481490,VIC,86176.5,82315.48,0
2020-06-02,86390,86390,85768,85945,501700,VIC,86194.2,82457.68,0
2020-06-03,85768,86034,84879,86034,466430,VIC,86212.0,82711.86,0
2020-06-04,86034,86034,85323,85323,550740,VIC,86034.2,83053.16,0
2020-06-05,85323,85501,84434,84434,525870,VIC,85909.7,83470.88,0
2020-06-08,84612,86745,84612,85323,482180,VIC,85811.9,83817.5,0
2020-06-09,86212,86212,85412,85501,318400,VIC,85749.7,84073.48,0
2020-06-10,85501,85501,84790,84968,488490,VIC,85634.2,84229.92,0
