time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,74800,75570,74480,75380,352700,VNM,,,0
2020-01-03,75570,76070,75570,75630,625390,VNM,,,0
2020-01-06,75440,75570,74680,75050,495910,VNM,,,0
2020-01-07,75110,75930,75110,75760,459520,VNM,,,0
2020-01-08,75760,75930,75110,75930,837710,VNM,,,0
2020-01-09,76070,76390,75700,75840,624130,VNM,,,0
2020-01-10,75840,76200,75700,76000,596280,VNM,,,0
2020-01-13,76070,76070,75050,75050,412880,VNM,,,0
2020-01-14,75050,75510,74860,75310,335180,VNM,,,0
2020-01-15,75310,75380,74910,75310,681740,VNM,75526.0,,0
2020-01-16,75310,75760,74910,75570,545090,VNM,75545.0,,0
2020-01-17,75570,75840,75310,75840,375030,VNM,75566.0,,0
2020-01-20,76070,76200,75700,76070,493600,VNM,75668.0,,0
2020-01-21,76070,77920,75840,77340,853940,VNM,75826.0,,0
2020-01-22,77340,77920,77340,77550,794440,VNM,75988.0,,0
2020-01-30,76070,76590,74290,74550,1533720,VNM,75859.0,,0
2020-01-31,74430,74550,69360,69360,1915820,VNM,75195.0,,0
2020-02-03,64879,70650,64580,69240,2289150,VNM,74614.0,,0
2020-02-04,70250,70330,66540,67120,1869040,VNM,73795.0,,0
2020-02-05,68030,68850,66030,68160,1545750,VNM,73080.0,,0
2020-02-06,68720,69440,67690,68720,2137020,VNM,72395.0,,0
2020-02-07,68850,70650,68790,70460,1523380,VNM,71857.0,,0
2020-02-10,69690,69930,68580,69690,910510,VNM,71219.0,,0
2020-02-11,69690,69690,68410,68510,885960,VNM,70336.0,,0
2020-02-12,69040,69040,68510,68510,838170,VNM,69432.0,,0
2020-02-13,68510,68720,68160,68350,713560,VNM,68812.0,,0
2020-02-14,68510,68650,68160,68160,708080,VNM,68692.0,,0
2020-02-17,68280,68790,68280,68720,623350,VNM,68640.0,,0
2020-02-18,68920,68920,67310,67440,1078500,VNM,68672.0,,0
2020-02-19,67120,68220,67120,68030,794470,VNM,68659.0,,0
2020-02-20,68410,68720,67950,68030,624620,VNM,68590.0,,0
2020-02-21,68720,69930,68720,69360,1484500,VNM,68480.0,,0
2020-02-24,68410,68920,67760,68030,954600,VNM,68314.0,,0
2020-02-25,67950,69360,67760,69040,1200220,VNM,68367.0,,0
2020-02-26,68220,68220,67120,67120,1346630,VNM,68228.0,,0
2020-02-27,67120,68650,66350,68650,863890,VNM,68258.0,,0
2020-02-28,67310,67830,65860,66810,1437350,VNM,68123.0,,0
2020-03-02,66810,67440,66350,66810,909240,VNM,67932.0,,0
2020-03-03,67440,67900,66870,67310,741380,VNM,67919.0,,0
2020-03-04,67310,67760,66810,67000,612800,VNM,67816.0,,0
2020-03-05,67120,67690,66810,66810,438020,VNM,67694.0,,0
2020-03-06,66810,67000,66230,66610,664920,VNM,67419.0,,0
2020-03-09,63940,65530,62010,62010,2356790,VNM,66817.0,,0
2020-03-10,61360,65080,61360,65019,1761300,VNM,66414.9,,0
2020-03-11,65200,67120,63420,64940,2292410,VNM,66196.9,,0
2020-03-12,62140,64879,62010,64519,2431600,VNM,65783.8,,0
2020-03-13,60870,64310,60870,63370,2159130,VNM,65439.8,,0
2020-03-16,63370,63420,61690,62010,1087080,VNM,64959.8,,0
2020-03-17,61360,61630,60730,61360,1788240,VNM,64364.8,,0
2020-03-18,61500,62530,60730,60730,1322150,VNM,63737.8,69763.76,0
2020-03-19,59460,60090,56910,56910,2774560,VNM,62747.8,69394.36,0
2020-03-20,56910,58370,56910,57530,2316660,VNM,61839.8,69032.36,0
2020-03-23,56950,56950,53520,53520,2187710,VNM,60990.8,68601.76,0
2020-03-24,53520,56440,53520,55030,1739530,VNM,59991.9,68187.16,0
2020-03-25,57920,58870,57600,58810,2993020,VNM,59378.9,67844.76,0
2020-03-26,59010,60730,56770,60090,2556450,VNM,58936.0,67529.76,0
2020-03-27,59460,60930,58810,60160,2755950,VNM,58615.0,67212.96,0
2020-03-30,57530,59130,56910,58310,1559900,VNM,58245.0,66878.16,0
2020-03-31,59130,59720,57530,58190,1293290,VNM,57928.0,66535.76,0
2020-04-01,58190,60090,58190,60090,1155730,VNM,57864.0,66231.36,0
2020-04-03,60420,61060,60090,60730,1934430,VNM,58246.0,65934.56,0
2020-04-06,61690,61760,60730,61500,1840550,VNM,58643.0,65647.76,0
2020-04-07,61690,63300,61230,62970,2273090,VNM,59588.0,65385.76,0
2020-04-08,62640,63300,61690,63300,904920,VNM,60415.0,65104.96,0
2020-04-09,63860,64519,63420,63990,1220550,VNM,60933.0,64833.76,0
2020-04-10,63940,63940,62700,63670,1111470,VNM,61291.0,64616.16,0
2020-04-13,63670,63790,62850,63370,1127670,VNM,61612.0,64496.36,0
2020-04-14,63610,63720,63110,63300,1059560,VNM,62111.0,64377.56,0
2020-04-15,63720,63720,63420,63420,886130,VNM,62634.0,64303.56,0
2020-04-16,63490,63610,63230,63490,1155660,VNM,62974.0,64210.16,0
2020-04-17,63940,63990,63300,63490,1767310,VNM,63250.0,64105.56,0
2020-04-20,63940,64709,63940,63940,1471680,VNM,63494.0,63975.16,0
2020-04-21,63940,63940,61230,61890,2129360,VNM,63386.0,63819.16,0
2020-04-22,61440,62390,61230,62330,1085950,VNM,63289.0,63695.56,0
2020-04-23,63040,63040,61300,61440,1443180,VNM,63034.0,63554.16,0
2020-04-24,63490,65720,62330,65720,3624460,VNM,63239.0,63501.56,0
2020-04-27,68080,68080,65720,65720,1950560,VNM,63474.0,63452.76,1
2020-04-28,65720,65860,63720,64250,1401520,VNM,63569.0,63363.36,0
2020-04-29,63300,63860,63300,63300,1769090,VNM,63557.0,63280.56,0
2020-05-04,62010,63300,62010,62390,1235970,VNM,63447.0,63167.76,0
2020-05-05,63160,64519,62640,64250,1163800,VNM,63523.0,63092.16,0
2020-05-06,64379,64879,63720,64879,1105020,VNM,63616.9,63002.54,0
2020-05-07,64940,66350,64879,66100,1583260,VNM,64037.9,62963.94,0
2020-05-08,66810,68790,66490,67120,3184170,VNM,64516.9,62925.54,0
2020-05-11,69360,69360,66950,69360,1792200,VNM,65308.9,62970.34,0
2020-05-12,69360,73150,68650,72810,2944650,VNM,66017.9,63053.54,0
2020-05-13,72370,73510,70330,72690,2507730,VNM,66714.9,63171.14,0
2020-05-14,71980,72810,71930,72230,1397750,VNM,67512.9,63279.54,0
2020-05-15,72230,72560,69930,70840,2320230,VNM,68266.9,63350.14,0
2020-05-18,70840,71480,69690,71020,898370,VNM,69129.9,63430.54,0
2020-05-19,72740,73150,71800,71980,1432400,VNM,69902.9,63533.94,0
2020-05-20,71930,73150,71930,72890,1199680,VNM,70704.0,63659.54,0
2020-05-21,72890,73510,72560,73510,1582090,VNM,71445.0,63889.54,0
2020-05-22,73150,73410,72560,73150,1083060,VNM,72048.0,64052.16,0
2020-05-25,73210,75180,72950,75180,1581860,VNM,72630.0,64256.96,0
2020-05-26,75440,75440,73640,75180,983170,VNM,72867.0,64470.18,0
2020-05-27,75250,75310,73510,73510,1108350,VNM,72949.0,64672.98,0
2020-05-28,73510,74160,73410,73410,1004500,VNM,73067.0,64900.98,0
2020-05-29,72560,73640,72560,73510,1203680,VNM,73334.0,65143.98,0
2020-06-01,73570,74800,73570,74220,1047020,VNM,73654.0,65413.78,0
2020-06-02,74220,74800,73970,74160,891910,VNM,73872.0,65758.78,0
2020-06-03,74290,75510,73900,74550,1322080,VNM,74038.0,66099.18,0
2020-06-04,74800,75380,74800,75310,735420,VNM,74218.0,66534.98,0
2020-06-05,75310,76200,74620,76200,1076470,VNM,74523.0,66958.38,0
2020-06-08,76200,78890,76140,78490,1419750,VNM,74854.0,67351.98,0
2020-06-09,78690,80570,78690,79900,1704320,VNM,75326.0,67748.18,0
2020-06-10,80570,80570,78490,78640,1242180,VNM,75839.0,68117.78,0
2020-06-11,78640,79900,77340,78190,1098260,VNM,76317.0,68515.38,0
2020-06-12,75440,76590,73270,75440,2394330,VNM,76510.0,68860.38,0
2020-06-15,76720,77290,71610,71610,2058870,VNM,76249.0,69090.78,0
