time,open,high,low,close,volume,ticker,SMA10,SMA50,signal
2020-01-02,6530,6750,6530,6700,1721220,VPB,,,0
2020-01-03,6710,6830,6640,6660,1416280,VPB,,,0
2020-01-06,6570,6640,6490,6490,1655410,VPB,,,0
2020-01-07,6510,6640,6510,6640,1298520,VPB,,,0
2020-01-08,6570,6640,6490,6550,2417600,VPB,,,0
2020-01-09,6620,6790,6610,6770,3379270,VPB,,,0
2020-01-10,6770,6940,6770,6860,3102860,VPB,,,0
2020-01-13,6850,6890,6710,6710,1278670,VPB,,,0
2020-01-14,6750,6940,6730,6890,2049630,VPB,,,0
2020-01-15,6890,7070,6890,7050,2024320,VPB,6732.0,,0
2020-01-16,7070,7160,7050,7130,2814400,VPB,6775.0,,0
2020-01-17,7160,7230,7070,7150,2388200,VPB,6824.0,,0
2020-01-20,7110,7340,7090,7340,2478120,VPB,6909.0,,0
2020-01-21,7410,7700,7370,7680,5349510,VPB,7013.0,,0
2020-01-22,7660,7770,7540,7700,2728060,VPB,7128.0,,0
2020-01-30,7500,7620,7280,7410,4277050,VPB,7192.0,,0
2020-01-31,7340,7540,7320,7320,4664680,VPB,7238.0,,0
2020-02-03,7050,7640,6930,7370,4531780,VPB,7304.0,,0
2020-02-04,7410,7640,7340,7640,4567030,VPB,7379.0,,0
2020-02-05,7780,8020,7750,7880,6401650,VPB,7462.0,,0
2020-02-06,8320,8320,7680,8320,8466820,VPB,7581.0,,0
2020-02-07,8180,8360,8130,8270,5941140,VPB,7693.0,,0
2020-02-10,8090,8250,8020,8020,4827980,VPB,7761.0,,0
2020-02-11,8020,8280,8000,8280,4954840,VPB,7821.0,,0
2020-02-12,8450,8750,8370,8430,6169610,VPB,7894.0,,0
2020-02-13,8360,8680,8270,8680,3721290,VPB,8021.0,,0
2020-02-14,8800,8970,8680,8860,5754040,VPB,8175.0,,0
2020-02-17,8840,8900,8720,8840,2799180,VPB,8322.0,,0
2020-02-18,8800,9010,8770,8940,2659640,VPB,8452.0,,0
2020-02-19,9010,9100,8970,9060,3026480,VPB,8570.0,,0
2020-02-20,9180,9310,9120,9310,3989640,VPB,8669.0,,0
2020-02-21,9300,9550,9200,9390,4755490,VPB,8781.0,,0
2020-02-24,9120,9230,8740,8740,8083080,VPB,8853.0,,0
2020-02-25,8550,9230,8550,9230,6045630,VPB,8948.0,,0
2020-02-26,9060,9420,9030,9230,4144870,VPB,9028.0,,0
2020-02-27,9120,9310,9080,9240,2905090,VPB,9084.0,,0
2020-02-28,9050,9120,8740,8880,4992410,VPB,9086.0,,0
2020-03-02,8840,8900,8740,8770,3124310,VPB,9079.0,,0
2020-03-03,8970,9010,8840,8860,2436430,VPB,9071.0,,0
2020-03-04,8790,8900,8660,8860,2990200,VPB,9051.0,,0
2020-03-05,8970,9280,8880,9080,4983410,VPB,9028.0,,0
2020-03-06,8940,9030,8880,8970,2153680,VPB,8986.0,,0
2020-03-09,8350,8560,8350,8350,3853010,VPB,8947.0,,0
2020-03-10,8350,8650,8000,8480,4663130,VPB,8872.0,,0
2020-03-11,8480,8610,7900,7900,6458650,VPB,8739.0,,0
2020-03-12,7370,7590,7360,7360,3085820,VPB,8551.0,,0
2020-03-13,6850,7520,6850,7340,5358840,VPB,8397.0,,0
2020-03-16,7230,7250,6830,6830,5035890,VPB,8203.0,,0
2020-03-17,6390,7070,6360,7020,6240600,VPB,8019.0,,0
2020-03-18,7020,7130,6820,7040,3264600,VPB,7837.0,7930.4,0
2020-03-19,6850,6850,6550,6790,3825580,VPB,7608.0,7932.2,0
2020-03-20,6790,6960,6710,6860,2835760,VPB,7397.0,7936.2,0
2020-03-23,6590,6590,6390,6390,3494590,VPB,7201.0,7934.2,0
2020-03-24,6390,6570,6070,6360,5084480,VPB,6989.0,7928.6,0
2020-03-25,6660,6680,6430,6620,2774030,VPB,6861.0,7930.0,0
2020-03-26,6510,6570,6320,6390,3019180,VPB,6764.0,7922.4,0
2020-03-27,6390,6410,6130,6380,4778990,VPB,6668.0,7912.8,0
2020-03-30,5940,6000,5940,5940,853200,VPB,6579.0,7897.4,0
2020-03-31,5940,6020,5530,5530,4500760,VPB,6430.0,7870.2,0
2020-04-01,5530,5710,5220,5620,3686810,VPB,6288.0,7841.6,0
2020-04-03,5620,5820,5610,5730,3237360,VPB,6182.0,7813.6,0
2020-04-06,5870,6110,5840,6110,5262310,VPB,6107.0,7792.8,0
2020-04-07,6190,6340,6080,6340,4306110,VPB,6102.0,7772.8,0
2020-04-08,6190,6250,6070,6160,3738500,VPB,6082.0,7742.4,0
2020-04-09,6160,6300,6110,6130,5977360,VPB,6033.0,7711.0,0
2020-04-10,6070,6130,5940,6080,3400010,VPB,6002.0,7684.4,0
2020-04-13,6210,6490,6190,6490,4611900,VPB,6013.0,7667.8,0
2020-04-14,6870,6940,6590,6940,8107960,VPB,6113.0,7659.2,0
2020-04-15,7090,7370,7020,7090,4994760,VPB,6269.0,7648.2,0
2020-04-16,6860,7090,6850,7090,3778190,VPB,6416.0,7632.4,0
2020-04-17,7180,7230,6890,7000,5009510,VPB,6543.0,7606.0,0
2020-04-20,7070,7070,6790,6850,3363240,VPB,6617.0,7577.6,0
2020-04-21,6680,6820,6380,6380,5653730,VPB,6621.0,7544.8,0
2020-04-22,6190,6810,6190,6590,5779550,VPB,6664.0,7511.0,0
2020-04-23,6750,6750,6490,6490,3739790,VPB,6700.0,7472.2,0
2020-04-24,6490,6680,6380,6680,3362450,VPB,6760.0,7432.2,0
2020-04-27,7150,7150,6830,6850,8928000,VPB,6796.0,7392.0,0
2020-04-28,6820,6980,6680,6850,2453910,VPB,6787.0,7352.2,0
2020-04-29,6680,6870,6680,6680,4670320,VPB,6746.0,7307.0,0
2020-05-04,6380,6660,6360,6530,3624730,VPB,6690.0,7256.4,0
2020-05-05,6610,6680,6510,6640,2323990,VPB,6654.0,7203.0,0
